1	לְמִצְעָר	התקציב לא יספיק לשיפוץ מלא, ולמצער נחליף את החלונות הישנים.	We cannot repaint the whole house, but at the very least we can fix the leaking roof.
2	לְהַוָּתוֹ	הוא התעלם מכל האזהרות, ולהוותו התברר שהן היו מדויקות לחלוטין.	To his misfortune, he ignored every warning and lost nearly everything he had saved.
3	בְּצַוְתָּא	העדפנו לעבוד בצוותא במקום שכל אחד יישב לבד בחדרו.	They preferred to work together in one room rather than each sitting alone at home.
4	קִמְעָה	הכאב פחת קמעה אחרי התרופה, אבל עדיין הפריע לי לישון.	The pain eased a little after the medicine, though it still kept him awake all night.
5	יוֹמָם	השומרים מתחלפים: אחד שומר יומם והשני נשאר ער בשעות הלילה.	The guards rotate: one watches by day and the other stays awake through the night.
6	סַגְפָן	הוא סגפן שמסתפק בפת לחם, ישן על מזרן דק ומוותר על כל מותרות.	The ascetic ate only bread, slept on a bare floor, and refused every comfort offered to him.
7	פּוֹחֵז	נהג פוחז עוקף בסיבוב חד בלי לבדוק אם מגיעה מכונית ממול.	A reckless driver overtakes on a blind curve without checking whether traffic is coming toward him.
8	אַרְכָן	המרצה ארכן כל כך, שהרצאה של שעה נמתחת אצלו לשלוש.	The long-winded speaker stretched a ten-minute update into a full hour, and everyone stopped listening.
9	צוֹרֵף	הצורף התיך את הזהב וייצר ממנו טבעת משובצת אבן קטנה.	The goldsmith melted the metal and shaped it into a ring set with one small stone.
10	נַפָּח	הנפח הכה בפטיש על הברזל הלוהט עד שיישר אותו לפרסה.	The blacksmith hammered the glowing iron on his anvil until it curved into a horseshoe.
11	סַפָּן	הספן הוותיק בילה חודשים בלב ים ולמד לנווט לפי הכוכבים.	The old sailor spent months at sea and learned to steer his ship by the stars.
12	נַוָּד	הוא נווד שישן כל חודש בעיר אחרת ואין לו בית קבוע.	He lives as a nomad, sleeping in a different town each month, with no permanent home.
13	הִתְנַעֵר	המנהל התנער מהחלטתו הקודמת וטען שהאחריות מוטלת כולה על הצוות.	The manager disowned his earlier decision and insisted the whole responsibility lay with his team.
14	חָפֵץ	הוא חפץ בשקט, ולכן עבר לגור בכפר קטן הרחק מהעיר.	He desired quiet so badly that he moved to a tiny village far from the city.
15	הִסְכִּין	בהתחלה הרעש הפריע לו, אבל עם השנים הסכין איתו ולא שם לב.	At first the noise bothered him, but over the years he grew accustomed to it entirely.
16	פָּצַח	באמצע הארוחה הוא פצח בשירה, והאורחים המופתעים הצטרפו אליו תוך שניות.	In the middle of dinner he burst into song, and the startled guests joined within seconds.
17	חָרַץ	השופט חרץ את דינו של הנאשם ולא הותיר מקום לערעור.	The judge sealed the defendant's fate with a ruling that left no room for appeal.
18	קָצַף	המנהל קצף כשגילה שהדוח הוגש באיחור של שבועיים, והרים את קולו.	The director raged when he discovered the report was two weeks late, shouting at everyone present.
19	גָּעַשׁ	היציע געש בצעקות אחרי השער, ואיש לא נשאר יושב במקומו.	The stands roared with shouting after the goal, and not a single spectator stayed seated.
20	לִבָּה	במקום להרגיע את הצדדים הוא ליבה את הסכסוך והוסיף האשמות חדשות.	Instead of calming both sides, he stoked the quarrel by adding fresh accusations every day.
21	נָמוֹג	הערפל נמוג לאט עם הזריחה, עד שהתגלה העמק כולו לעינינו.	The fog slowly dissipated as the sun rose, until the whole valley came into view.
22	גָּז	הקיץ גז לפני שהספקנו להרגיש בו, וכבר חזרנו ללימודים.	The summer was gone before we had noticed it, and classes had already started again.
23	חָתַר	הוא חתר להצלחה במשך שנים ולא ויתר גם אחרי כישלונות רבים.	She strove toward that goal for years and refused to quit after every early failure.
24	מָשׁ	הכלב לא מש ממקומו ליד הדלת, גם כשקראו לו לאכול.	The dog would not budge from the doorway, even when they called him to eat.
25	הֵגִיחַ	חתול הגיח מתחת למכונית החונה והבהיל את העוברים ושבים במדרכה.	A cat darted out from under the parked car and startled everyone on the sidewalk.
26	עָט	הרעבים עטו על האוכל ברגע שהוגש וריקנו את הצלחות תוך דקה.	The hungry crowd pounced on the food the moment it arrived and emptied every plate.
27	דָּאָה	העיט דאה במעגלים רחבים מעל העמק בלי להניע את כנפיו.	The eagle soared in wide circles above the valley without once flapping its broad wings.
28	הִצְלִיף	העגלון הצליף בסוסים בשוט כדי שימהרו, והם פרצו בדהרה.	The driver lashed the horses with his whip until they broke into a fast gallop.
29	לָקָה	הוא לקה בדלקת ריאות ונאלץ לשכב במיטה כמעט שבועיים.	He was stricken with pneumonia and had to stay in bed for nearly two weeks.
30	הֵנִיס	נביחות הכלב הניסו את הגנבים לפני שהספיקו להיכנס לחצר הבית.	The dog's barking put the burglars to flight before they could reach the back door.
31	בָּצַר	בסוף הקיץ בצרנו את הענבים בכרם ומילאנו ארגזים ליקב.	In late summer we harvested the grapes from the vineyard and filled crates for the winery.
32	מָסַק	בנובמבר מסקנו את הזיתים מהעצים והבאנו אותם לבית הבד.	In November we picked the olives from the trees and carried them to the oil press.
33	אָגַר	הסנאי אגר אגוזים במחילה כדי שיהיה לו מה לאכול בחורף.	The squirrel hoarded nuts inside its burrow so it would have food throughout the winter.
34	לִקֵּט	הוא ליקט פטריות ביער והניח כל אחת בנפרד בתחתית הסל.	She gathered mushrooms in the forest, placing each one separately at the bottom of her basket.
35	קוֹשֵׁשׁ	הילדים קוששו ענפים יבשים ביער כדי להדליק מדורה בערב.	The children gathered dry branches and twigs in the woods for the evening campfire.
