61	נִדָּה	הקהילה נידתה אותו, ואיש לא הסכים לשבת לידו או לדבר איתו.	The community ostracized him, and for years no neighbor would sit beside him.
62	פִּלֵּס	המחלצים פילסו דרך בין הענפים שנפלו עד שהגיעו למכונית התקועה.	The rescuers cleared a path through the fallen branches until they reached the trapped car.
63	כָּרַךְ	הוא כרך צעיף סביב צווארו פעמיים לפני שיצא אל הרוח הקרה.	He wrapped a scarf twice around his neck before stepping out into the wind.
64	הֶעְתִּיק	התלמיד העתיק את כל הנוסחאות מהלוח אל המחברת שלו, אות באות.	The student copied every formula from the board into his notebook, letter by letter.
65	הִתְיַמֵּר	הוא התיימר להבין במנועים, אבל לא הצליח אפילו לפתוח את מכסה המנוע.	He purported to understand engines, yet he could not even open the car's hood.
66	הִצְטַנֵּף	הילד הצטנף מתחת לשמיכה וקיפל את ברכיו אל חזהו כדי להתחמם.	The child curled up under the blanket with his knees pulled tight against his chest.
67	קִנֵּן	זוג ציפורים קינן בארובה הישנה וגידל שם את גוזליו במשך כל האביב.	A pair of swallows nested in the old chimney and raised their young there.
68	דָּגַל	המנהל דוגל בשקיפות מלאה, ולכן כל החלטה מתפרסמת לעובדים באותו יום.	The manager advocates complete transparency, so every decision is published to the staff that day.
69	כּוֹנֵן	המייסדים כוננו מוסד חדש וקבעו את תקנונו עוד לפני שנפתחו השערים.	The founders established a new institution and wrote its charter before the doors ever opened.
70	נָקַב	הקבלן סירב לנקוב במחיר מדויק לפני שיראה את הבית מבפנים.	The contractor refused to name an exact price before he had seen the house.
71	פִּעְפֵּעַ	הלחות פעפעה לאט דרך הקיר, עד שכתם גדול הופיע בצד השני.	The damp seeped slowly through the wall until a large stain appeared on the other side.
72	הִפְרִיחַ	אחרי שנים של השקיה הפריחו החקלאים את החולות, והשממה התכסתה בשדות.	After years of irrigation the farmers made the dunes bloom, and fields covered the wasteland.
73	זָרָה	הרוח זרתה את הזרעים הקלים על פני כל השדה, ולא נשאר מהם דבר.	The wind scattered the light seeds across the entire field, leaving nothing behind.
74	נִפָּה	היא ניפתה את הקמח בנפה דקה והוציאה ממנו את כל הגושים.	She sifted the flour through a fine mesh and removed every lump from it.
75	נָצַר	נצור את הסוד הזה היטב ואל תגלה אותו לאיש, גם לא לקרובים.	Guard this secret well and reveal it to no one, not even to family.
76	הִבְזִיק	אור המגדלור הבזיק לרגע אחד בלבד, ומיד שב וכיסה את הים חושך.	The lighthouse beam flashed for a single instant, and then darkness covered the sea again.
77	הֶחֱוָה	המדריך החווה בידו לעבר הדלת וסימן לנו להיכנס בלי לומר מילה.	The guide gestured toward the door and signaled us to enter without saying a word.
78	הִתְוָה	הוועדה התוותה קווים מנחים ברורים שלפיהם יפעלו כל המחלקות בשנה הבאה.	The committee charted clear guidelines that every department would follow in the coming year.
79	שָׁלָה	הוא שלה את המפתחות שנפלו לבריכה בעזרת ענף ארוך וכפוף.	He fished the keys out of the pool with a long, bent branch.
80	מָשָׁה	המציל משה את הילד מן המים והביא אותו אל החוף בזרועותיו.	The lifeguard pulled the child from the water and carried him to shore in his arms.
81	הִתְרוֹשֵׁשׁ	המשפחה התרוששה אחרי שהעסק קרס, ונאלצה למכור אפילו את הרהיטים שבבית.	The family was ruined when the business collapsed, and sold even the furniture in the house.
82	אַבְחָה	באבחת סכין אחת חתך הטבח את הדג לשניים והניח אותו על הקרש.	With one swift slash of the knife the cook split the fish and laid it down.
83	פִּרְצָה	הכבשים ברחו דרך פרצה בגדר שאיש לא טרח לתקן במשך חודשים.	The sheep escaped through a breach in the fence that no one bothered to repair.
84	תֻּרְפָּה	הזיכרון לשמות הוא נקודת התורפה שלו, ובכל פגישה הוא מתבלבל שוב.	Remembering names is his weak point, and at every meeting he stumbles over them again.
85	מָבוֹי	הם פנו למבוי צר שבין שני הבתים וגילו שאין ממנו מוצא.	They turned into a narrow alley between the two houses and found no way out.
86	רֶסֶן	הרוכב משך ברסן בחוזקה ועצר את הסוס ממש לפני הצומת.	The rider pulled hard on the reins and stopped the horse just before the crossing.
87	דָּרְבָּן	האיכר נגע בדרבן בצד הפרה כדי לזרז אותה להתקדם בתלם.	The farmer touched the cow's flank with a goad to hurry her along the furrow.
