58	הִתְפָּעֵם	CONFIRMED		
104	מַלְתָּעוֹת	CONFIRMED		
142	בִּמְרוּצַת הַזְּמַן	CONFIRMED		
165	אַחַר כָּבוֹד	CONFIRMED		
182	דִּבְרֵי טַעַם	CONFIRMED		
16	סִלְסֵל	CONFIRMED	שר בטונים עולים ויורדים	
76	תָּלוּשׁ	CONFIRMED	לא שייך, זר	
91	בָּבַת עַיִן	CONFIRMED		
99	דֶּרֶךְ הַמֶּלֶךְ	CONFIRMED		
102	פִּיק בִּרְכַּיִם	CONFIRMED		
143	הָלַם	REJECTED	הקולוקציה הולם אותה שייכת למשמעות התאים ולא להכה	התאים ויאה (הולם אותה); הכה בעוצמה
146	מֶחֱוָה	REJECTED		תנועת גוף המביעה כוונה; מעשה סמלי של רצון טוב
22	צוּר	CONFIRMED		
28	סְנוּנִית	CONFIRMED		
35	לְשַׁד	CONFIRMED	תמצית פנימית	
41	אַשְׁפַּתּוֹת	REJECTED		ערמות של פסולת וזבל (הרים מאשפתות)
66	יְפֵה נֶפֶשׁ	CONFIRMED		
82	הֶעֱלִים עַיִן	CONFIRMED		
