64	אִילָן	עץ, צמח גבוה ומסועף (אילן יוחסין)	שוכתב	
65	אֵימָה	פחד גדול (הטיל אימה)	אומת	
66	קֶטֶל	הרג רב (שדה קטל)	אומת	
67	מַאֲכֶלֶת	סכין שחיטה גדולה	אומת	
68	פִּגְיוֹן	סכין קרב קצרה	אומת	
69	גַּיְא	עמק צר בין הרים	אומת	
70	מַחְשַׁכִּים	מקומות אפלים (פעל במחשכים)	אומת	
71	אַשְׁמֹרֶת	חלק מחלקי הלילה (באשמורת האחרונה)	אומת	
72	רֵעוּת	ידידות עמוקה (ברית רעות)	אומת	
73	מֶלְתָּחָה	אוסף בגדיו של אדם; חדר להחלפת בגדים	שוכתב	
74	אֲפַרְכֶּסֶת	אוזן חיצונית (עשה אוזנו כאפרכסת)	שוכתב	
75	מוּגָף	סגור היטב (תריסים מוגפים)	אומת	
76	תָּלוּשׁ	עקור ממקומו, מנותק (תלוש מן המציאות)	שוכתב	
77	מְגֹאָל	מוכתם ומלוכלך (מגואל בבוץ)	אומת	
78	מַחְפִּיר	מביש ומבזה (הפסד מחפיר)	אומת	
79	מָרוּד	עני ומדוכא (עני מרוד)	אומת	
80	מְסֹעָף	מתפצל לענפים רבים (רשת מסועפת)	אומת	
81	גָּמַר אֹמֶר	החליט החלטה נחושה	אומת	
82	חָכַךְ בְּדַעְתּוֹ	התלבט ושקל	אומת	
83	שָׂם לְאַל	ביטל וסיכל (שם לאל את התוכנית)	אומת	
84	קָבַע מַסְמְרוֹת	פסק באופן נחרץ ומחייב	שוכתב	
