141	נחל איתן	אפיק מים שאינו מתייבש בקיץ	שוכתב	
142	קירח מכאן ומכאן	הפסיד משני הצדדים	אומת	
143	שוקת שבורה	נותר בידיים ריקות	אומת	אבניאון (מילוג: אין ערך)
144	עלה על שרטון	נתקע ונכשל	אומת	
145	לבטים	היסוסים וספקות לפני הכרעה	שוכתב	
146	לצמיתות	לתמיד, ללא חזרה	אומת	
147	גרידא	בלבד, ותו לא	אומת	
148	בר מינן	המת; חלילה מזה	אומת	
149	כדבעי	כראוי, כנדרש	אומת	
150	אתרע מזלו	פגע בו רוע הגורל	שוכתב	
151	בוקי סריקי	דברי הבל ושטות, חסרי כל ממש	שוכתב	
152	בריש גלי	בפרהסיה, לעיני כול ובלי בושה	שוכתב	
153	אליבא ד	לשיטתו של, לדעת	אומת	
154	שור	הבט וראה (אשורנו)	אומת	אבניאון (מילוג: אין פועל)
155	טס	מגש, כלי שטוח לנשיאת חפצים	שוכתב	
156	זוג	גוף הפעמון שהענבל מכה בו	אומת	
157	חלב	שומן בעלי חיים; חומר הנר	אומת	
158	גבר	תרנגול (קריאת הגבר)	אומת	
159	מסה	חיבור עיוני קצר	אומת	
160	כרוב	מלאך בעל כנפיים	אומת	
