21	פִּיתוֹם	מדבר מבטנו בלי להניע שפתיים	אומת	
22	קַצְרָנוּת	רישום מהיר בסימנים מוסכמים	אומת	
23	אֶנִיגְמָה	תעלומה וחידה	אומת	
24	אֶשְׁתָּקַד	בשנה שעברה	אומת	
25	אַדְּרַבָּה	ההפך הוא הנכון; בבקשה	אומת	
26	אוֹב	כישוף העלאת מתים (בעלת אוב)	אומת	
27	טוֹמֵן בְּחֻבּוֹ	מכיל בתוכו בסתר	אומת	
28	בְּנַפְשׁוֹ הַדָּבָר	העניין גורלי עבורו	אומת	
29	בִּקֵּשׁ עַל נַפְשׁוֹ	התחנן על חייו	אומת	
30	גְּדִיל	חוטים שזורים בשולי הבגד	אומת	
31	גָּמַר עָלָיו אֶת הַהַלֵּל	שיבח אותו ללא סייג	אומת	
32	דִּבְרֵי חֲלָקוֹת	מילות חנופה שנועדו לפתות או להטעות	שוכתב	
33	דָּחָה אוֹתוֹ בְּקַשׁ	נפטר ממנו בתירוץ קלוש	אומת	
34	הִסְתּוֹפֵף בְּצִלּוֹ	היה בחסותו, שהה במחיצתו	שוכתב	
35	הִצְמִית	השמיד כליל	אומת	
36	הֵסִיר אֶת הַלּוֹט	חשף את הנסתר	אומת	
37	הֶאֱפִיל	החשיך; עלה בחשיבותו על אחר (האפיל עליו)	שוכתב	
38	הֶחֱשָׁה	שתק ולא הגיב	אומת	
39	וִירְטוּאוֹז	אמן ביצוע מושלם	אומת	
40	זַלְזַל	ענף דק ורך	אומת	
