101	נוֹרָא הוֹד	מפואר ומרהיב, מעורר התפעלות	שוכתב	
102	שׁוֹבֶה לֵב	מקסים ומושך	אומת	
103	דַּלַּת הָעָם	השכבה הענייה ביותר	אומת	
104	שׁוֹעֵי הָאָרֶץ	עשיריה ונכבדיה	אומת	
105	אֵיד	אסון וצרה (שמח לאידו)	אומת	
106	בְּעָלְמָא	סתם, בלי כוונה מיוחדת	אומת	
107	בֵּין הַמְּצָרִים	במצב דחוק, באין מוצא	אומת	
108	בֵּין הַשִּׁיטִין	ברמז, לא בגלוי	שוכתב	
109	חֲפוּי רֹאשׁ	מבויש ונכלם	אומת	
110	טִכֵּס עֵצָה	דן עם אחרים ותכנן כיצד לפעול	שוכתב	
111	יוֹשֵׁב קְרָנוֹת	בטלן חסר מעש	אומת	
112	כִּמְטַחֲוֵי קֶשֶׁת	במרחק לא רב	אומת	
113	מִטַּת סְדוֹם	כפייה שרירותית לתבנית אחת	אומת	
114	נָס לֵחוֹ	תש כוחו, התיישן ואבד ערכו	אומת	
115	עַיִר	חמור צעיר	אומת	
116	צַיְקָן	קמצן, צר עין	אומת	
117	שָׁדוּד	גזול, בזוז; רצוץ ותשוש	שוכתב	
118	שָׁפַת	הניח סיר על האש	אומת	
119	שִׁבֹּלֶת	ראש גבעול הדגן; זרם מים סוער	אומת	
120	שֶׂכְוִי	תרנגול (בינה לשכוי)	אומת	
