64	הֶעְתִּיק	שכפל; העביר מקום (העתיק את מגוריו)	אומת	
65	הִתְיַמֵּר	העמיד פנים של יכולת (מתיימר לדעת)	אומת	
66	הִצְטַנֵּף	התכווץ והתקפל (הצטנף בפינה)	אומת	
67	קִנֵּן	שכן וגידל צאצאים; השתרש בלב (קינן בו חשש)	שוכתב	
68	דָּגַל	צידד ברעיון ונהג לפיו (דוגל בשוויון)	שוכתב	
69	כּוֹנֵן	הקים וביסס (כונן שלטון)	אומת	
70	נָקַב	חורר; ציין במפורש (נקב במחיר)	אומת	
71	פִּעְפֵּעַ	חדר והתפשט אט אט	אומת	
72	הִפְרִיחַ	הצמיח (הפריח את השממה); הפיץ (הפריח שמועה)	אומת	
73	זָרָה	פיזר לרוח (זורה מלח על פצעיו)	אומת	
74	נִפָּה	סינן והפריד (ניפה את הפסולת)	אומת	
75	נָצַר	שמר מכל משמר (נצור לשונך)	אומת	
76	הִבְזִיק	נצנץ לרגע (הבזיק במוחו רעיון)	אומת	
77	הֶחֱוָה	סימן בתנועת גוף (החווה בידו)	אומת	
78	הִתְוָה	קבע קווים מנחים (התווה דרך)	אומת	
79	שָׁלָה	דלה והעלה מן הנוזל (שלה דגים)	שוכתב	
80	מָשָׁה	חילץ מן המים (משה את הטובע)	שוכתב	
81	הִתְרוֹשֵׁשׁ	איבד את כל רכושו	אומת	
82	אַבְחָה	תנועת חיתוך מהירה (באבחת חרב)	אומת	
83	פִּרְצָה	פתח שנפער בגדר; ליקוי שמנצלים (פרצה בחוק)	שוכתב	
84	תֻּרְפָּה	חולשה חשופה (נקודת תורפה)	אומת	
