grandmother	OK	 	Relationship and teaching context make grandmother specific enough.
grow	FIX	The tree grows taller each year with adequate water and sunshine.	"Become taller" or "get taller" work equally; verb needs to be more specific to growth.
guard	FIX	The guard kept watch at the entrance to prevent any intruders.	"Officer" or "watchman" substitute equally well; meaning is too generic.
gym	FIX	She lifts weights at the gym three times a week.	"Fitness center" or "health club" work the same; location alone doesn't establish meaning.
harmony	FIX	The voices blended together in perfect harmony, with no one singing off-key.	"Unity" or "coordination" substitute; sentence doesn't show what harmony means.
hero	FIX	The soldier was hailed as a hero for single-handedly saving the village.	"Rescuer" or "lifesaver" work; heroic action described separately, not shown through context.
hid from	OK	 	"Avoided" doesn't work as naturally; hiding implies concealment, distinct enough.
hidden	FIX	Behind the locked door was a hidden vault filled with stolen jewels.	"Secret" or "buried" substitute; "hidden" too easily replaced.
hobby	FIX	She devoted every free moment to her hobby of collecting rare coins.	"Passion" or "interest" work equally; "hobby" too generic as used.
horror	FIX	She screamed in horror when the spider crawled across her face.	"Fear" or "terror" substitute; immediate sensory detail makes "horror" more specific to visceral dread.
ideal	FIX	An ideal house would have three bedrooms, a backyard, and good schools nearby.	"Perfect" or "optimal" work identically; sentence is too generic.
in case	FIX	Always carry a first-aid kit in case of unexpected injuries.	"If" works equally well; precaution aspect not clearly shown.
in other words	FIX	The economy is failing, which is, in other words, hurting everyone's savings.	"To put it another way" works; needs to show rephrasing clearly.
in that case	FIX	If you cannot attend, in that case you must send a substitute.	"Then" or "therefore" work; logical consequence not specific to this phrase.
in the same way	FIX	Leaves fall in autumn in the same way flowers bloom in spring—both mark seasonal change.	"Just as" or "like" work; sentence needs tighter parallelism to require this phrase.
including	OK	 	"Except" reverses meaning; "plus" is acceptable but "including" shows full group clearly.
installation	FIX	The electrician completed the installation of the new lighting system in one afternoon.	"Placement" or "setup" work; too easily replaced.
intellectual	FIX	An intellectual enjoys solving complex puzzles and debating philosophy.	"Scholar" or "academic" substitute; original too weak.
international	FIX	The international agreement was signed by representatives from twelve nations.	"Global" or "foreign" work equally; "international" too generic here.
interview	FIX	The reporter interviewed the athlete about his career and future plans.	"Questioned" or "interrogated" work; "interviewed" not specific enough.
intuition	FIX	She trusted her intuition and left the party early, avoiding a serious accident.	"Instinct" or "gut feeling" work; original too weak.
invite	FIX	We invited all our relatives to celebrate at the family reunion.	"Asked" or "summoned" work; too easily replaceable.
ironic	OK	 	Other words like "odd" or "funny" don't capture the contradiction aspect.
journey	FIX	The journey through the mountains tested the explorers' endurance and courage.	"Trip" or "voyage" substitute easily; "journey" too generic.
juice	OK	 	"Beverage" is too generic; orange juice is specific enough in context.
jungle	FIX	Deep in the jungle, monkeys swung through thick vines and towering trees.	"Forest" or "rainforest" work; sentence needs stronger sense of dense tropical environment.
just as	FIX	Just as a bridge connects two sides, love connects two hearts.	"As" or "like" work; needs comparison structure that truly requires this phrase.
kick	FIX	During the soccer match, he kicked the ball powerfully into the goal.	"Hit" or "struck" work equally; action alone doesn't establish meaning.
kind	FIX	That kind of behavior—rudeness and dishonesty—will not be tolerated.	"Type" and "sort" substitute identically; sentence too generic.
knife (knives)	OK	 	"Blade" is more specific (part of knife); tool context makes knife clear enough.
language	FIX	Learning a new language requires years of practice and exposure.	"Skill" or "subject" work equally; too generic as used.
largest	FIX	The blue whale is the largest animal that has ever lived on Earth.	"Biggest" is a direct synonym; sentence doesn't show why size matters.
last	FIX	The marriage lasted only three years before they divorced.	"Endured" or "persisted" work; verb too easily replaced.
leader	FIX	A good leader admits mistakes and listens to people who disagree.	"Manager" or "boss" work equally; description applies to many roles.
legal	FIX	They needed legal papers to prove their ownership of the house.	"Lawful" or "official" substitute; too generic.
level	FIX	The carpenter used a tool to level the foundation before building the walls.	"Flatten" or "smooth" work equally; action not specific enough.
liberal	FIX	Her liberal approach to parenting allowed her children to make their own choices.	"Permissive" or "open-minded" work; too generic without political context.
library	OK	 	Library is specific to borrowing books; "bookstore" would mean buying.
lifestyle	FIX	A healthy lifestyle includes regular exercise, good nutrition, and adequate sleep.	"Routine" or "habits" work equally; too generic.
local	FIX	She preferred local products and supported small businesses in her community.	"Neighborhood" or "nearby" work; sentence weak on showing local vs. distant distinction.
lock	FIX	She always locked her diary so no one could read her private thoughts.	"Secured" or "fastened" work; action too easily replaced.
losing	FIX	The team began losing confidence after their third defeat in a row.	"Trailing" doesn't work as well here; this one may be slightly stronger than others.
