indifference	She showed complete indifference to the prize, feeling nothing at all.
indigenous	The indigenous people of the island have lived there for centuries.
induce	The calming music helped induce a deep sleep in the tired baby.
inevitably	No matter how carefully he planned, mistakes would inevitably happen during the project.
inferred	The researchers inferred the disease's cause from the patient's symptoms.
inflammation	The doctor prescribed medicine to reduce the inflammation in her knee.
ingest	Young children should not ingest peanuts due to serious allergic reactions.
inhibit	The strict dress code seemed to inhibit students' self-expression and creativity.
inquire	She decided to inquire about the job opening at the company.
inquiry	The police conducted a thorough inquiry into the mysterious disappearance.
insulate	The thick walls insulate the building from external noise and cold.
intermediary	The lawyer acted as an intermediary between the two parties.
intervene	The referee had to intervene when the players started fighting.
intestine	Doctors removed a damaged section of his small intestine during surgery.
intoxicate	Alcohol will intoxicate the body and impair physical coordination.
intrigue	The mysterious letter managed to intrigue even the skeptical old man.
intrusive	His intrusive questions about my personal finances made me uncomfortable.
invoke	The manager decided to invoke a company policy to justify the decision.
irrigation	The farmer used modern irrigation systems to water all his crops.
jug	She poured cold milk from the ceramic jug into small cups.
landmark	Graduating from university was a landmark achievement in her academic journey.
latter	Between coffee and tea, I prefer the latter beverage.
launder	I need to launder these dirty clothes before tomorrow.
legislate	The government decided to legislate new environmental protection standards.
legislation	New legislation was passed to regulate the tech industry's practices.
leisure	She spent her leisure time reading books and gardening.
linger	The wonderful aroma seemed to linger in the kitchen.
literacy	Improving literacy rates in developing countries remains a global education priority.
literate	Every child deserves access to education to become literate.
litter	The playground was covered in litter after the busy weekend event.
lodge	We decided to lodge at the small hotel near the mountain.
loosely	The shirt fit loosely and hung somewhat awkwardly on him.
lumber	The construction site stored heavy lumber needed for building.
luminous	The luminous glow of the lantern guided them through darkness.
malformation	The doctor detected a malformation in the baby during the scan.
malnutrition	Malnutrition left the children weak, underweight, and lacking basic vitamins.
mediocre	The critic gave the film a mediocre review, calling it forgettable.
mere	He dismissed her concerns as mere exaggeration and completely refused to listen.
mischief	The children's mischief involved secretly hiding their teacher's car keys.
mobilize	Volunteers hurried to mobilize resources and support after the flood.
mold	Parents should mold their children's character through positive role modeling.
moth	A large moth flew through the window and landed on the lamp.
mundane	Despite the mundane office tasks, she found joy in simple routines.
mutual	Their mutual love and respect formed the foundation of a strong marriage.
namely	She enjoyed many winter sports, namely skiing and ice skating.
nausea	The strong chemical smell caused immediate nausea and dizziness.
negate	His good deeds cannot negate all the harm he caused.
negligent	The negligent driver caused an accident by ignoring traffic signals.
nonetheless	The project faced many obstacles; nonetheless, the team completed it successfully.
notable	Her notable contribution to science earned her international recognition.
notably	Many fruits, notably apples and oranges, contain important vitamins for health.
noted	The noted author gave a fascinating lecture about her writing.
nurture	Parents should nurture their children's talents and encourage development.
nutrient	Fish contains important nutrients like omega-3 fatty acids for health.
oblige	The new rules oblige employees to attend safety training.
obsolete	That old computer is now completely obsolete and nonfunctional.
offset	The company's profits help offset the losses from the new division.
ordinarily	She ordinarily wakes up early but today slept until noon.
orient	It took him several minutes to orient himself after arriving.
originate	The tradition originated centuries ago and continues to the present.
outrage	The referee's unfair decision caused outrage among the fans and players.
outweigh	The benefits of the new system outweigh the initial costs.
overdue	The library sent a notice that my book was overdue.
overlooked	I overlooked that important detail when I first read it.
overwhelm	The sheer number of tasks seemed to overwhelm her.
particle	A single dust particle floating in the sunbeam caught her attention.
particulars	She requested the particulars of the contract before signing.
perceive	He could perceive the subtle hint of sadness in her smile.
persuasion	Through gentle persuasion, she convinced him to reconsider his decision.
persuasive	His persuasive argument successfully convinced the committee about the proposal.
physician	The physician examined the patient thoroughly before the diagnosis.
pivot	The door swings on a pivot and opens both ways.
plunge	He took a deep breath and decided to plunge into water.
pollutant	The factory released a dangerous pollutant that contaminated water.
portray	The documentary portrays the life of an ordinary person.
pose	Heavy traffic poses a serious safety risk for pedestrians.
posture	Good posture while sitting at a desk prevents back pain.
potent	That potent medicine can only be prescribed by physicians.
potter	The potter shaped the wet clay on the spinning wheel.
pottery	Archaeologists discovered ancient pottery buried deep beneath the old village.
