infiltrate	מרגלים הצליחו להסתנן למתחם השגרירות במשך כמה חודשים.
inflate	אתה צריך לנפח את הצמיגים לפני שאתה נוסע ברכב.
inhabitants	לאי יש רק מאתיים תושבים בחורף.
inherit	אחי יירש את החווה כשאבא שלנו יפרוש.
inn	לנו באותו לילה בפונדק קטן ליד האגם.
innovate	החברה שואפת לחדש ולהביא רעיונות טריים לשוק.
intact	האגרטל נפל אבל נשאר ללא פגע בזכות השטיח הרך.
intersection	פנה ימינה בצומת הבא ליד הפארק.
intervention	ההתערבות של הממשלה עזרה להציל את הבנק הכושל.
intimidate	הטון התוקפני שלו נועד להפחיד את השחקנים האחרים.
irresistible	הריח של הלחם הטרי היה כזה שממש אי אפשר היה לעמוד בפניו.
isle	האי הקטן שבאמצע המפרץ יפהפה.
ivory	מקשי הפסנתר היו עשויים משנהב לפני שנים רבות.
janitor	השרת הגיע מוקדם כדי לנקות את בניין המשרדים.
kettle	שמתי את הקומקום על הכיריים כדי להכין תה.
laid	היא הניחה את השמיכה על המיטה בזהירות רבה היום.
lean	הוא נשען על הקיר בזמן שחיכה לאוטובוס.
lie, lay	הכלב שכב על הרצפה ליד האח כל אחר הצהריים.
likewise	היא למדה קשה למבחן; כמו כן, אחיה התכונן היטב.
limb	התאונה השאירה אותה עם גף שבור.
literary	הניתוח הספרותי שלה לרומן הראה הבנה עמוקה.
lurking	סכנה ארבה ברחובות החשוכים בלילה.
magnitude	אף אחד לא הבין את גודל האסון עד מאוחר יותר.
mammal	לוויתן הוא יונק, לא דג.
manuscript	הסופרת הגישה את כתב היד שלה למו"ל בחודש שעבר.
marble	משטח העבודה היה עשוי משיש לבן מלוטש.
martial	החיילים שמרו על משמעת צבאית קפדנית במהלך תרגילי האימונים שלהם.
massacre	הטבח הרג מאות כפריים באזור ההררי הנידח.
mastery	שנים של תרגול העניקו לה מומחיות מלאה בפסנתר.
match	הוא הצית גפרור כדי להדליק את הנר.
maturity	היא הפגינה בגרות רבה באופן שבו טיפלה בבעיה.
mechanize	המפעל ימכן את הייצור כדי להגביר משמעותית את היעילות.
medieval	הטירה מימי הביניים עמדה על הגבעה במשך מאות שנים.
merely	זו הייתה רק תאונה, לא משהו שצריך לדאוג ממנו.
merger	המיזוג של שתי החברות יצר עסק גדול יותר.
merit	לפרויקט היה ערך והוא היה ראוי לתשומת הלב המלאה שלנו.
mild	מזג האוויר היה מתון ונעים במהלך חופשת האביב שלנו.
mimic	ילדים לעיתים קרובות מחקים את ההתנהגות ודפוסי הדיבור של הוריהם.
miserable	הוא הרגיש אומלל אחרי שאיבד את השעון האהוב עליו בחוף.
misty	הבוקר היה מעורפל ולא יכולנו לראות למרחק.
mock	הילדים המבוגרים יותר לעגו לתלמיד החדש בקשיחות.
moderate	מזג האוויר היום מתון ונעים לטיול.
modest	למרות שניצחה, היא נשארה צנועה לגבי ההישג שלה.
moist	העוגה הייתה לחה בדיוק כמו שצריך וטעימה לאכילה.
mole	חפרפרת חפרה מתחת לגינה והרסה את הדשא.
moreover	היא חכמה; זאת ועוד, היא אדיבה לכולם.
mortality	שיעור התמותה מהמחלה ירד משמעותית.
mourning	המשפחה הייתה באבל אחרי מותו של סבם.
mutually	השכנים הסכימו הדדית לחלוק בעלות הגדר.
naval	הבסיס הימי הגן על החוף מפני התקפת אויב.
neglect	הוא הזניח את הגינה שלו וכל הפרחים מתו במהירות.
neither... nor...	לא טום ולא אחותו רצו להגיע לאירוע.
nevertheless	היה קר בחוץ; למרות זאת, הילדים שיחקו בשמחה.
newscaster	מגיש החדשות דיווח על החדשות האחרונות במקצועיות רגועה.
nobility	האצולה התכנסה בארמון המלכותי לחגיגה.
notion	היא דחתה את הרעיון שהיא לא יכולה להצליח.
numb	אצבעותיו היו חסרות תחושה מקור מזג האוויר החורפי.
numerous	היא עשתה ניסיונות רבים לפני שהצליחה לבסוף במשימה.
nursery	חדר הילדים של התינוק נצבע בצבע צהוב חיוור ורך.
nutrition	תזונה טובה חיונית לגדילה ולהתפתחות תקינה.
oath	הוא נשבע שבועה להגן על המדינה בחייו.
obey	החיילים ציתו למפקד שלהם ללא כל שאלות.
obstacle	העץ שנפל היה מכשול משמעותי על השביל.
occupy	הפאזל העסיק את מחשבתה במשך כמה שעות באותו אחר צהריים.
occurrence	שיטפונות כאלה היו התרחשות נדירה באזור הזה.
odor	הריח החזק מהמפעל הפריע לכל התושבים בסביבה.
offshore	אסדת הנפט הייתה ממוקמת מול החוף במים עמוקים.
oriented	החדר היה מכוון כך שיפנה לנוף ההר היפה.
ornament	היא תלתה קישוט זכוכית קטן ליד החלון בכל חורף.
outbreak	התפרצות המחלה התפשטה במהירות בכל האזור.
outline	המתאר של ההר היה גלוי מול השמיים.
oversee	המנהל יפקח על בניית הבניין החדש.
overtake	המכונית המהירה יותר הצליחה לעקוף את המשאית בכביש המהיר.
pace	היא הלכה בקצב מהיר ברחוב הסואן.
paddle	הוא השתמש במשוט עץ כדי להנחות את הקאנו הקטן בבטחה.
pedestrian	הולך הרגל חיכה בפינה שהרמזור יתחלף.
perception	התפיסה שלה את המצב הייתה שונה לחלוטין משלי.
persist	למרות הקשיים, היא התמידה בהשגת המטרות שלה.
persuade	היא ניסתה לשכנע את חברתה לנסות את הספורט החדש.
pest	היתוש הוא מזיק נפוץ במהלך חודשי הקיץ.
