subtraction	OK
superficial	OK
supplement	OK
surrounding	OK
sustain	OK
tame	OK
tendency	OK
tender	FIX	העלים הרכים של ורדי האביב דורשים טיפול זהיר והשקיה.
testify	OK
tin	FIX	גג הפח הישן החליד אחרי שנים רבות של גשם.
toad	OK
tolerate	OK
trait	OK
transcript	FIX	הסטודנטית ביקשה גיליון ציונים רשמי המפרט את כל הקורסים והציונים שלה במכללה.
transplant	OK
treaty	OK
unbearable	OK
undoubtedly	OK
unrest	OK
urge	OK
urine	OK
vacant	OK
validity	OK
vast	OK
verdict	OK
vice versa	OK
vinegar	FIX	היא הוסיפה קצת חומץ כדי להפוך את רוטב הסלט לחמצמץ יותר.
violate	OK
violation	OK
viper	OK
virtually	FIX	למעשה בלתי אפשרי למצוא את המסעדה הזאת בלי מפה טובה.
wage	OK
wanted	OK
wardrobe	OK
warfare	OK
wasp	FIX	צרעה בנתה את קנה העשוי מחומר דמוי נייר מתחת למרפסת הבית.
weave	OK
welfare	OK
widespread	OK
withstand	OK
abduct	OK
abundance	OK
accentuate	OK
accommodate	OK
accumulate	OK
accustomed	OK
acquisition	OK
acquitted	OK
adhere	OK
adjacent to	OK
administer	OK
adolescence	OK
aisle	OK
algae	OK
alienation	OK
allocate	OK
alterations	OK
ambiguous	OK
amend	OK
amid	FIX	בתוך כל התוהו ובוהו, הילד הצליח להישאר רגוע לחלוטין.
ample	OK
amputation	OK
anesthesia	OK
annually	OK
anticipate	OK
anxiety	OK
apparatus	OK
apparent	OK
appoint	OK
appropriately	OK
arguably	OK
arise, arose	OK
ark	OK
array	OK
assert	OK
assertion	FIX	הטענה שלו שהוא חף מפשע לא הייתה אמינה בעיני חבר המושבעים.
assess	OK
at your disposal	OK
attain	OK
attendant	OK
