industrious	התלמידה החרוצה למדה עד השעות המאוחרות כל לילה לקראת המבחן.
infancy	החברה עדיין הייתה בינקותה כשהמשקיעים החלו לקנות מניות.
infraction	עבירת חניה עלולה לעלות לך קנס של חמישים דולר.
inhabit	לטאות מדבר גרות באזורים סלעיים שבהם הן מוצאות מחסה.
inherent	עקשנות היא תכונה טבועה בקו המשפחה שלו.
innate	למוזיקאים יש לעיתים קרובות חוש קצב מולד מלידה.
instill	מורים טובים משרישים ביטחון בתלמידיהם במהלך השיעור.
insurmountable	הבעיה נראתה כאילו אי אפשר להתגבר עליה, עד שהצוות עבד יחד.
insurrection	ההתקוממות אילצה את הממשלה לזמן חיילים.
interjection	ההערה הגסה שלו באמצע הישיבה הרגיזה את כל הנוכחים.
interminable	הנאום הנצחי גרם לקהל לבדוק את השעונים שלהם.
invariably	היא תמיד מגיעה לעבודה לפני כל אחד אחר.
invertebrate	תמנון הוא בעל חיים חסר חוליות ללא עמוד שדרה שיכול להידחק דרך מקומות צרים.
jagged	הסלעים המשוננים לאורך החוף עלולים לפצוע את כפות הרגליים שלך.
keep	עליך לשמור את המסמכים האלה במקום בטוח.
keystone	אמון הוא אבן המפתח שמחזיקה כל חברות יחד.
lackluster	האוכל חסר הברק של המסעדה היה כה תפל וחסר חיים שאף אחד לא סיים אותו.
lamentable	הביצוע המצער שלה במחזה בית הספר איכזב את הוריה התומכים.
lapse	רגע של שכחה גרם לו לשכוח את שם חברו הטוב ביותר.
laud	המאמן ישבח את העבודה הקשה של הקבוצה במהלך האימון.
legible	כתב היד שלך חייב להיות קריא כדי שהמורה יוכל לבדוק אותו.
leisurely	הם יצאו לטיול נינוח בפארק אחרי ארוחת הערב.
leniency	השופט הפגין ותרנות בכך שהקטין את עונש המאסר שלו.
limber	ספורטאים חייבים להישאר גמישים באמצעות מתיחות בכל יום.
lineage	שושלתו מתחקה עד למלוכה בסקוטלנד.
loathe	אנשים רבים מתעבים את מראה הנחשים בבתיהם.
lucrative	העסקה הרווחית הזאת עשתה אותה עשירה תוך שנה.
manifestation	חום הוא לרוב ביטוי של הצטננות רגילה.
maritime	חוק ימי מסדיר את כל הפעילויות המתרחשות בים.
markedly	מצב הרוח שלה השתפר בצורה ניכרת אחרי שקיבלה חדשות טובות.
marsupial	קנגורו הוא חיית כיס שנושאת את גוריה בכיס על בטנה.
mediate	עורך דין יתווך בין שני שותפי העסק הכועסים.
meticulous	הצייר הקפדני בילה שבועות בשכלול כל פרט קטן.
misconception	דעה מוטעית נפוצה היא שסוכר גורם לילדים להיות פעלתניים.
mitigate	פעילות גופנית יכולה למתן את השפעות הלחץ על הגוף שלך.
momentous	היום שבו סיימתי את הלימודים היה הרה גורל עבור כל משפחתי.
morose	הגישה הקודרת שלו הפכה אותו ללא פופולרי בקרב עמיתיו לעבודה.
myriad	יש סיבות רבות לכך שאנשים נהנים לקרוא ספרים.
nationalize	הממשלה החליטה להלאים את תעשיית הפלדה הכושלת.
negligence	רשלנות הנהג גרמה לתאונה שפצעה שלושה אנשים.
negligible	כמות המלח במרק הזה זניחה.
nestle	החתול בחר להתכרבל אל השמיכה החמה.
nocturnal	ינשופים הם ציפורים ליליות שצדות רק בשעות הלילה.
notwithstanding	למרות גילו, הוא עדיין שיחק בספורט מדי שבוע.
nourish	אוכל טוב יזין את גופך ויעזור לך לגדול.
nuisance	הכלב הנובח הזה הוא מטרד לכל השכונה.
numerator	המונה בשבר הוא תמיד המספר שנמצא למעלה.
obedience	הוריו דרשו ציות מלא לכל כללי הבית.
obedient	ילד צייתן מקשיב למה שהוריו אומרים לו.
obscure	הלהקה הלא ידועה הזאת מנגנת רק במועדונים מקומיים קטנים.
obstinate	הוא היה עקשן וסירב להקשיב לכל עצה.
ode	המשורר כתב שיר הלל ליופיה של הטבע.
officiate	השופט יערוך את טקס החתונה בשבת הקרובה.
omission	ההשמטה של שמך הייתה בבירור טעות דפוס.
omit	זכור להשמיט את המלח אם האורחים שלך מעדיפים פחות.
omniscient	המספר הכל-יודע ברומן ההוא ידע את כל הסודות.
oppressive	הבוס האכזרי שלה השפיל עובדים מול כל המשרד.
outspoken	היא דיברה בגלוי על אי ההסכמה שלה עם המדיניות.
overhaul	החברה מתכננת לשפץ מחדש את שירות הלקוחות שלה בחודש הבא.
owing to	הטיסה התעכבה בגלל סופות שלג כבדות.
paramount	בטיחות המזון היא בעלת חשיבות עליונה כשמכינים ארוחות עבור אחרים.
pastime	התחביב האהוב עליה היה קריאת ספרי מתח בסופי שבוע.
pasture	החקלאי הוביל את הבקר שלו אל האחו הירוק.
peddler	הרוכל ברחוב מכר תכשיטים ופריטי זיכרון לתיירים.
penned	הסופר כתב את הרומן בתוך שלושה חודשים בלבד.
perch	הציפור מצאה מקום לנוח עליו על חוט הטלפון.
perpetually	נראה שלחנות הזאת יש כל הזמן מבצעים על המוצרים שלה.
perpetuate	רשתות חברתיות נוטות להנציח סטריאוטיפים מזיקים על אנשים.
persecution	רדיפה פוליטית אילצה פעילים רבים לברוח מארץ מולדתם בסתר.
pervasive	הגישה המתפשטת הזאת של עצלות משפיעה על החברה כולה.
plausible	התירוץ שלו לאיחור היה סביר ואמין.
playwright	המחזאית כתבה שלוש קומדיות מצליחות במהלך הקריירה שלה.
plight	נפגעי השיטפון היו במצוקה קשה בלי מזון ומחסה.
plummet	מחירי המניות צנחו אחרי שהחברה הודיעה על חדשות רעות.
poacher	הצייד הבלתי מורשה נעצר על ציד פילים באופן לא חוקי.
poignant	לסרט היה קטע נוגע ללב שגרם לאנשים לבכות.
populous	טוקיו היא עיר מאוכלסת בצפיפות עם יותר משלושה עשר מיליון תושבים.
postage	דמי משלוח לדואר בינלאומי עולים הרבה יותר מדואר מקומי.
posterity	הוא קיווה שיצירותיו הגדולות ימשיכו לחיות בזיכרון הדורות הבאים.
pothole	הבור בכביש פגע בגלגל של המכונית שלה בזמן סופת הגשם.
