prediction	OK
preserve	OK
primarily	OK
probable	OK
prolong	FIX	Doctors decided to prolong his hospital stay by two extra weeks for observation.
promote	OK
proportion	OK
proposition	OK
publicized	OK
pupil	OK
purification	OK
purposely	OK
puzzled	OK
quake	OK
qualify	OK
railroad	OK
rates	OK
readiness	OK
rebellious	OK
reconstruct	OK
recreate	OK
recruit	OK
recurring	OK
refer	OK
reflect	OK
reflection	OK
refugee	FIX	The refugee family left their flooded village and needed temporary shelter.
regain	OK
regardless	OK
regime	OK
regulation	OK
rehabilitation	OK
relate	OK
relating	OK
relieve	OK
relocate	OK
renovation	OK
repetition	OK
reproduce	OK
reside	OK
resigned	OK
resolve	OK
restriction	OK
resume	OK
revert	OK
revise	OK
revision	OK
revived	OK
revolt	OK
rhyme	OK
rivalry	OK
robe	OK
ruler	OK
safeguard	OK
sanitary	OK
scenery	OK
scholar	OK
sensation	OK
shipment	OK
shuttle	OK
sibling	OK
sideways	OK
significance	OK
simplicity	OK
simultaneously	OK
skyscraper	OK
slaughter	OK
slope	OK
sneeze	OK
spark	OK
specify	OK
spinach	OK
stabilize	OK
stain	OK
stalk	OK
stove	OK
stunned	OK
substitute	OK
suburb	OK
sufficient	OK
