143	קוּף הַמַּחַט	CONFIRMED	
144	שַׁבְשֶׁבֶת	CONFIRMED	
147	טֶפַח	REJECTED	
148	דַּיָּה	CONFIRMED	
150	עָלָה בְּקָנֶה אֶחָד	CONFIRMED	
152	מִנְשָׁר	CONFIRMED	
159	סַנְוֵרִים	REJECTED	
171	הֶחֱזִיר עֲטָרָה לְיָשְׁנָהּ	REJECTED	הפירוש מצמצם שלא לצורך (דוגמאות המקור: בית ספר, בניין)
174	אוֹתִיּוֹת קִדּוּשׁ לְבָנָה	CONFIRMED	
176	הִתְעַתֵּד	CONFIRMED	
177	בֶּן דְּמוּתוֹ	REJECTED	
180	סְמָדַר	CONFIRMED	
182	אֶל נָכוֹן	CONFIRMED	
183	אַסְדָּה	CONFIRMED	
187	יֵשׁ דְּבָרִים בְּגוֹ	CONFIRMED	
191	פְּרוֹלוֹג	CONFIRMED	
195	קָתֶדְרָה	CONFIRMED	
196	פְּלָצוּר	CONFIRMED	
197	תַּתְרָן	CONFIRMED	
198	אִימּוּם	CONFIRMED	
