116	כֵּס	CONFIRMED		
122	דֹּפֶן	CONFIRMED		
123	קוֹרָה	CONFIRMED		
124	יָתֵד	CONFIRMED		
130	כּוּר	CONFIRMED		
132	אוּד	CONFIRMED		
138	מַתָּת	CONFIRMED		
140	רוֹכֵל	CONFIRMED		
144	שֹׁקֶת	CONFIRMED		
148	אֹרְחָה	CONFIRMED		
157	רָדוּד	CONFIRMED		
161	אָדוּק	CONFIRMED		
164	יוֹקֵד	CONFIRMED		
167	עָבֹת	CONFIRMED		
168	מְסֻרְבָּל	CONFIRMED		
170	נִכְמְרוּ רַחֲמָיו	CONFIRMED		
180	תָּלוּי עַל בְּלִימָה	REJECTED		חסר בסיס, לא נשען על דבר
183	צַר עַיִן	CONFIRMED		
187	יָצָא בְּשֵׁן וָעַיִן	CONFIRMED		
188	כְּמוֹצֵא שָׁלָל רָב	CONFIRMED		
