2	בְּרַם	CONFIRMED		
5	בְּשֶׁל	CONFIRMED		
8	אֵפוֹא	CONFIRMED		
11	חֶרֶף	CONFIRMED		
12	אִלְמָלֵא	CONFIRMED		
14	לִכְאוֹרָה	CONFIRMED		
16	אָמְנָם	CONFIRMED		
17	דְּהַיְנוּ	CONFIRMED		
19	יֶתֶר עַל כֵּן	CONFIRMED		
23	לְכַתְּחִלָּה	CONFIRMED		
25	נִמְהָר	REJECTED		פזיז, פועל בחיפזון ובלי לשקול
27	וַתְרָן	CONFIRMED		
28	דַּעְתָּן	CONFIRMED		
30	יָהִיר	CONFIRMED		
31	עָנָו	CONFIRMED		
35	נוֹעָז	CONFIRMED		
36	הָגוּן	CONFIRMED		
37	עִקֵּשׁ	CONFIRMED		
39	כָּנוּעַ	CONFIRMED		
43	מֻפְנָם	CONFIRMED		
