86	רָוַח	CONFIRMED	מילוג: לפועל שתי המשמעויות, גם הוקל לו וגם נעשה נפוץ	
87	נִקְלַע	CONFIRMED	מילוג: נקלע = הגיע במקרה למקום או למצב, כמשמעות ראשית	
93	עָטָה	CONFIRMED		
94	חָבַשׁ	CONFIRMED	מילוג: גם שם כובע על הראש וגם כרך בד סביב פצע	
95	דִּדָּה	CONFIRMED	מילוג נותן בדיוק את המשמעות הזו כמשמעות היחידה של הפועל	
99	הִבְלִיחַ	CONFIRMED		
100	בָּקַע	CONFIRMED	ויקימילון: שתי המשמעויות קיימות בבניין פעל	
105	מָרַט	CONFIRMED		
108	כָּפַף	CONFIRMED	מילוג לעיקם; בן-יהודה לכפה והכניע	
110	הִפְשִׁיט	CONFIRMED		
114	מִפְלָט	CONFIRMED		
123	נֹגַהּ	CONFIRMED		
125	אֶשְׁנָב	CONFIRMED		
126	צֹהַר	CONFIRMED		
128	אֶדֶן	CONFIRMED	מילוג: בסיס תומך וגם אדן חלון	
130	שֹׁבֶל	CONFIRMED	מילוג: שולי בגד נגררים וגם פס הנמשך מאחור	
131	אֲלֻמָּה	CONFIRMED		
133	נָוֶה	CONFIRMED		
137	מַשָּׁב	CONFIRMED	מילוג: תנועת רוח, נשיבה	
138	פֶּלֶג	CONFIRMED		
