76	תָּלוּשׁ	CONFIRMED		
84	קָבַע מַסְמְרוֹת	CONFIRMED		
89	בַּת קוֹל	CONFIRMED		
91	בָּבַת עַיִן	CONFIRMED		
92	בֶּן טִפּוּחָיו	CONFIRMED		
93	כְּלִיל הַשְּׁלֵמוּת	CONFIRMED		
94	הִדְרִיךְ מְנוּחָתוֹ	CONFIRMED		
99	דֶּרֶךְ הַמֶּלֶךְ	CONFIRMED		
102	פִּיק בִּרְכַּיִם	CONFIRMED		
106	עַז נֶפֶשׁ	CONFIRMED		
117	בְּמַפְגִּיעַ	CONFIRMED		
119	בּוֹשׁ	CONFIRMED		
121	הִפְלִיג בְּ־	CONFIRMED		
123	הִתְנַכֵּר	CONFIRMED		
127	קוּשְׁיָה	CONFIRMED		
143	הָלַם	CONFIRMED		
146	מֶחֱוָה	CONFIRMED		
159	הִשְׁתַּיֵּר	CONFIRMED		
165	שִׂמְחָה לְאֵיד	CONFIRMED		
182	קָמוּר	CONFIRMED		
