96	לֵיל שִמּוּרִים	CONFIRMED		
97	עָקַר אֶת רַגְלָיו	CONFIRMED		
99	קִיצֵּץ אֶת כְּנָפָיו	CONFIRMED		
100	דִמְעוֹת שָׁלִישׁ	CONFIRMED		
105	דִמְעוֹת תַנִּין	CONFIRMED		
106	יְחִידֵי סְגוּלָה	CONFIRMED		
107	זָרָה אֲבָק / חוֹל בַּעֵינַיִים	CONFIRMED		
109	רִיפָּה אֶת יָדָיו	CONFIRMED		
111	בֵּית תַּמְחוּי	CONFIRMED		
112	כִּתְמוֹל שִׁלְשוֹם	CONFIRMED		
113	רִפְיוֹן יָדַיִּם	CONFIRMED		
114	נָטָה חֶסֶד	CONFIRMED		
123	אפיל	CONFIRMED		
127	תרגימה	CONFIRMED		
129	אור יקרות	CONFIRMED		
141	נחל איתן	CONFIRMED		
145	לבטים	CONFIRMED		
150	אתרע מזלו	CONFIRMED		
151	בוקי סריקי	CONFIRMED		
152	בריש גלי	CONFIRMED		
