4	וָלָד	CONFIRMED		
6	דְּבִיר	CONFIRMED		
9	רְאֵם	CONFIRMED		
10	חֶלֶד	CONFIRMED		
12	אֵין בּוֹ מְתֹם	CONFIRMED		
19	מְטֻלָּל	CONFIRMED		
23	חִזָּיוֹן	CONFIRMED		
24	אֵם הַדֶּרֶךְ	CONFIRMED		
26	אוֹת וּמוֹפֵת	CONFIRMED		
29	נוֹטָרִיקוֹן	CONFIRMED		
32	סָבִיל	CONFIRMED		
34	סָרִיס	CONFIRMED		
35	נִסְתַּם הַגּוֹלֵל	CONFIRMED		
36	הָלַךְ רָכִיל	CONFIRMED		
37	שִׂיג וָשִׂיחַ	CONFIRMED		
41	אֵזוֹב	CONFIRMED		
43	כָּסַס	CONFIRMED		
45	בּוֹקֵק	CONFIRMED		
46	יִדְּעוֹנִי	CONFIRMED		
47	זִלּוּת	CONFIRMED		
