124	עָגְמַת נֶפֶשׁ	CONFIRMED		
128	מִקְלַעַת	CONFIRMED		
130	הִתְנוֹסֵס	CONFIRMED		
132	עַל נְקַלָּה	CONFIRMED		
136	אֶבְרָה	CONFIRMED		
145	פְּרִי הִלּוּלִים	CONFIRMED		
147	בֵּין הָעַרְבַּיִם	CONFIRMED		
148	אִישׁוֹן לַיְלָה	CONFIRMED		
149	מְאוֹר פָּנִים	CONFIRMED		
164	יָצוּל	CONFIRMED		
166	פַּדַּחַת	CONFIRMED		
168	קְנוֹקֶנֶת	CONFIRMED		
174	פֹּארָה	CONFIRMED		
176	מִבְדּוֹק	CONFIRMED		
188	נָשִׂיא	REJECTED		ראש מדינה, מנהיג; ענן, עב
190	סְפָר	CONFIRMED		
191	שְׁתַדְלָן	CONFIRMED		
192	שְׂכַלְתָן	CONFIRMED		
195	מְצוּעֲצָע	CONFIRMED		
196	אַרְכָּה	CONFIRMED		
