key	t
H810.תוגה	ש
H810.אבל	ש
H817.משא	ש
H820.קצת	א
H820.מעט	א
H823.קרש	ש
H850.לבש	פ
H853.בודד	ת
H857.שוט	ש
H859.סופה	ש
H861.תיש	ש
H868.עיר	ש
H875.שנא	פ
H879.טוב	ת
H893.מתי	א
H898.אסמ	ש
H902.פתח	ש
H904.שוחח	פ
H922.פסק	פ
H930.עני	ת
H931.נעל	פ
H932.שפכ	פ
H937.הודה	פ
H938.אימ	פ
H939.פרח	פ
H942.כפר	פ
H955.מגש	ש
H959.פוחד	פ
H959.חושש	פ
H972.זוהר	ש
H973.שוט	ש
H994.ריק	ת
H998.ענק	ש
H1002.פנה	פ
H1002.יצא	פ
H1002.פקד	פ
H1013.הלכ	פ
H1020.טוענ	ש
H1031.מאס	פ
H1034.שמצ	ש
H1035.ריק	ת
H1036.הבט	פ
H1036.ראה	פ
H1044.עני	ת
H1047.שולי	ת
H1049.שלמ	ת
H1050.סופ	ש
H1055.שקר	ש
H1056.שקר	ש
H1062.בטנ	ש
H1073.פגמ	ש
H1075.בושה	ש
H1082.מנע	פ
H1082.שלל	פ
H1082.אסר	פ
H1085.שוטט	פ
H1092.נוזל	פ
H1096.שולי	ת
H1103.סבב	פ
H1106.צולע	ת
H1108.עני	ת
H1109.שוממ	ת
H1109.יבש	ת
H1116.שוטה	ת
H1118.רעב	ש
H1119.קשר	פ
H1119.כבל	פ
H1126.פחד	ש
H1131.חולי	ש
H1136.עני	ת
H1142.מזג	פ
H1154.נדמ	פ
H1157.בור	ש
H1159.נזל	פ
H1159.זרמ	פ
H1167.נוכל	ש
H1174.ירח	ש
H1176.סופ	ש
H1180.עננ	ש
H1184.חושכ	ש
H1187.מזל	ש
H1187.גורל	ש
H1188.מעט	א
H1188.קצת	א
H1189.צרה	ש
H1192.צולע	ת
H1202.שנא	פ
H1208.בושה	ש
H1210.לעג	פ
H1212.נכס	ש
H1216.כתמ	ש
H1216.פגמ	ש
H1225.שבר	פ
H1227.עני	ת
H1231.זעק	פ
H1232.ראה	פ
H1232.שרפ	פ
H1232.צרב	פ
H1238.למד	פ
H1240.קרע	ש
H1241.צעד	ש
H1257.ברק	ש
H1268.סופ	ש
H1270.תיק	ש
H1271.ראי	ש
H1272.מוקפ	ת
H1276.דרכ	ש
H1277.ברכ	ש
H1279.חוטא	ש
H1279.רשע	ש
H1289.עלה	פ
H1302.שתק	פ
H1302.דממ	פ
H1309.כפפ	פ
H1312.רשמ	פ
H1314.מחה	פ
H1315.רשע	ש
H1324.כעס	ש
H1324.זעמ	ש
H1350.מאז	א
H1358.אור	ש
H1358.זוהר	ש
H1359.אופה	ש
H1360.בולט	ת
H1363.שתק	פ
H1367.לעג	פ
H1370.קצה	ש
H1373.שבר	פ
H1373.לחצ	פ
H1373.מעכ	פ
