id	v
M1020.1518	ל
M1028.1528	ל
M1031.1531	ל
M1036.1538	ל
M1036.1539	ל
M1044.1541	ל
M1044.1542	ל
M1044.1543	ל
M1047.1549	ל
M1049.1555	ל
M1049.1556	ל
M1050.1561	ל
M1055.1565	ל
M1056.1568	ל
M1060.1580	ל
M1060.1586	ל
M1062.1587	ל
M1073.1597	ל
M1073.1598	ל
M1081.1616	ל
M1081.1617	ל
M1082.1618	כ
M1082.1619	כ
M1082.1620	ל
M1082.1621	כ
M1082.1622	ל
M1082.1623	כ
M1087.1630	ל
M1096.1645	ל
M1106.1658	ל
M1108.1659	ל
M1108.1660	ל
M1108.1661	ל
M1109.1664	ל
M1109.1665	כ
M1116.1676	ל
M1116.1677	ל
M1119.1678	ל
M1119.1679	כ
M1119.1680	ל
M1119.1681	כ
M1119.1682	ל
M1131.1691	ל
M1131.1692	כ
M1136.1700	ל
M1136.1701	ל
M1136.1702	ל
M1142.1711	ל
M1142.1712	כ
M1142.1713	כ
M1152.1725	ל
M1157.1730	ל
M1159.1734	כ
M1167.1739	ל
M1167.1740	ל
M1168.1741	ל
M1184.1752	ל
M1184.1753	כ
M1187.1754	ל
M1187.1755	ל
M1188.1756	ל
M1188.1757	כ
M1189.1758	ל
M1189.1759	ל
M1192.1760	ל
M1194.1763	ל
M1203.1784	ל
M1210.1785	ל
M1210.1786	ל
M1216.1791	ל
M1216.1792	ל
M1221.1794	ל
M1221.1795	ל
M1225.1801	כ
M1225.1802	ל
M1227.1805	ל
M1227.1806	ל
M1227.1807	ל
M1231.1810	ל
M1232.1814	כ
M1232.1815	ל
M1232.1816	כ
M1232.1817	ל
M1232.1818	כ
M1236.1820	ל
M1238.1827	ל
M1238.1828	כ
M1238.1829	ל
M1240.1833	ל
M1241.1834	ל
M1252.1850	ל
M1257.1856	ל
M1259.1857	ל
M1268.1870	ל
M1272.1871	ל
M1276.1880	ל
M1276.1881	ל
M1277.1882	ל
M1277.1884	ל
M1289.1899	ל
M1289.1900	כ
M1289.1901	ל
M1302.1909	כ
M1302.1910	כ
M1302.1911	ל
M1302.1912	כ
M1302.1913	ל
M1305.1916	ל
M1306.1917	ל
M1312.1930	כ
M1312.1931	כ
M1312.1932	ל
M1314.1934	ל
M1316.1935	ל
M1324.1940	ל
M1324.1941	ל
M1324.1942	ל
M1358.1974	ל
M1358.1975	כ
M1359.1976	ל
