key	t
H1375.ריב	ש
H1385.גועל	ש
H1387.שכל	פ
H1400.חגר	פ
H1410.שער	ש
H1415.קסמ	ש
H1424.מוזר	ת
H1425.ספד	פ
H1426.דוור	ש
H1441.שתק	פ
H1442.עלב	פ
H1445.חשפ	פ
H1448.חשפ	פ
H1448.יצק	פ
H1448.שפכ	פ
H1455.נוסח	ש
H1458.ענפ	ש
H1460.גזר	פ
H1460.פסק	פ
H1460.קבע	פ
H1460.שרט	פ
H1469.לחש	פ
H1476.שודד	ש
H1476.גנב	ש
H1479.ברז	ש
H1479.פקק	ש
H1480.בולט	ת
H1490.אור	ש
H1490.זוהר	ש
H1492.שלב	ש
H1502.אכל	פ
H1509.מזג	פ
H1509.הרס	פ
H1509.חשפ	פ
H1510.ענפ	ש
H1515.ספר	פ
H1515.מנה	פ
H1515.הורה	פ
H1517.עוזר	ש
H1517.סגנ	ש
H1522.אויב	ש
H1522.שונא	ש
H1522.חבל	א
H1524.סיר	ש
H1527.אויב	ש
H1527.יוסד	פ
H1536.זול	ת
H1538.שטפ	ש
H1538.כעס	ש
H1538.זעמ	ש
H1548.שוטט	פ
H1555.מסד	ש
H1556.העז	פ
H1565.רסנ	ש
H1578.אולמ	א
H1578.אבל	א
H1579.גבה	ש
H1582.בודד	ת
H1599.מכה	ש
H1603.דחה	פ
H1614.קוטג	ש
H1619.שוד	ש
H1619.גזל	ש
H1620.קוצ	ש
H1622.נתח	ש
H1626.ספנ	ש
H1626.מלח	ש
H1630.מוט	ש
H1631.מדד	פ
H1640.חולי	ש
H1640.כאב	ש
H1643.זמנ	ש
H1655.מוזר	ת
H1661.יבש	ת
H1663.שולמ	פ
H1663.נקמ	פ
H1671.תאמ	פ
H1672.סוכנ	ש
H1678.נבע	פ
H1685.תפח	פ
H1686.רקה	ש
H1690.רטנ	פ
H1696.הכה	פ
H1696.הלמ	פ
H1705.גוסס	ש
H1708.חנק	פ
H1709.גודל	ש
E1.שני	ת
E4.ליד	א
E7.שוב	א
E11.לבד	א
E15.כועס	ת
E16.חיה	ש
E17.נוספ	ת
E17.אחר	ת
E20.צבא	ש
E23.כמו	א
E25.אצל	א
E31.מול	א
E36.בינ	א
E39.גופ	ש
E41.קנה	פ
E42.מוח	ש
E42.שכל	ש
E46.אבל	א
E47.ליד	א
E54.ילד	ש
E57.נקי	ת
E60.קוד	ש
E62.צבע	ש
E64.מגע	ש
E68.פשע	ש
E74.מוות	ש
E79.שונה	ת
E81.קשה	ת
E90.כוח	ש
E94.ערב	ש
E105.אבא	ש
E106.פחד	ש
E109.מעט	א
E118.כוח	ש
E122.חבר	ש
E124.פרי	ש
E125.מלא	ת
E129.כוס	ש
E136.חצי	ש
E142.כבד	ת
E143.כאנ	א
E145.סוס	ש
E148.בית	ש
