id	v
M1360.1978	כ
M1361.1979	כ
M1363.1982	כ
M1363.1983	כ
M1367.1989	כ
M1367.1990	כ
M1373.1995	כ
M1373.1996	כ
M1373.1997	כ
M1385.2011	כ
M1400.2028	כ
M1400.2029	כ
M1410.2037	ל
M1410.2038	ל
M1415.2044	כ
M1424.2048	ל
M1424.2049	כ
M1438.2068	כ
M1441.2070	כ
M1441.2071	כ
M1442.2075	כ
M1445.2083	כ
M1445.2084	כ
M1448.2088	כ
M1448.2089	כ
M1448.2090	כ
M1448.2091	כ
M1448.2092	כ
M1450.2094	כ
M1453.2098	ל
M1455.2101	כ
M1455.2102	כ
M1460.2108	כ
M1460.2109	כ
M1460.2110	כ
M1460.2111	כ
M1460.2112	כ
M1469.2120	כ
M1469.2121	כ
M1476.2132	ל
M1476.2133	כ
M1476.2134	כ
M1476.2135	ל
M1480.2136	כ
M1484.2139	כ
M1490.2141	ל
M1490.2142	כ
M1493.2145	כ
M1496.2149	כ
M1496.2150	כ
M1500.2154	כ
M1502.2155	כ
M1502.2156	כ
M1502.2157	כ
M1509.2172	כ
M1509.2173	כ
M1509.2174	כ
M1509.2178	כ
M1509.2179	כ
M1509.2180	כ
M1509.2181	כ
M1511.2183	ל
M1515.2184	ל
M1515.2185	כ
M1515.2186	כ
M1515.2187	כ
M1515.2188	ל
M1516.2189	כ
M1517.2194	כ
M1522.2196	ל
M1522.2197	כ
M1522.2199	ל
M1522.2200	ל
M1527.2209	ל
M1527.2210	כ
M1536.2231	ל
M1538.2234	כ
M1538.2235	כ
M1538.2236	כ
M1538.2237	כ
M1538.2238	כ
M1566.2273	ל
M1566.2274	ל
M1571.2276	כ
M1578.2286	כ
M1578.2288	ל
M1579.2289	ל
M1582.2291	ל
M1603.2326	כ
M1605.2329	כ
M1607.2336	כ
M1622.2348	ל
M1631.2352	כ
M1631.2353	כ
M1640.2363	ל
M1640.2364	כ
M1653.2381	כ
M1655.2382	ל
M1655.2383	כ
M1662.2397	כ
M1663.2398	?
M1671.2406	כ
M1672.2407	כ
M1678.2418	כ
M1678.2419	כ
M1682.2420	ל
M1685.2423	כ
M1688.2426	כ
M1690.2429	כ
M1690.2430	כ
M1694.2432	ל
M1698.2435	כ
M1705.2442	כ
M1708.2443	כ
M1709.2445	כ
M1713.2447	כ
