id	v
M451.665	כ
M451.667	ל
M456.668	ל
M456.669	כ
M471.677	ל
M471.678	כ
M477.686	ל
M490.705	ל
M496.713	כ
M505.728	ל
M521.755	כ
M523.758	ל
M526.760	ל
M526.761	ל
M527.762	?
M527.763	ל
M544.789	ל
M546.793	כ
M559.804	כ
M559.805	כ
M559.806	כ
M559.807	כ
M559.809	כ
M567.820	ל
M568.822	ל
M568.823	כ
M578.837	כ
M585.861	כ
M587.863	ל
M588.868	ל
M602.887	כ
M604.890	ל
M606.894	כ
M612.909	ל
M612.910	כ
M621.916	ל
M624.928	ל
M628.933	כ
M628.934	ל
M638.943	כ
M652.970	ל
M656.973	כ
M656.974	כ
M656.975	ל
M656.976	ל
M656.977	ל
M660.986	ל
M661.987	ל
M662.991	ל
M672.1003	ל
M675.1004	כ
M689.1019	ל
M694.1022	ל
M694.1023	ל
M695.1025	כ
M721.1075	ל
M723.1077	כ
M724.1080	ל
M724.1081	ל
M727.1082	ל
M727.1083	ל
M744.1102	ל
M766.1127	כ
M783.1159	כ
M796.1181	כ
M801.1187	כ
M801.1188	כ
M801.1189	כ
M801.1190	ל
M801.1191	כ
M804.1194	ל
M804.1195	ל
M810.1206	ל
M813.1211	ל
M817.1224	ל
M820.1227	ל
M820.1228	כ
M825.1235	ל
M850.1275	ל
M850.1276	ל
M850.1277	ל
M852.1279	ל
M859.1284	ל
M865.1290	ל
M892.1350	ל
M900.1362	ל
M902.1363	ל
M904.1364	ל
M904.1365	ל
M920.1378	כ
M920.1379	כ
M922.1381	ל
M925.1390	כ
M930.1393	ל
M930.1394	ל
M930.1395	ל
M931.1402	כ
M932.1405	כ
M932.1406	ל
M933.1407	ל
M938.1420	ל
M938.1421	כ
M939.1423	כ
M941.1428	ל
M942.1431	כ
M948.1432	ל
M955.1440	ל
M959.1445	כ
M972.1456	כ
M982.1469	ל
M994.1476	ל
M996.1481	ל
M1002.1489	כ
M1002.1490	ל
M1002.1491	ל
M1002.1492	כ
M1002.1493	כ
M1003.1494	כ
M1013.1505	כ
M1013.1506	כ
