id	v
M4.6	ל
M39.43	ל
M39.44	כ
M45.56	ל
M50.75	כ
M50.76	כ
M52.83	כ
M52.84	כ
M60.106	כ
M61.107	ל
M61.108	ל
M65.111	כ
M69.136	ל
M70.137	כ
M70.138	ל
M71.142	כ
M75.148	ל
M83.156	כ
M83.157	ל
M83.158	ל
M83.159	כ
M83.160	כ
M95.170	כ
M95.171	כ
M108.179	ל
M109.180	כ
M109.181	כ
M112.184	ל
M123.190	ל
M123.191	כ
M123.192	ל
M123.193	ל
M123.194	ל
M125.197	ל
M127.200	כ
M127.201	ל
M127.202	כ
M133.213	כ
M135.217	ל
M136.219	ל
M136.220	כ
M136.221	כ
M140.223	כ
M154.243	ל
M154.244	ל
M159.251	כ
M159.252	כ
M164.259	כ
M164.260	כ
M177.282	כ
M184.292	כ
M194.301	כ
M196.305	ל
M196.306	כ
M196.307	כ
M206.317	ל
M206.318	כ
M214.325	ל
M214.326	כ
M219.331	כ
M221.333	כ
M221.334	כ
M221.335	ל
M221.336	כ
M221.337	כ
M223.339	?
M223.340	כ
M223.341	ל
M225.344	כ
M225.345	כ
M225.346	כ
M225.347	כ
M226.348	כ
M234.359	כ
M239.370	כ
M242.378	כ
M257.393	כ
M264.401	כ
M268.404	כ
M268.406	כ
M268.407	כ
M268.408	ל
M272.412	כ
M281.420	ל
M283.426	כ
M283.427	ל
M283.428	כ
M283.429	כ
M310.464	כ
M310.465	כ
M311.467	כ
M311.469	כ
M319.474	ל
M319.475	ל
M331.487	כ
M341.496	ל
M345.502	כ
M345.503	כ
M359.520	ל
M361.524	כ
M364.526	כ
M376.539	?
M376.540	ל
M376.541	ל
M390.561	כ
M395.568	כ
M401.588	ל
M411.601	כ
M411.602	ל
M411.603	כ
M411.604	ל
M420.638	כ
M421.639	כ
M421.640	כ
M425.642	כ
M425.643	ל
M428.644	ל
M437.650	ל
M445.658	ל
M447.659	כ
