key	t
P4.לולא	א
P39.אכלנ	ש
P39.זללנ	ש
P45.התאפק	פ
P50.השתיק	פ
P50.השקיט	פ
P52.שלל	פ
P60.העלימ	פ
P61.נעור	פ
P65.התאספ	פ
P69.נאבק	פ
P70.התענג	פ
P70.נהנה	פ
P71.התנשא	פ
P75.התעלל	פ
P83.כעס	ש
P83.חמה	ש
P83.זעמ	ש
P95.הסתיר	פ
P95.העלימ	פ
P108.חלפ	ש
P109.התנגד	פ
P109.סרב	פ
P112.בלוי	ת
P123.הובס	פ
P123.נוצח	פ
P123.הוכה	פ
P125.ברור	ת
P127.שומר	ש
P133.נבלע	פ
P135.התנחמ	פ
P136.ברר	פ
P140.נרגש	ת
P154.חור	ש
P154.בור	ש
P159.מעט	א
P164.הרס	ש
P177.דממ	פ
P184.הפשיט	פ
P194.החלמה	ש
P196.קרה	פ
P206.ברור	ת
P206.ידוע	ת
P214.ששונ	ש
P214.אושר	ש
P219.החסיר	פ
P221.בער	פ
P221.רדפ	פ
P223.עלה	פ
P225.סגר	פ
P225.נעל	פ
P225.הבריח	פ
P226.הכניע	פ
P234.הסתיר	פ
P239.התלבט	פ
P242.התאספ	פ
P257.שקר	ש
P264.קצר	ת
P268.התנגד	פ
P268.מחק	פ
P268.ניגב	פ
P272.אוצר	ש
P281.התאפק	פ
P283.הורמ	פ
P283.הונפ	פ
P283.נאמר	פ
P283.גבוה	ת
P310.הרס	פ
P311.התפשט	פ
P311.התרחב	פ
P319.נחת	ש
P331.רופס	ת
P341.התאפק	פ
P345.סוחר	ש
P359.בררנ	ש
P361.נגמר	פ
P364.זרה	פ
P376.ספר	ש
P390.הרתיע	פ
P395.רומה	פ
P401.התחננ	פ
P411.נשאר	פ
P411.נותר	פ
P420.התגאה	פ
P421.כעס	פ
P421.התרגז	פ
P425.טהור	ת
P425.צלול	ת
P428.הונה	פ
P437.רטוב	ת
P445.נדיר	ת
P447.זקנ	ת
P451.נובל	ת
P456.רותח	ת
P471.רובד	ש
P477.עצוב	ת
P490.פרוע	ת
P496.העליב	פ
P505.קלי	ש
P521.הרגעה	ש
P523.סיומ	ש
P526.נבזה	ת
P526.נמוכ	ת
P527.נוכל	ש
P544.חסונ	ת
P546.העריכ	פ
P559.זעמ	פ
P559.כעס	פ
P559.רגז	פ
P567.כואב	ת
P568.עצב	ש
P578.העליב	פ
P585.הסתיר	פ
P587.התעקש	פ
P588.רגע	ש
P602.נחפז	פ
P604.נסתר	ת
P606.טרדנ	ש
P612.אבד	פ
P621.חרב	ש
P624.לובי	ש
P628.סלח	פ
P638.חודר	פ
P652.קבוע	ת
P656.ברח	פ
P656.נסוג	פ
P656.נעלמ	פ
P660.ישר	ת
P661.נחות	ת
P662.התחרט	פ
