הֶעֱלָה מִתְּהוֹם הַנְּשִׁיָּה	החזיר לתודעה דבר שנשכח	נכתב	מילוג+חיפוש	מילוג אימת את "תהום הנשייה" (שכחה מוחלטת); הניב אומת בחיפוש
הֶרֶף עַיִן	פרק זמן זעיר, רגע	נכתב	מילוג
הַשָּׂגָה	הבנה, קליטה בשכל; ערעור, טענת נגד	נכתב	ויקימילון	"הגעה אל דבר" הושמטה — שקופה מהשורש ואינה חומר מבחן
הִתְעַרְטֵל	התפשט, נותר בעירום	נכתב	מילוג
זָרָה חוֹל בְּעֵינָיו	הטעה אותו בכוונה, רימה	נכתב	חיפוש	דף מילוג ריק; אומת מול האקדמיה ללשון
חָזַר לְסוּרוֹ	שב אל הרגליו הרעים	נכתב	חיפוש	דף מילוג ריק; אומת מול האקדמיה ללשון
חָצִיר	עשב שדה הניתן כמזון לבהמות	נכתב	ויקימילון	משמעות "ירק מאכל לאדם" הושמטה — שולית ואינה חומר מבחן
חֵרֵף אֶת נַפְשׁוֹ	סיכן את חייו	נכתב	מילוג
חָשַׁק אֶת שִׁנָּיו	כבש את כעסו, הבליג	נכתב	מילוג	אומת תחת "חשק שיניים"
יָדוֹ לֹא הָיְתָה מַשֶּׂגֶת	לא היה לו די כסף לכך	נכתב	חיפוש	דף מילוג ריק; אומת מול מטח ואבניאון ("ידו משגת" = יכול להרשות לעצמו)
יִשֵּׁר אֶת הַהֲדוּרִים	השכין שלום בין צדדים יריבים	נכתב	ויקימילון
לֹא הָיְתָה לוֹ יָד בַּדָּבָר	לא היה מעורב בעניין	נכתב	חיפוש	דף מילוג ריק; אומת מול מורפיקס ואבניאון ("אין לו יד בדבר")
לוּלְיָנִי	מתפתל בצורת סליל, ספירלי	נכתב	מילוג	משמעות "של לוליין" לא נכללה — לא אומתה כתואר עצמאי
לְרוֹעֵץ	למכשול, לרעה (היה לו לרועץ)	נכתב	מילוג
מִגְדַּל קְלָפִים	דבר רעוע הצפוי להתמוטט	נכתב	ויקימילון	המשמעות המושאלת בלבד; המשחק המילולי אינו חומר מבחן
מַלְקוֹשׁ	גשם מאוחר בסוף החורף	נכתב	ויקימילון
מַפְלִיא מַכּוֹתָיו	מרביץ לו בחוזקה, חובט בו	נכתב	מילוג	אומת תחת "הפליא מכותיו"; נמנעה המילה "מכה" (נגזרת מהלמה)
מְקֻרְזָל	מסולסל, עשוי פיתולים קטנים (שיער מקורזל)	נכתב	שניהם	הגדרת ויקימילון ("קצוות חדים") חשודה; מילוג הכריע: מתולתל
נָבוּל	כמוש, שאיבד את רעננותו (פרח נבול)	נכתב	שניהם	ערכי ויקימילון (נֵבֶל/נָבָל/נָבַל) אינם בניקוד הלמה; מילוג אימת נבול=כמוש, קמל
נִשְׁבַּר מַטֵּה לַחְמוֹ	אבד לו מקור פרנסתו	נכתב	ויקימילון+חיפוש	אומת מול "מטה לחם" בוויקימילון ובן-יהודה; דף מילוג ריק
