k	a	b
4b152d48ca84	ההתלהבות	התלהבות
551dd9cc396c	שווים	מקבילה
79073f360749	מעריך	להעריך | לאמוד
759e11f856da	מעריכים	להעריך | לאמוד
ab80b1a3ce96	הערכת	הערכה
a05fdcd6591c	תערוכת	תערוכה
7894fc527db9	המומחיות	מומחיות | ידע מקצועי
32a1009bddcc	מפורשת	מפורש | ברור | בוטה
1f8dd30b7025	החיצונית	חיצוני
1c02997bc82b	נכחדו	נכחד
65e4a490efc1	יחלץ	לחלץ | להוציא | לעקור | להפיק | תמצית
c4fff2868aef	הנאמן	נאמן
a4c11b222544	הדקו	להדק
8671ee30c3e8	סיבים	סיב
5bffa3df0a51	הפראי	עז | פראי
344eb5d0f972	שוטפת	שוטף
dfaf68f80204	הנוזל	נוזל
e903ebb38000	השביר	עדין | שביר
befa1682bd56	תכופות	תדיר | שכיח
a92c96e83ee3	יקבע	למשול
c6ea5682fdb2	קברו	קבר | חמור
4c36fd30739f	במכולת	מכולת
2784be890539	המוגבלות	מוגבלות | נכות | חיסרון | מגבלה | להכביד | להגביל
f87e312b58dd	מטריד	להטריד | להציק ללא הרף | לרדוף
8b0cd2699855	גיבורת	גיבורה
22c03d60cf42	תהססו	להסס
8624170d7570	עוזרת הבית	עוזרת בית | מנקה
62fddbcb0b78	ההשערה	השערה
b678e4d7cd56	זהים	זהה
ce28c1c76c45	מעריצים	להעריץ
ccec5ba53d7a	חסינה	חסין
36fac721c011	תיישם	ליישם | להוציא לפועל
6502552b90de	המימוש	מימוש | יישום | ביצוע
1be3d7f2a2ca	בדחף	דחף
1f8a01dc29f3	לא עקבית	לא עקבי
b16732de7878	המדבקת	מדבק
2766f720b9af	התובנה	תובנה
fb5c7210816f	יבדוק	לבחון | לבדוק
d5086f738107	המכוונת	מכוון
5706c10298ef	הפנימי	פנימי
c0d0d7d6c0c2	הפרשנות	פרשנות
d99701e69551	הפולשים	פולשים
b0e780fd9f18	הפלישה	פלישה
0b830ed3bc38	המצאי	מצאי
e2aee05b8c52	במגרש הגרוטאות	מגרש גרוטאות
f5b219a07825	הפועל	פועל
eb128dafbba4	המורשת	מורשת | ירושה
1cbc39de31a7	עדשת	עדשה
b876fb9171f1	הקטלני	קטלני
2f15821efc5a	מייצר	ייצר
5304f98260bc	בשוליים	שוליים | מרווח
7ef18b9fdb14	ליצירת מופת	יצירת מופת
ce65a8b71554	הרפואי	רפואי | מרפא
aac4018eac40	המוצרים	מוצרים | סחורה
1926ba39e8e6	החברות	למזג | לחבר
20e7c5095538	יתנהג בצורה לא הולמת	להתנהג בצורה לא הולמת
91a770fe07cd	המלך	מלך
8bf6cf78d138	המורל	מורל
cfa762875ac7	הקריינות	קריינות
a40848cb2b30	המשא ומתן	משא ומתן
ee11baf28235	מדי פעם	מידי פעם
6d06f66b24a0	הפושע	פושע | פוגע
263f8c2db7d2	העבירה	עבירה | פגיעה
6f6ba8019419	המתמשכת	מתמשך
283e3d92e84a	מסודרים	מסודר
11adc176dbb1	התוצאה	תוצאה
f43272d44ae5	המוצב	מוצב | נקודת קצה
22f277025602	תפריז	להפריז | להגזים
58af49f6800f	הפסקה	פסקה
527b16dd61cb	ישתתפו	השתתף
31d45bf20b71	תציץ	להציץ
a9d19bf67c9a	בדיוק	דיוק
51ba2b67a6a8	צופים מראש	לצפות מראש
65e7fb3f22a5	משמרים	לשמר
b01e67a1e862	תקדם	לקדם
0ff7f1f65867	פורסמה	פורסם
2c6c158dea5c	לרעוד	רעד
70a1328c1638	תהיה מוסמכת	להיות מוסמך
9d0dda015943	מסילת הרכבת	מסילת רכבת
d2017bf43058	שיעורי	שיעור | היקף | תעריף
4321a28dcc62	המוכנות	מוכנות
30fc26053340	הסורר	סורר | מרדני
b6c8df38eba3	יגייס	לגייס
8769e5f9e185	החוזר	חוזר | נשנה
27907349c435	השתקפותו	השתקפות
8981ed2476b7	הפליטים	פליט
4841364fd1ae	השלטון	שלטון | משטר
3fa54a8ccb92	מזדהים	להתייחס | לקשר
b73678909822	המתייחסת	מתייחס
535f5bc6728a	יקל	להקל | להפיג | לשחרר מתפקיד
ca14fcdedc50	מתרבים	להתרבות | לשכפל
e4040dea5738	מתגוררות	להתגורר | לשכון
204c23c0fe02	הגבלת	הגבלה
77d82a070b4d	תמשיך	להמשיך
cd442fc963e9	חזרה	לחזור למצב קודם
77ddb8c0431a	הבדיקה	בדיקה מחדש לצורך שיפור
ca3220f20849	התחדשה	קם לתחייה | התחדש
d3532c9e9e60	המרד	מרד
60b57e77cf3a	התחרזה	חרוז
bc89b38cbdb3	לסרגל	סרגל | מושל | שליט
157022c4f100	התברואתיים	תברואתי | היגייני
9283086851c2	האקדמאית	אקדמאי | בעל מלגה | מלומד
820dd1ca9228	המעבורת	מעבורת
ca59ab07073a	ואחי	אח או אחות
5586ce3c4fe8	המשמעות	משמעות | חשיבות
7649ed44f3d4	הפשטות	פשטות
21dc794148b5	גורד השחקים	גורד שחקים
fd1900fde7aa	שחיטת	לטבוח | לשחוט | טבח
08490a053f7e	מתעטש	להתעטש
fb09347d0e95	תייצב	לייצב
8db2d34cd9a9	הגבעול	גבעול | קנה | לעקוב/לארוב אחרי | להטריד
b769d97c55ab	הכיריים	תנור | כיריים
b1336aa36c7c	המומים	נדהם | היה המום
3305a696d6b7	המחליפה	תחליף
64cc4b01d69e	לפרבר	פרבר
4c31a54c71d5	מספיקה	מספיק
aabcbdf5c7eb	סיכמה	לסכם
04d52888051b	המעולה	מעולה איכותי
0a11bab2901a	מפקח	לפקח
6bebede982eb	מקיפות	להקיף
5df4c76b37fd	סקרנו	לבחון | לסקור | סקר
31f46cf52abb	ישעה	להשעות
87156b4eb503	החשד	חשד
0db90d7696ff	המהיר	מהיר
cbfbe62eca9e	פיתה	לפתות
294396a76186	השטח	שטח
17fd3136e74d	מפחידות	להפחיד | להבעית
b72b69e5227e	תטה	להטות | שיפוע
77ddcabe8d78	עסקת	עסקה
b9adeeb70dcd	משדרות	לשדר
d13584d69adc	המשדר	משדר
eb7c2e8d4b8a	הניצחון	ניצחון
1ad1d8c83904	היחידה הצבאית	יחידה צבאית | חייל
d59c013a2e7c	לא היה מודע	לא מודע
e55ba7a5e51a	לא מודאגת	לא מודאג
a33c9181157e	תחשוף	לחשוף | לגלות
75556da99181	מובטלים	מובטל
98d346f0f0f5	הלא קדושה	לא קדוש | לא מוסרי
dfaa38d97352	עירוניים	עירוני
bc8448a3fa79	תאמת	אימת | נתן תוקף
2722bdf800e3	השסתום	שסתום
608e61a96809	משתנים	משתנה
fa2ac7a02d88	הרוכל	מוכר | רוכל | ספק
3f35ef8e2225	המסע	מסע
f48382710d37	נרחיב	להרחיב
50b68009d9b6	מצמר	צמר
df08e024dbb9	סופגים	לספוג
4076bbed8573	תלווה	ללוות
673d6df01701	ההישג	הישג
0fa40dd483f1	הכירה	להכיר ב- | להודות ב- | לאשר קבלה
9f1665b752bf	הנערץ	נערץ | ראוי להערצה
0999738826b4	ההתקדמות	התקדמות | מקדמה
b49ef20f899f	לתומך	תומך | מצדד | פרקליט | לדגול ב- | לתמוך בגלוי ב-
a5ff3ca4d4bb	החקלאות	חקלאות
18144d9e4d4e	הנישאים באוויר	נישא באוויר
05ac0acdc951	חלופית	חלופי | התחלף | עבר מדבר אחד לשני וחזרה
2253ed5e58ec	השגרירה	שגריר
20ac1dd841f9	ישמיד	להשמיד
595792b4f8fa	בבקשה	לבקש | מדבר אל | מושך | לערער
2cef7b4545d4	עורר	מעורר
516625607119	ירכיבו	להרכיב | להתאסף
1668b26efa7d	ההנחה	הנחה
96e259d301ad	החשופות	חשוף | ריק | לחשוף
4f386038274d	מועילה	מועיל | רווחי
89a3b1c2c2e1	הגבול	גבול
07efdf2b9e21	בתפקידה	יכולת | סמכות | תפקיד | קיבולת
487fbb493384	מספקת	לספק
1e6e650d35da	הזחל	זחל
54a4e665db0a	בוודאות	וודאות
df7616b2ab56	הלשכה	חדר | לשכה | תא
9747736e0f21	המאפיין	מאפיין
18c056e08037	אדיבה	אדיב | אזרחי
ac5e44d9273f	מקקים	מקק | ג וק
fefc43021a82	ארון המתים	ארון מתים
97643ef5e909	התנגשו	להתנגש
2435b6389c9e	מנהלים	לנהל | לקיים | התנהגות ש ע | להוליך חשמל
64ab55faeeb3	המנצח	מנצח תזמורת | מוליך חשמל/חום | כרטיסן
e5c8c240178b	הכובש	כובש
b218b4908442	מדבקת	מדבק
8ef4a45857e7	השנויה במחלוקת	שנוי במחלוקת
d660b1342d75	המחלוקת	מחלוקת
65ae10bc4222	האמינות	אמינות | מהימנות
d22b852aa8c8	תטיל בו מום	להטיל מום
9d2a8174b9b9	המלפפון	מלפפון
c9b6e8ff4c51	לחה	לח
47db39d5e5ef	החץ	חץ
bea12c3906f1	טיפלה	עסק ב | חולק קלפים | ניירת
a3c20d4ede38	רדת	לרדת | לדחות | ירידה
60603d4726ad	המטורף	משוגע | מטורף
54f58150a1ac	יורדים	ירד | הדרדר
cdf61f230efb	תיעבו	לתעב
c1ffef233088	חוסר שביעות הרצון	חוסר שביעות רצון
b62a8c71aeab	להרתיע	לשכנע שלא לעשות משהו
7ee09830dc90	חד-פעמיות	חד-פעמי
cad8a6245f12	יתמוסס	להתמוסס
3c4e32e9a1a3	בבירור	ברור | נפרד
d7d777608a85	המיוחד	מיוחד
56110d5c76e5	מצוקתה	מצוקה
605dbc0ff573	לחוסר שימוש	חוסר שימוש
2ce66f7acbbc	מגוונת	מגוון
