k	a	b
3347c5bbb552	מתואמים	לתאם | לקשר
9cee76914266	חובה	חוב
8208506562da	העדיפה	מחבב | מגונדר
7b3231ae2c26	בת מזל	בעל מזל
2f366707aa37	בדיוק	מדויק | אמיתי | רק | בלבד | צודק | הוגן
188c7adbc228	מתירים	אישור | רישיון | להרשות
e98285c5175e	מעדיף	עדיף | למדי
f0b56818bb79	ניסויים	נסיון | משפט
72c4969d4cc8	יישרו	להסתדר בשורה
59d0d7e9e4bf	לקומפוסט	זבל אורגני
a9090c097a67	שקלנו	שיקול | שיקול דעת | מכלול שיקולים | התחשבות
72b09bbe14df	נהרס	הרוס | מפורק
4bfa60b83374	להיסחף	זרם | סחף
551dd9cc396c	שווים	מקבילה
befa1682bd56	תכופות	תדיר | שכיח
a92c96e83ee3	יקבע	למשול
1926ba39e8e6	החברות	למזג | לחבר
3fa54a8ccb92	מזדהים	להתייחס | לקשר
60b57e77cf3a	התחרזה	חרוז
3305a696d6b7	המחליפה	תחליף
bea12c3906f1	טיפלה	עסק ב | חולק קלפים | ניירת
b62a8c71aeab	להרתיע	לשכנע שלא לעשות משהו
3c4e32e9a1a3	בבירור	ברור | נפרד
8ad7a6b64cd4	אירוע לגיוס כספים	מגייס כספים
37bc3f4a093c	בחן	חסד | חינניות
25790ad3a25e	לכנס	לאסוף | עדר | לרעות
e26f6a323db0	אי אפשר היה לעמוד בפניו	שלא ניתן לעמוד בפניו
8fb1e424213a	רבים	מרובה
286978bce835	בוחנים	לחטט | לברר | לגשש
cfc77df1fb19	חוזרת	קרה שוב
4cc87965c81a	תתנפץ	לנפץ | להרוס | לקעקע
49ae336273e4	בודד	מבודד
f87cef3447fd	גיליון ציונים	תמליל | פרוטוקול
cf5625bfc309	דוחק	לעודד | לדחוף | דחף | רצון | תשוקה
819a64cc44af	להצטבר	לצבור | לאסוף
d02231617ef6	בתוך	בקרב | בין
09960f666bef	התברר	ברור | נראה לעין | לכאורה | מדומה
aaa5860c2823	הופץ	להפיץ | לנוע במחזוריות
c03f938905cb	העמידות	עמיד | בר-קיימא | מחזיק מעמד
fef70fd8f604	מושווית	להשוות | להתאים
e5336d874652	גזרו	נגזר | משתמע
f34346cd2d6e	להסתמך	לעורר | לזמן
aabe181a99ba	השגרתיות	שגרתי | יומיומי | בנאלי
2763b5505ad6	ההדדיות	הדדי
0851f93d72bf	עבר את מועד ההחזרה	שעבר זמן ההגשה שלו
8f61bfe9851a	למען	תועלת | עניין
bacc797812da	סחף	נסחף
ed33b86f5950	נחשף	נפרש | נפתח | התגלה | לפתוח קיפול
e632100eb79c	הגנדרן	גנדרני
96ff0a036bb5	כראוי	לראות כ- | לחשוב ל-
faac24c7d40c	קצה	קץ | סוף | מוות | פטירה
743cde282ac1	חלק	להתנגד | חילוקי דעות
8b0d569d0b43	פרץ	להתרחש בעקבות | לבוא כתוצאה | להתחולל
a8e84295b264	הוציא	לגמור | לבזבז | לפזר
837753240c0d	מד	למדוד | להעריך | מידה
b95dfcd454c0	תלונה	טרוניה | התמרמרות
33f422a02fad	התדירות	כמות | הקרות משהו שקורה
61d95660f9f4	אי אפשר להתגבר עליה	שאין להתגבר עליו
cb60e0b64826	רגע של שכחה	מעידה | פליטת פה | פרק זמן | פקיעה | סיום
49f32af0c940	מקום לנוח עליו	ענף | נח | ישב על ענף
0180fd8566ba	במצוקה	צרה | סכנה
8ee862498209	להחזיק	תמיכה | אביזר | לתמוך
4dd79fce84cc	הסיבובית	נע על ציר סיבובי
0e5b7cac0e76	נקבעה	להכניס מישהו לרשימה | רעף | לוח
f2bb8ad3dbf1	סוכלו	לסכל | להכשיל
