k	a	b
bd1a1dd12bd3	מדתות	דת
502e2ca12e73	מייצגת	לייצג | מייצג
e9821f52dd4f	הצילו	להציל
2d45bf7c720a	כפרס	פרס | לתגמל
998637f873c2	עולה	עליה | לעלות
2aac7ada9439	המסלול	מסלול | דרך
3b34509b4c3c	השכר	שכר
cd4e3ae8b51d	הפחיד	פחד | להפחיד
f244648c2d26	לוח הזמנים	לוח זמנים
4f480b930cd8	סרקה	לסרוק | מסך | צג | וילון | לסנן
5eed8bea405a	התסריט	תסריט
00e6607bf62d	החלק	יחידה | חלק
65489604dc87	הבוגרים	בכיר | זקן
455cbc818d2c	הרגיש	רגיש
b683df30b894	הצל	צל | להאפיל
05d0f791bfc7	מתגלח	גילוח | לגלח
c422decedb6d	שליח	לשלוח | אוניה
b963bba5bcbd	הביישנית	ביישן
241221ec7a59	החתימה	חתימה
af14a57ac629	דומים	דומה
7864fc0e55cd	נשמתו	נשמה
f7031f3ec3ba	הדרומיים	דרומי
e8ed42ed4f83	בחלל	חלל | רווח
b27231840a41	לריבוע	ריבוע | כיכר
e1729708812d	השלב	שלב | במה | לביים | לארגן הפגנה
fd229fe1a48c	התקן	רמה | תקן | מקובל
c5d7574c6984	במצב	מצב | מדינה | לציין | להצהיר | לקבוע
3f41936ff1e6	הבטן	בטן | קיבה
d3430cf348ee	החוזק	חוזק
f48f5da5bd2e	המבנה	מבנה | לבנות
7ac6410590ed	נתקעה	תקוע
3cd74f22b3c1	סובלים	לסבול
17d31094d53b	אספקת	אספקה
ffe7e5f73bcb	הניתוח	ניתוח
b1bfe9c564be	המתג	מתג | להחליף
f9770770668e	הסיפור	סיפור | אגדה
b74b162bf6e2	המטרה	מטרה
fc80551f52e0	המשימה	משימה
8c293626a615	האוהל	אוהל
53835df6c995	הנושא	נושא
bde6820c8ef6	האיום	איום
3f5cf982f24f	קשרה	לקשור | קשר | עניבה
583b9b5b1726	הכותרת	כותרת
6f1ba867a4ca	הלשון	לשון
ab531e672944	המסורת	מסורת
2de08ba13e6b	הרכבת	רכבת | להכשיר | לאמן
6a9931f1946b	למלכודת	מלכודת
c09dafa32361	הטיפול	טיפול
691ad2976345	הלא יאמן	לא יאמן
a7ce108bca8f	הלא הוגנת	לא הוגן
4e3142e84276	הבלתי רגילה	בלתי רגיל | יוצא דופן
efa2559fbb31	הרגילה	רגיל
93ad71ec0efd	הערך	ערך | להעריך
16fff4fe03a2	האלימות	אלימות
1ac44fe265d8	האלימה	אלים
9a0faeb2e97d	המבקר	אורח | מבקר
a9dff93151e6	החזותיים	חזותי
e1cd8fb480b7	לבשה	ללבוש
5d1299ade1de	מזג האוויר	מזג אוויר
0f7cddd4bf11	חתונתם	חתונה
8c52026186d7	הפראיות	פראי | טבע
20fc28392a8a	כנפו	כנף
ba1de8e6600a	הפעיל	פעיל | אקטיביסט
658f023a4b1f	ובנוסף	בנוסף
c730db3fc16d	העצה	עצה
caeefbb238e1	האסתטי	אסתטי | אסתטיקה
44b0fa070dc6	המזגן	מזגן
92b21b5888b8	חברת התעופה	חברת תעופה
517dbfc868c5	החובבן	חובבן
05f11b5f0a55	ידהים	להדהים
45d600cdc0eb	אנלוגיים	אנלוגי ההיפך מדיגיטלי
b35b5ce88646	מופיעים	להופיע | נראה ש-
7bf979faf9ad	האדריכלות	אדריכלות | ארכיטקטורה
2d073a6e7c42	תעצור	מעצר | לעצור
b77a85f1a45a	האמנותי	אמנותי
00df9718961f	לא פחות	רבים כמו מספר גדול
d0871c38790f	הגישה	גישה
87b36bef7e2f	שייכים	שייך
4701781a4043	כיתרון	תועלת | יתרון | הטבה | להפיק תועלת
52111e9935f3	ומלבד	בכל מקרה | בנוסף על | מלבד | חוץ מ-
663509a51c07	האופניים	אופניים
808ca1dbf61b	הבהירים	בהיר | זוהר | חכם | מבריק
9dc411a691b5	הקליע	קליע
54cca8deb3ee	המחשבון	מחשבון
57e596a4d70c	השליך	להשליך | לגרש | צוות שחקנים
767f5c88a898	הקוויאר	קוויאר
6539c5a3978a	ממאה	מאה שנים
7b5a37bb2be7	גבה	לגבות | להאשים | להסתער | לחייב
bf898ebe29b6	ראש	ראשי | בכיר | מנהיג | צ יף
2132573a6bd1	טען	טענה | טוען | תביעה
9801b06f6a96	למעמד	מעמד | סוג | כיתה
e6552436c4af	הפיקח	פיקח
8750e42875a1	בחוף	חוף
6c78dcb821dc	הקוגניטיביים	קוגניטיבי | הכרתי
e13710b408f2	נפוצות	נפוץ | משותף
fe91a06acdb3	מתחרים	להתחרות | להתמודד
c74e37cf99b3	בוועידה	ועידה
e42834153b1f	בלבלו	לבלבל
17ed0a9ae420	ההקשר	הקשר
95b2d855acb0	בניגוד	ניגוד | להוות ניגוד
d90d0f47c42b	קוסמופוליטית	קוסמופוליטי | רב-תרבותי | בעל אופי בין-לאומי
4b0295c7580c	מנות	מנה | קורס | מסלול
6659c0bdd0c8	שהקללה	קללה | לקלל
a255ff95622d	התאים אישית	להתאים באופן אישי
f30958f9df9d	מאתגר	להעיז | תעוזה | אתגר
68d686576ec9	הקישוטית	קישוטי | דקורטיבי
c71f1a7b8391	ימסור	למסור | לספק | לשאת נאום | ליילד
cfa7fe6a7c5a	המימד	מימד
7560af377cbf	חילקה	לחלק
0f41fbfac375	להתגרש	גירושין
38cbc22207f7	שלטה	לשלוט
ec8c664fcbe6	תרמו	לתרום
416def30768b	חובתך	תפקיד | חובה
33cefa042fc3	רעידת האדמה	רעידת אדמה
f8ae539c183a	הקיסר	שליט | קיסר
827d4dd2e182	אנזימים	אנזים
0410c3376991	האפוס	אפוס | אפי
627d1bacb797	המגיפה	מגיפה | אפידמיה
ecdc08b25552	הראיה	ראיה
290816a0ccc3	מתפתחים	להתפתח
546cc5413533	בחן	לבחון
