k	a	b
7619448b39c2	ילידי	יליד | מקומי | טבעי
870a0699e747	תודיע	להודיע | ליידע
7a6dd135faaa	התצפית	תצפית | התבוננות | הערה | הבחנה
66ebc85d9aa2	מתבוננים	להתבונן | להבחין
c689dfd2fb35	העליבה	להעליב
5fc68c0bb51c	המעליבה	מעליב | פוגעני
abb7b3ca5ded	פועל	לפעול | להפעיל | לתפעל | לנתח
e541a279b8d1	היריב	יריב | מתנגד
5cb10e6a4508	המסלול	מסלול סביב גרם שמים | להקיף במסלול | לחוג
fa3acbaba015	החיצוניים	חיצוני
f01fc5cb51a0	המצוין	יוצא מן הכלל | מצוין
fdb304ed254f	מרפדים	לרפד
c1b61e9de87d	המחבת	מחבת
4675d289035c	הדפוס	תבנית | דפוס | מתכונת | דוגמת עיטור
f63d9ae5e69c	ביצע	לבצע | להציג
eb439d69915a	לבית המרקחת	בית מרקחת
50087ada3821	המשורר	משורר
3889a342793b	רעילות	רעיל
72097a25d59c	הקוטב	קוטבי | הפוך לחלוטין
cd9d5f8d25c8	האוכלוסייה	אוכלוסייה
eef048b72316	הדיוקן	דיוקן
ce12a769292d	המעשית	מעשי
13652f8b3f42	העיקרית	יסודי | עיקרי
724ead11511e	עקרון	עיקרון | כלל יסוד
10b12c8cbfb1	כמקצוע	מקצוע
88d20b806192	הקידום	קידום
c4c5631d3e9c	ההצעה	הצעה
49e15c857d34	תגרה	להתגרות | להסית
6746d3cbd4f0	סכין הגילוח	סכין גילוח
825723cec1f9	המרד	מרד
21b0c0ae05c2	המתכון	מתכון
4c0e9d150e10	התאושש	להתאושש
3fda6833dda2	האזור	מחוז | אזור
8d4f0c40e640	ההרשמה	הרשמה
0bc2d1970c8e	קרוב משפחה	קרוב-משפחה | יחסי
82ef14b58e00	כאמינה	אמין | שניתן לסמוך עליו
d6a963c8a90f	המוניטין	שם | מוניטין
65b316c13625	דורשת	לדרוש | דרישה
1afad4f6f2a9	ההתנגדות	התנגדות | מחתרת
38ee6b73a6b4	באתר נופש	אתר נופש | לנקוט באמצעים
7a3cea32db9d	הפרישה	פרישה
52ab155db267	העולה	זריחה | עולה
dbb28703e589	הטקס	טקס | פולחן
72c7c6b954b2	יריבות	יריב
73321de22410	צלתה	לצלות | לקלות | צלי
3919ca9a0010	משפשף	לשפשף
8a31a04ff2b8	הגומי	גומי
49b35864e4c8	ההריסות	הריסות | עיי חורבות
45fdcbf97c31	השמועה	שמועה
a0bd7d7b5194	הימאי	ימאי
2978fa68fb6b	הפסל	פסל
6938e54cd286	לאבטח	להבטיח | לשמור | להגן
c30dfc07a7e5	ברצף	רצף
ac92fdbd37bc	המשרת	משרת
f0d6eddeaa32	פגישת	מפגש | פגישה | מושב
e0b53cf3af79	הסדין	סדין | דף
a69eeb2231b2	הקליפה	קליפה | מעטפת | פגז
4e0fb57ae67c	הנוצצת	נוצץ | בוהק
d07f2a6b8b49	יכווצו	לכווץ | כיווץ
ace556dbc268	משמעותית	משמעותי
7821e0047c7f	ממשי	משי
3cef1bcdfc66	בכיור	כיור | לשקוע
2f17059d120f	רוחנית	רוחני
5e08c6f8d38a	יקלקלו	לקלקל | לפנק | לבזוז | שלל | להרוס
d3d283725cae	הזרקור	זרקור
a39f4e1b6566	יציבה	יציב
46f5b736a525	ירעבו	לרעוב
262139a10ff4	הדביק	דביק
087760f8e49c	הנוקשה	נוקשה
a37317928940	הפסים	פסים
d5029d0bac7f	להיאבק	מאבק | מאמץ
e95b643d7317	תצליח	הצליח
36aa563dda98	מתאימים	ראוי | מתאים | יאה
66b394b39645	הסכום	סכום | סך | לסכם
7cfaa6fe46b3	התומכת	תומך
cdd31323675e	העליון	עליון
a4a61580536f	חשודה	חשוד משהו
37d669f7751b	בלעה	לבלוע
11bd80a74fff	הנדנדה	לנדנד | נדנדה
516cea990a27	הסמיך	סמיך | עבה
bd699835a71e	מאיימים	לאיים
6163910263db	הבהונות	בהונות
1d8ba5812a90	הקבר	קבר
46e04e692316	פקק התנועה	פקק תנועה
474e1462b58f	המעבר	מעבר | שינוי
de9f5786edef	בהדק	הדק
85eef199920c	עוררו	גרם | עורר | הוביל ל-
e9952038239e	תפנית	סיבוך | סיבוב
0b6e93bc069e	הסופית	מוחלט | סופי
28cb86b61a65	תזלזל	הערכה נמוכה | לזלזל
3cad400d487c	הלא יציב	לא יציב
8b5a656d6598	הדחוף	דחוף
c1063d122ea6	היקר	יקר ערך
d56aedeeaeda	מגוונים	מגוון
712d75b8992c	מתנדבים	להתנדב | מתנדב
0c6bf8697d23	החום	חום
8c025803ca4e	הלוחם	לוחם
4b2d65ce2345	עושרו	עושר
14d6d57d7936	ישקול	לשקול
b4d6bb482775	החיטה	חיטה
2f0b7d42bd4d	במשרוקית	משרוקית | לשרוק
a600ca47e5a4	החכמה	חכמה | בינה
e0a5960a4b30	היעדרותו	היעדרות | היעדר | אי-נוכחות
4751f4767c90	מדויקת	מדויק
2a6efd140231	הממשית	ממשי
d540171d6d71	ההסתגלות	הסתגלות | עיבוד
498dc70d33de	מעריצים	להעריץ
e923205e002b	הודה	להודות | להכניס | לקבל לתוך קבוצה
78ceab2da48f	תתקדם	להתקדם | לקדם | התקדמות | מקדמה | מוקדם | מראש
e5848660d37f	תפרסם	לפרסם | להודיע ברבים
585edbe3ab1b	מייעץ	לייעץ
f4155789b1f1	דומות	דומה
cdfef5b2b77a	לבנות ברית	בן-ברית בנות-ברית
8053843bfcfd	השאיפה	שאפתנות | שאיפה
d2fbad4673bf	באנלוגיה	אנלוגיה | הקבלה
cc148c506208	האדישות	אפאתיה | אדישות
b63b48b01c2f	התנצלה	התנצלות
1797a0a078e9	מסתבר	כנראה
06004ad13c0f	המראה	מראה | הופעה
7b87e4f4e3c0	מעריך	להעריך | להוקיר | כלכלי לעלות בערך
9e838beda857	הגישה	גישה | שיטה | להתקרב | לפנות אל
7eaca9d9e896	יטען	לטעון | לגרוס | להתווכח | להתדיין
589213edfa70	הטיעון	טיעון | נימוק | ויכוח | מחלוקת
348030cc4074	חימשה	לחמש | זרוע
bf43347ef075	היהיר	יהיר | שחצן
2f90dcf4fdc2	מקשרים	לקשר
d4d57fd9cbd1	מניח	להניח
c24e982e3616	תשתתף	להשתתף | להיות נוכח
97e1b8797c0e	עורך הדין	עורך-דין
6e24f49ab2c2	במכירה הפומבית	מכירה פומבית
52f27d562667	האסם	אסם
cd78f65caec9	המחבט	מחבט | עטלף
e5f913170100	האמונה	אמונה
0ed66f83b3b1	כופף	לכופף
a4c429234255	הכפוף	כופף
d288d1e80e22	בוגד	לבגוד
5080a5f9d0e6	תנ כיים	תנ כי
83d7fa04c492	השמיכה	שמיכה
fc4115c8ce69	נשבה	נשב רוח | ניפח | פוצץ
4b079a39cfde	יטשטש	טשטוש | לטשטש
7c63fff49d47	האמיצה	אמיץ | חצוף | מודגש
d5255ade592b	רחב	נרחב
cd9b863cfa04	בשידור	לשדר
2ca5cd0ae947	הקצב	קצב | לשחוט
9162e1cbb7fd	המועמד	מועמד
2f92e415e7b6	מסוגלת	מסוגל | יכול
68937684e1a9	עיר הבירה	עיר בירה | אות גדולה | ראשי | משמעותי | הון
b4bdded76646	תקטלג	לקטלג | למיין | לסווג
6959772360ae	החימר	חימר
fd8e2525d859	סגירתה	סגירה | סיום
fb7276d909ce	הבד	בד | אריג | מטלית
