k	a	b
386eacbdc705	ההגיונית	הגיוני | רציונאלי
46565500ed89	הקורא	קורא
e192f6dd939d	המורד	מורד
90d29b5f8a95	ההקלטות	הקלטות
e4d4159b10a6	ממחזרים	למחזר
4176d3b245c1	הג ינג ית	ג ינג י סלנג
8c78c551f6c9	הרפורמה	שינוי | רפורמה
be0db3a09063	מתחרט	להתחרט | חרטה
2b27435a33d4	היחסים	יחסים
5f2232a79a11	ארגנו מחדש	לארגן מחדש
8d66b3e368e4	המחליף	מחליף
c265ff552fe2	השיבה	להשיב
a801501df2a4	המשאב	משאב
f9dee7b41179	למנוחה	מנוחה | יתר | שאר
b9caeddf23f7	רטרואקטיבית	רטרואקטיבי | למפרע
2b9b4c59f572	המחוספס	קשה | מחוספס
c440465250ba	הרסו	להרוס
ab7ba5f9c34b	מקריבים	להקריב | קורבן
54b0918f45c7	בסוואנה	ערבה | סוואנה
e8974581fb1a	מחפשת	לחפש | לתור אחר | לשאוף ל- | לבקש
a767081b2a7a	הקטע	קטע | מקטע
d69ee5f9f8f5	בוחרים	לבחור
a305e68bbddf	הביטחון העצמי	בטחון-עצמי
303dfc343848	ההפרדה	הפרדה
4bd8588e289e	המדף	מדף מדפים
372f71d50d64	לתופעות לוואי	תופעת לוואי
155d5f6fdda2	הראייה	ראייה | כוונת
3a6f06bde6af	העבדות	עבדות
188b965a6f2f	הדובר	דובר
28482c577357	התפשטה	התפשטות | פיזור | ממרח | למרוח
97804b139230	האצטדיון	אצטדיון
9b5e423d19b2	לסיבולת	כושר עמידה | סיבולת
4a47789e2d1b	ההצהרה	הצהרה
59daa1285ba5	הנושא	נושא | נתין | אזרח | נבדק | להכפיף | לחשוף ל- | נתון ל- | כפוף ל-
5ac1835d5249	השקיעה	שקיעה
93d46e45bf94	פני השטח	פני שטח
6057ec004215	מפתיעה	במפתיע
d9687b2be537	החשוד	חשוד מישהו | לחשוד
ab4d5e4f9832	מסמלת	לסמל
5eca29c72dd1	הסימטריה	סימטריה | התאמה
