k	a	b
c6691a1edf79	ראשונה	ראשון
8dcccd288b67	השני	שני
0fa9e28b2058	השלישית	שלישי
44d4accc91a4	הסכימו	להסכים
3613373fc883	וגם	גם
96dcec095386	כעס	כועס
5696cd2484de	החיה	חיה
46d15d022397	נוספת	נוסף | אחר
e2b0183b402c	התשובה	תשובה
35ab92a08751	באזור	אזור | תחום
a0d8308333c3	הצבא	צבא
cae0b17e1ed8	ישאל	לשאול
b28b52f9976d	תחילת	התחלה
0d4ade64672d	הכי טובה	הכי טוב
01840904cc73	בסירה	סירה
640523eda8f7	הגווייה	גוויה | גוף
d147acc7a022	קנתה	קנה
e0b54574de61	המוח	מוח | שכל
9b09272e6e0e	תשבור	לשבור
699ecaade9f5	הבניין	בניין
caf7c2bd5955	יישרף	לשרוף | להישרף
0a0d9e436f72	אתקשר	לקרוא | להתקשר
72d04537d4ae	במצלמה	מצלמה
e1aa44645b4d	יפדה	לפדות | מזומן
74d4be37c87b	הילד	ילד
1360f79f1120	לכנסייה	כנסיה
2a2ab6dc2b39	קרובה	קרוב | סגור | לסגור
56b9121f27e1	למועדון	מועדון
bc11047001e0	תצבע	לצבוע | צבע
4fc3c5439a00	החברה	חברה
0d0be786083f	תמשיך	להמשיך
af5168e4959b	לוח הבקרה	לוח בקרה | פיקוח | שליטה | לשלוט
8e5be0fe7d1f	תצנן	לצנן | צונן
82cde40a2bda	הפשע	פשע
1f71e1ca1c23	תרקוד	לרקוד
94f35ba68880	הבת	בת
892239a870a4	מותו	מוות
11e0a8ee6bfe	עמוקים	עמוק
d2cf69355bd2	ימות	מת | למות
5d745c9eac31	מלוכלכים	מלוכלך
393f20957f02	במורד	למטה
8f8883da89e3	חולמת	חלום | לחלום
27b4b8591549	שותה	לשתות | משקה
867fffbcc1c8	באדמה	אדמה | כדור הארץ
ef7826c74167	במזרח	מזרח
61e183459bf6	בערב	ערב
98ef4c41afec	יסביר	להסביר
a104ac877c29	הפנים	פנים | לפנות אל | לעמוד מול | להתמודד עם | לעמוד בפני
0bcbe4a84be8	המשפחה	משפחה
1699f2820e17	פוחדים	פחד | לפחד
a18a1a3d4247	מרגיש	להרגיש
1dc41dadd70e	הרגשת	הרגשה
e9eeaaa09c90	נאבקה	להילחם | להיאבק | לריב
097f5519631b	האש	אש | להצית | לירות | לפטר
5f975dfec06a	יתקן	לתקן
548a7807c1e1	עקבו	לעקוב | לציית
e5a6c2fc7736	והחבר	חבר
8d74309e5e95	בעתיד	עתיד
25d15bb1fd10	הגנרל	גנרל דרגה צבאית | כללי
18b4ec4c6d0e	לכוס	כוס | זכוכית
e81215853608	הממשל	ממשל
72e7c597ac4e	האדמה	בסיס | אדמה
a40cc32d5674	יגדל	להתבגר | לגדול
815f2d422f44	היד	יד | למסור
6cda7603993c	לבריאות	בריאות
2c6a3ec194fb	מהלב	לב
40882f91d8c2	כבדה	כבד
04b95bc95caf	לכאן	כאן
1f540c85cbd8	מקווה	תקווה | לקוות
00b3e7a3cb01	הסוס	סוס
b3b7622058a1	בבית החולים	בית חולים
a5ebdbe50aa4	חמים	חם | חריף
a329d1411d80	אנושיים	אנושי
2fd3f616de65	בן אדם	בן-אדם | אנוש
eda9da331a4a	הבעל	בעל
f620fa59c914	חשובה	חשוב
769fb4fd0e35	לתוך	בתוך | פנים
0f1a284e9844	לתוך	אל תוך
51c9db1551d5	באי	אי
1a3a4a7ec684	הבדיחה	בדיחה
6e6271ddc14e	קפץ	לקפוץ
3dc33d2dc5db	המלך	מלך
b278ada9f0b2	הכרתי	לדעת | ידע
e8eb01d0bc02	גדולה	גדול
d92ee78639f7	צחק	לצחוק
fa967b2c9641	החוק	חוק
c563e5a829bb	האור	אור | קל
e4e95dbc0baa	רשימת	רשימה | להכין רשימה
ebebf1bf7769	הקשיבו	להקשיב
8d6d437bc961	מכונת	מכונה
cebf30fbc9e8	הכינה	עשה
00471dc34ef2	תוודא	להבטיח | לוודא
de789a8af615	הפגישה	פגישה
7cf23e1a1f57	זיכרונות	זיכרון | לזכר
262cd95a31e9	ערבב	לערבב | ערבוב
277a33be054c	המפלצת	מפלצת
fda0f0b138a2	ההר	הר
5e52540c6ac3	הפה	פה
9c88297ae85e	זז	לזוז | לעבור
ad6f1c315807	צפונה	צפון
f6387a4324dc	האף	אף | חרטום
e9d5a1862578	האוקיינוס	אוקיינוס
5bd4a16f4b0e	הציעה	הצעה | להציע
23f663d01f0b	פתחה	לפתוח | פתוח
15360b8565f9	הבעלים	משלו | בעלות על משהו
dfe6e215d0bc	בחלק	חלק
850ab81f15cd	עברה	עבר | שעבר
7709d2fe351c	משלם	לשלם
b3f14e060ba0	השלום	שלום
2d1151cc21c1	האדם	אדם
eb51200db3d2	האישיות	אישי
db1601af5ebd	המקום	מקום | למקם
b78543ffbf09	מתכננים	תכנית | לתכנן
d7453a44a9f4	המטוס	מטוס | מישור
af6cc3660d27	משחקים	משחק | לשחק | מחזה
5f62d2701373	בבריכה	בריכה
475c832b8c30	העניה	עני | מסכן
8713df65c353	אפשר	אפשרי
0e677bb79f42	תפוח האדמה	תפוח אדמה
43cf7856c231	הנשיא	נשיא
309fd40a238a	המדפסת	מדפסת | דפס
ef25246cd82c	הפרטיות	פרטי
4ef37df5d79a	הבעיה	בעיה
dba3a096fc06	מגנים	להגן
05e076d9ce82	המלכה	מלכה
76ef147cbc97	זריזה	זריז
1828320a1ef0	השקטה	שקט
9dd9588ae325	הגשם	גשם
ac17200f8575	הסיבה	סיבה | הגיון
7b7b357cc420	מערכת היחסים	מערכת יחסים
547b19e8a276	נרגע	להירגע
19d4f2c49c9e	מכבדת	כבוד | לכבד
d94fc8c6dd63	האורז	אורז
25b079a9c8bd	העשיר	עשיר
6ab515f43722	רוכב	רכיבה | לרכוב
10d8cd9db08b	הטבעת	טבעת | זירה
616a984105b5	הדרך	דרך
14ba16282762	רצתי	לרוץ | רץ
1a8ff0c1addc	הבטוח	בטוח
233aaddc1944	הציל	להציל | לחסוך | לחסוך מ- | לשמור
43dadd75d345	ראיתי	ראה | לראות
299bbe1d7102	הסצנה	סצנה | זירה
a052bec75756	לבית הספר	בית-ספר
48c7fe5be9ce	יחפש	חיפוש | לחפש
068bab4f2bd8	מוכרים	למכור
beba428d48df	שלח	לשלוח
ef1085f3a7e3	בחנות	חנות | לקנות
b083cf199a7f	הקצר	קצר
94c9b2fabdd5	מופע	הופעה | להראות
020949c5f184	הצד	צד | לצודד | לתמוך
c3884a1e5afb	חתמה	לחתום | שלט | סימן | לסמן
c1a8734b2a48	הפשוט	פשוט
f8e19a729584	לזמר	זמר
0c245b7b6b23	רווקה	רווק | יחיד
de9b7436968d	אדוני	אדון | תואר אצולה אנגלי
9e4fc400415b	המצב	מצב | סיטואציה
24137a41ee23	השמיים	שמיים | רקיע
12c577b839b9	ישנים	שינה | לישון
349341044d32	האיטי	איטי | לאט
c8799b55d037	כל כך	אז | כך ש- | ולכן | כל-כך | מאוד
cb0fbae18c87	החייל	חייל
4e93bc326cb0	דרומה	דרום
