k	a	b
faac24c7d40c	קצה	קץ | סוף | מוות | פטירה
0a88dca28553	התיאור	תיאור | הצגה
58e73277ac4a	ידלדל	לדלדל | למצות | לרוקן
5119a19fa165	יורדות	לרדת בערך | לפחות מערכו | להפחית ערך | להמעיט בערך
7197bbc2f87f	בלעג	לעג
433187fda586	צאצאית	צאצא
5a0358c46de7	ייעד	לייעד | להועיד | למנות | לציין
0aad5d81379b	השומם	הרוס | שומם | נטוש
708266335d6a	גורעים	להפחית | לגרוע
4540e2023fc1	יחריב	להחריב
22292289a7f6	הסוטים	סוטה
6238906976c6	נטולי	חסר | נטול
c2d4bbd2f780	הקובייה	קובייה קוביות
0670baa87bb6	הסכסוך	סכסוך | מחלוקת | צרימה
59fe599a6138	יפרקו	לפרק | לבטל | לפרק מוסד
79841bf705fd	תזלזל	לזלזל | להמעיט בערך
ed7be97b9254	הזלזול	זלזול
d9c0e6367434	ננתח	לנתח | לבתר
743cde282ac1	חלק	להתנגד | חילוקי דעות
c932955ef465	הפעילות	פעיל ביום הפך ל-nocturnal | יומי | יומיומי
4193bc6a0b1d	באלוהותו	אלוהות
ed8a1d7ff0de	הצייתן	צייתן | כנוע | נח
59816f6761ad	שלפה	לשלוף | שלף
d1b761abd507	הרטיב	להרטיב | להספיג
6d40490fa72b	הידלדלו	הידלדל | התמעט
83a8d498aea0	הרהוטה	רהוט
91cedf66d2c5	יצאו לדרך	לצאת לדרך | לפתוח ב- | לעלות על ספינה או מטוס
72a3e734c0df	קישטה	לקשט | לייפות | להוסיף פרטים מומצאים
0777e8e489e5	גרמו לו להתמרמר	גורם התמרמרות
dbaa1335099a	סוגרת	לסגור | להקיף
a38499335265	השטח המגודר	סגירה | כיתור | שטח מגודר
ba5dae2a059e	המאמץ	מאמץ | מיזם | לשאוף
8b0d569d0b43	פרץ	להתרחש בעקבות | לבוא כתוצאה | להתחולל
68ecffe90701	מייצגת	לייצג | לאפיין
46cd130a3fca	המעוררת	מעורר | מעלה | מזכיר
c329c32b65b4	העלתה	לעורר | להעלות
43086efb82e7	הגולה	גולה | מי שחי מחוץ למולדתו | לגרש/להגלות מהמולדת
a8e84295b264	הוציא	לגמור | לבזבז | לפזר
69b4db760b56	בדה	לבדות
ae4d94a3569b	העמידה פנים	להעמיד פנים | להתחזות
51d9931f104e	ציורית	ציורי | מטאפורי | מושאל לא מילולי
f26b68696a5b	הבוטה	בוטה
25c4f3afac25	בחנופה	חנופה
2e6dade02bef	הרעועה	רעוע | דל | שביר | קלוש | בלתי משכנע תירוץ/ראיה
ecc70e839230	חוסר היציבות	חוסר יציבות
4d5626e45b57	סיכלה	לסכל
