k	a	b
b28b52f9976d	תחילת	התחלה
393f20957f02	במורד	למטה
b278ada9f0b2	הכרתי	לדעת | ידע
cebf30fbc9e8	הכינה	עשה
15360b8565f9	הבעלים	משלו | בעלות על משהו
8713df65c353	אפשר	אפשרי
94c9b2fabdd5	מופע	הופעה | להראות
323d43b4953b	טיפשי	טיפש
17f523709f80	שעה	זמן
08d9967b8480	שלפני	לפנות | סיבוב
af81e24ca822	לחכות	להמתין | המתנה
b25b6e544814	בחמישה	חמישי
e8a08adf1345	השתנה	שינוי | לשנות | עודף
bcfb7cc48d80	חג	להקיף בעיגול | מעגל
076e4d3cb25f	יקפאו	להקפיא | הקפיא
6f3ecfa102d9	אינטלקטואל	אינטלקטואלי
af25309eb565	לאבד	מפסיד
6cb86b958914	עצרה	הפסקה | להפסיק
fb50233bde94	פוטנציאל	אפשרי | פוטנציאלי
22d8f87d1d06	רבת העוצמה	רב כוח
76f65336bcdd	הקימו	להרכיב | לארגן | לסדר
eae9c1de4be7	שולשה	פי 3
568571fcefa0	ברחבי העולם	כלל עולמי | בכל העולם
1ae5b566ca8d	ילדה	לידה
753d8e3b7be4	תיארה	מתואר
e40a62263a5e	מתפתחות	לפתח
6c53d80ab067	מגבלת	גבול | לשים גבול | מוגבל
ae1befcb795d	בקרבת	ליד | קרוב
4e357501c64e	כבר לא	לא עוד
5f954ae8845f	הנגדי	מנוגד | ממול
ae9d1982abb7	צופים	לתכנן | פרוייקט | מיזם | להשליך | להקרין
a5e1757178c6	האחרונה	שארע לאחרונה
65489604dc87	הבוגרים	בכיר | זקן
455cbc818d2c	הרגיש	רגיש
05d0f791bfc7	מתגלח	גילוח | לגלח
c422decedb6d	שליח	לשלוח | אוניה
7ac6410590ed	נתקעה	תקוע
00df9718961f	לא פחות	רבים כמו מספר גדול
bf898ebe29b6	ראש	ראשי | בכיר | מנהיג | צ יף
f30958f9df9d	מאתגר	להעיז | תעוזה | אתגר
0f41fbfac375	להתגרש	גירושין
a4dbca6a28f8	ספרות בדיונית	בדיון | לא אמיתי
8d7abac30c5b	בהינתן	נתון
a98182fa9221	תדחיק	לעכב | למנוע
5c5fedb95892	די	למדי
27edde267f33	יהפוך	לשנות צורה
2a48b700b325	לא משנה לאן	בכל מקום | לא משנה היכן
261dfa5cabd0	נעדר	חסר | לא נוכח
5661313f99c1	בנוסף	תוספת | הוספה
996ffd45d8c3	השיניים	שקשור בשיניים
07a9e50ef262	אזור	מחוז
dcec9e626525	הפנים	שקשור בפנים
fab911eb7c08	לצבור	להרוויח | להוסיף
993c0c54bfee	יתאספו	אסף
4e1300b8687b	כל חייה	תקופת החיים | במשך החיים
4d863a7547a2	הים התיכון	ים תיכוני
3632ff571f73	נמסה	להמיס
72097a25d59c	הקוטב	קוטבי | הפוך לחלוטין
49e15c857d34	תגרה	להתגרות | להסית
6938e54cd286	לאבטח	להבטיח | לשמור | להגן
7821e0047c7f	ממשי	משי
e9952038239e	תפנית	סיבוך | סיבוב
1797a0a078e9	מסתבר	כנראה
a4c429234255	הכפוף	כופף
d5255ade592b	רחב	נרחב
