k	a	b
1067c39bc8d0	שקטה	דומם | שקט
69198af7a465	הגודל	גודל
3b58fe201e6d	לעבד	עבד
f35d423439ea	הכדורגל	כדורגל
481d51bcab4b	חברתיות	חברתי
f8b1e907fa5e	מכרה	מכר
ad06a78bb468	הפתרון	פתרון
94125092d0b3	מיין	למיין
b12367ffa1a6	דיברה	לדבר | דיבר
2d0c90310aeb	הזרע	זרע
b4c894809f28	נותנת החסות	נותן חסות
18f6e6332372	סטריאוטיפים	סטריאוטיפ
da083ffcf80d	האסטרטגיה	אסטרטגיה
6849121364c1	הדגישה	להדגיש | מתח | לחץ | מצוקה
0f95dfe19fe4	הדברים	דברים | למלא | לפחלץ
7f222d1641fc	ההצלחה	הצלחה
2bed5bf46e8a	מציע	להציע
53f93dddb629	ההתאבדות	התאבדות
9c88e617b693	לאור שמש	אור שמש | קרינת השמש
bbc1d67c9955	ההישרדות	הישרדות
f39dd8de3ca9	חרבו	חרב
1823276f77c0	הכשרון	כשרון
a399ef7637de	חשבה	לחשוב | חשב
bb4b578608c2	קטנטנה	קטנטן
06eceee80bd7	הטון	טון
64034aef72ef	תיירים	תייר
a909035596b6	המגדל	מגדל
9415f9b9d353	האוצר	אוצר | לנצור
eae9c1de4be7	שולשה	פי 3
803d80f82cdd	הקלד	להקליד | סוג
210ab4a956d1	דודי	דוד
98ab38321242	יחידות במינן	יחיד במינו | ייחודי | מיוחד
c642854404ae	היחידה	יחידה
a3c07808b027	החופשה	חופשה
f55c3a7c42e4	צמחונית	צמחוני
54808afdf7c4	הניצחון	ניצחון
e04936dc1722	האזהרה	אזהרה
bbe531d570dd	כנשקו	נשק
64e155fefe35	החכם	חכם | פיקח
eae5a1d94c29	הזאב	זאב זאבים
baf5a6a467b4	מעץ	עץ
568571fcefa0	ברחבי העולם	כלל עולמי | בכל העולם
7c61fdba8da4	הדאגה	דאגה | לדאוג
aa9b12250a9f	באזור	אזור
7c3d04366e47	היכולת	יכולת
709df35e8e36	תאונת	תאונה
7120173515c8	פעילה	פעיל
e4928a4945f4	השחקנית	שחקנית בהצגה או סרט
df42d2fd2c03	כמבוגרת	מבוגר
4d2dfb530749	להסכם	הסכמה | הסכם
ae898a904998	מרשה	להרשות
41747e590192	תגיע	להגיע
826674abaa0a	וכתוצאה	כתוצאה
219e80a12cfb	מושכת	נאה | מושך
8612d2d4caa9	קשה	בצורה גרועה | רע | קשות | נואשות
5f697018769c	איזנה	שיווי משקל | איזון | לאזן
9b22c8647381	בבנק	בנק | גדה | לערום
de5ef262e871	בקרב	קרב | התכתשות | מאבק | מלחמה | להיאבק | להילחם
74c9fe096ff9	הזקן	זקן
fec3944a311e	הפעמון	פעמון
1ae5b566ca8d	ילדה	לידה
e9b20b8b2d34	חסם	חסימה | לבנה | גוש | חלק
95b2049996fc	העצם	עצם
7dd20c2eaa78	הגבול	גבול
3c185c38887c	האמיץ	אמיץ
4a10973e4544	בנו	בנה | נבנה עבר/בינוני פעול של build | בנוי | בנוי היטב
69a259fbda3d	סחב	לסחוב
52d9638a9fd7	הטירה	טירה
b221416177a7	המרכזית	מרכזי
294d6f2b375f	הפרק	פרק
722b1339c13e	רדפה	לרדוף | מרדף
df911288c281	עודד	לעודד
911d67bfe3c5	מהילדות	ילדות
56557b5f4128	בחירת	בחירה
34aedadd3d96	סיגריות	סיגריה
8d5ce70b784b	העמית	עמית | קולגה
698e1b5918e7	בתרדמת	תרדמת
cf53c91078ee	הקהילה	קהילה
58db264b5eae	תשלים	שלם | מלא | מושלם | להשלים | לסיים
92a94c76e26a	מסובכת	מסובך
a5f230998780	הרעיון	רעיון | מושג
9868569b2b29	אשרו	לאשר | לאמת
7c643b3ea585	ליבת	ליבה
dc34c7123efb	בפינת	פינה | לדחוק לפינה
c643039be734	ירפא	מרפא | תרופה | לרפא
0b342fc7e28b	הגן	להגן
753d8e3b7be4	תיארה	מתואר
