k	a	b
2525a9f56c44	יישרו	ליישר | להסתדר בשורה | להתאים
22148c018e3b	העוגן	עוגן | קריין
00ec914738aa	הנכס	נכס | יתרון
a8de838b8679	יאשר	להצהיר | לאשר | להסמיך
a2e9bd0f43a3	לקומפוסט	קומפוסט | זבל אורגני
64c3fde7bfa6	מודעת	מודע | בהכרה
d0c06da977dd	מתמשכת	רציף | מתמשך
33c74533c64f	המחלבה	חלבי | מחלבה
f55086fbd60c	יפיצו	להפיץ | לחלק
2222054d553f	הפצת	הפצה | חלוקה
c683de9c23a1	במורד	מדרון | מורד | מתדרדר
09ab96e126f6	להיסחף	לנדוד | זרם | סחף
de03656f2671	שווים	שווה ערך | מקביל
130f4cf25133	הדקו	להדק | לחבר
b7cd521b05a4	תכופות	תכוף | תדיר | שכיח
d6a06fe244fe	יקבע	למשול | להסדיר | לקבוע
089e9bb35328	במכולת	מכולת | מצרכים
c43b9ab4fde8	לא עקבית	לא עקבי | סותר
8a8f396bfe6a	המצאי	מלאי | מצאי | רשימת מלאי
de61a6ee9b7e	בשוליים	שוליים | מרווח | הפרש
cbac167dc107	הפושע	עבריין | פושע | פוגע
add09caa4e0e	הפסקה	פסקה
152d4ae159be	צופים מראש	לחזות | לצפות מראש | לנבא
a2ddee5abb4c	תהיה מוסמכת	להעפיל | להיות מוסמך
7d5abae978fc	משחזרים	לשחזר | לבנות מחדש
3b13e6e7d176	יגייס	לגייס | טירון
7549a94e1260	השתקפותו	השתקפות | הרהור
e2a0f9feac8e	מזדהים	להזדהות עם | להתייחס | לקשר
ccec0da08b7f	תמשיך	להמשיך | קורות חיים
b211fa146dbf	הבדיקה	תיקון | עדכון
844658745d27	התחדשה	להחיות | קם לתחייה | התחדש
3337691544d6	המעבורת	הסעה | מעבורת
7ecba0d00fc8	שחיטת	לטבוח | לשחוט | טבח
c591eb7e0703	ישעה	להשעות | לתלות | להשהות
5db164f791d9	משדרות	לשדר | להעביר
009b79418063	הנישאים באוויר	נישא באוויר | באוויר
1db499bf3126	הערכתו	הערכה | תודה
181a7f9d5e25	מספקת	לספק קייטרינג | לספק
8cebe5852597	המאפיין	מאפיין | אופייני
df3a6e754c6a	תטיל בו מום	לשתק | להטיל מום | נכה
c75e4f547b4f	החץ	חץ | לזנק
a8f7b78c5661	טיפלה	טיפל ב | עסק ב | חילק קלפים
df0636424677	יתמוסס	להתמוסס | לפרק
489172c24532	המיוחד	ייחודי | מיוחד
b3f5a5bb5de7	מצוקתה	מצוקה | לצער
7dda845ca8a0	תעצים	לשפר | להעצים
6cc777032f77	הבד	בד | מרקם
c15f04877d0c	לשבר	שבר | לשבור
e4f4bcac8c8a	סביבת המגורים	בית גידול | סביבת מגורים | סביבת מחיה
f88a432fab95	השרת	אב בית | שרת
f848c3cf310d	הניחה	להניח | מונח | להטיל
f15b5a15543b	נשען	להישען | רזה
71a2d8f93eda	משיש	שיש | גולה
695c201d29f0	הטבח	טבח
4f5f5c3d824a	לעגו	ללעוג | מדומה
e1b9eebabdc1	צנועה	צנוע | מתון
0552bbefdde6	האצולה	אצולה | אצילות
63d393ca369a	העסיק	להעסיק | לתפוס | לאכלס | לכבוש
8e0311383827	הולך הרגל	הולך רגל | שגרתי
c6ffd7b4bff8	התמידה	להתמיד | להתעקש | להימשך
b176df76a7c3	צבטה	לצבוט | קורט
c8a607817fa8	בטיח	טיח | פלסטר
26cc15376014	התחנן	לעתור | להתחנן | לטעון
b09b8624921d	המוקדמת מדי	מוקדם מדי | פג
8e4456cdb9a1	בוחנים	לחקור | לברר | לגשש | לחטט
a83fe74ed807	ירדוף	לרדוף | לשאוף
7c241fd8579e	חוזרת	לחזור ולהופיע | לקרות שוב
b7d587652faa	מחשיב	להתייחס | להחשיב | כבוד
1c4f7d42d5b1	מווסתת	להסדיר | לווסת
