k	s
00d764f318	מסייעת
012b475024	כושר התאוששות
019b7046e6	הבסיסי
01b55a7b5c	העיתונאי
01c06bec12	ילדים
02899ed1ca	נהנים
036e67976f	עניין
03ab880a6d	מכריע
03c741ba67	עוני
04752e2157	במשמרת
04ed2fb243	לא ברור
056bf0a251	ההליך
05ea6b63ba	עיר
06b58d708f	חוקרים
06fe594df4	ללמוד
0819252137	הלשוניים
08d57651bb	בפרס
09526964b6	תומכת
09877a79c6	שליט
09883a29bb	תוצר
0a2f384ad2	קו/רצועת חוף
0b55a6057f	צפרדע
0be58e53a7	לקשט
0d910ccb93	לא סופי
0dd7c31d93	ירשום
0e4ea1c031	הנוקשים
0ebfe28428	לעתור
0f48b17f68	אחות
0f67cf3cf5	התנור
0fb338ff73	משונן
1031cb45ef	בית הקברות
1042fcf07a	הצטלבות
107a1c2178	לא שיגרתי
10e4ec53dc	חדר עבודה
115870ca8a	התאמצה
128311f7e9	גרגר יער
1464b2fb4b	להפיץ
1479ba7f80	מרתקים
1540a83477	הווידוי
157ff1ddf3	לא ברורות
1695cbfb55	נקבע מראש
16f8502bc2	בצומת
17170b3d1e	מתאם
172287588f	למסור
17b4f2e4e4	מקבלים את פני
17c0c91356	נמתין
17c6b4b97f	האחות
17cc141965	משקלו
17ff2013c2	מבוך
182b10af93	מנצלים
18c6673288	הצבעה
18f9802b42	מצליח
1909789ea0	במקביל
191a826237	לעצירה מוחלטת
19787eca0c	מצרך
19cdcc859b	בלתי נשכח
19ea8b5744	לאפשר
1a574166d8	הסקרן
1a6b54257e	הלקוח
1adb63852b	אצילי
1b06ba2ee5	היעד
1b873a7a53	המפוארת
1be83c3505	סופר
1c1081c28e	לשקול
1c4569939f	רזה
1c9083e6a3	סקרן
1d108eb4ce	משגשג
1e93af5b19	תרבות
1ed79bf38c	מסדרון
1ed9ae2cb4	התחייבות
1eda5515df	בסתיו
1ee5efa74a	פשט עור
20235b83c5	אורגני
212a1536d5	חיוני
212b9cb5a7	דמוגרפי
2174a649a7	באמצע
21d18bdcc2	ההתנגדות
222634ade4	העשיר
22d02ea247	הדמוגרפיים
24c55d61c9	מחבר
24e6063675	קריטי
2563e91cee	אציל
257c576f85	תבדוק
25d279a569	לחייב
264349d0ec	קזינו
27c670713f	הכנסת האורחים
28304dfe40	לכסות
28445a2f06	הפרעה לשיחה
285b17aefe	אקולוגי
286ef6ed16	מעלה
28717668b4	יסודי
28ac711759	העור
2acc66bfa0	המתאם
2ae6869b59	לסקר
2b96fc11e7	עבריין
2c12282c2c	פרסום
2c22331766	המסעדה
2cea39a815	להמתין
2d0e471d5e	לבקש
2dc1f5da9c	בוז
2e5af46d12	קיפאון
2ea7d8913e	להעצים
2eb40e8664	סקר
2edd7dfac5	לעטוף
2f26b63fe6	גרם מדרגות
2fc13d124f	היכל
30746a7990	לחקור
31a73cdcd7	ההערה
33240f4a0b	לא מוכנה
33766be924	התנגדות
33e56f2f17	להתאמץ
348ab43c8c	ביקש
34b5490cd3	מחקים
36874e54c8	אסיר
379eb986eb	קדומים
3817d0c88f	למעלה
381bbb52e9	עיוור
388499dc97	קפדני
38f5035dfc	ההפצה
3989d78c6f	נוטה
399a275098	מזניח חובה
3a2e7a0984	להזיז
3a8f2dbee0	לברך
3adedac07c	שגשוג
3b1a803e50	זמנית
3b2176d019	לבקוע מביצה
3b9b864ecb	להתחנן
3c4334aae7	להודיע
3c5b35d886	רווחי
3c9ff4b0af	מושבה
3cc423b489	לסייע
3ccbaa631d	הבקר
3cd243c08a	ספורטאי
3d0d6fb3db	הכנסת אורחים
3d298f3309	צרכנים
3dd3af1ef7	פורץ דרך
3df0d277db	משמרת
3fe52ea62c	להתמחות
414085cef8	עכשווית
41f1187bcb	מייבאת
423f1c8a66	בקר
427d505e8e	הספורטאי
429654e407	אבי הקדמון
42cb123610	שתשקול
43cd3c0498	שנקבע מראש
44d7c8fd40	המחקר
44df6fdc0f	האקולוגי
4573ba7c55	נהדר
4587765fdc	יומיומיים
460baca596	הציפיות
46b9d605be	פסיקה
473ce74fc6	לעקוב
47445dec21	במסלול
4919ff498a	לכלול
4978fa125a	אגבי
497dd62981	קרן מסועפת של אייל/צבי
499a9b8e41	זמני
4b842b4dd3	מאלצים
4bfc07c002	שלט
4c83a7a939	מגוריה
4ceb94933d	פסק הדין
4dabdcad58	מסע
4e2c226469	גרם המדרגות
5031903a7c	קבורה
503b265ef4	יוצר
5059084f04	בעל מלאכה
512252ea61	הצייד
53088ea47f	הזקן
53ca35dbf6	אחו
5401610d21	תאומים
542e8ea6a6	לחקות
551d72d574	נוקשה
55327c9339	קול
5629b434d6	לדקור
56300b4959	אומן
56f48b842c	מבלי
570315f41a	לרתק
5734f8cc8d	לחבר
577cd4c5ae	לייסד
58814fda06	להפעיל
5953e55567	לייצר
59cec8cd85	סוג
5a7df3a350	תומך
5b1533d23f	בעיירה
5b6dc5c43b	הזעם
5bf53c830e	כל אחת
5c0f1aef9c	עצירה מוחלטת
5c27a0cf1e	מסילת
5cd4fbb2e8	ידקור
5cf56cb7bc	להחיש
5e41713904	מוכת
5ed525d544	האירוע
5f6079bd26	מעטפת
5fe77b1e67	בד
6045e2fdf3	הערכתו
607dad8d39	גרגרי יער
608e39d1af	יכול לעמוד בהוצאות
61a139ed9e	לשחזר
629f3ab757	לא נחקר
632b206cd8	לייבא
