k	a	b
a0ba43064636	אשתו	אישה | רעיה
0defae1a2974	ינצח	ניצחון | לנצח
4ae544bfdaec	החורף	חורף
162f91ec961c	איתי	באמצעות | עם
1627a3333524	עובדת	עבודה | לעבוד
00c015a34074	הסופר	סופר
474b7e12afa7	הצעירה	צעיר
7a263634970d	לגן החיות	גן חיות
2b00ecf9772f	העשירית	עשירי
68aa47bc4f7c	הרביעי	רביעי
b25b6e544814	בחמישה	חמישי
37eb7e99db07	השישית	שישי
10748cd2c575	השביעי	שביעי
5b3aea17cadd	השמיני	שמיני
cb72a96ffafc	התשיעי	תשיעי
345a965ae5db	האקדמיים	אקדמי
7bbbb0c01389	השחקן	שחקן
973dab1e8c11	הכתובת	כתובת | לפנות | לטפל
f11b9a805594	פחדה	מפחד
99c1109283fe	סדר היום	סדר יום
3c8b86ec7833	התוקפנית	תוקפני | אלים
329ef20c17df	המטוס	אווירון | מטוס
de588dd21bc4	הזר	זר | נוכרי | לא מוכר | מוזר | חייזר
f4ca41e8a211	בחיים	חי
9fa805dbfed9	הארכיטקט	ארכיטקט
c7366da6a29a	האמן	אמן
c1ce9ad16873	אותנטית	מקורי | אותנטי
824f3f453e16	הרקע	רקע
1a090171abde	להקת	להקה | לחבוש | תחבושת | רצועה
3c3505a00690	בבסיס	בסיס
43401ea138e4	בחוף	חוף ים
1c9125515eeb	החיה	חיה | מפלצת
452e7d382afc	בחדר השינה	חדר שינה
5569ab5a825d	מתחיל	להתחיל / התחיל / התחיל
ddbba1334b5d	הגשר	גשר | לגשר
2afb9939d2ad	בטל	לבטל
1da0f2df8a73	מחבבת	לחבב | לדאוג | לטפל
bf1f3ad705f0	בתיבה	תיבה | מקרה | טיעון
268cc914768c	בקטלוג	קטלוג | רשימת פריטים
f63f31f2488f	חגגנו	לחגוג
e8a08adf1345	השתנה	שינוי | לשנות | עודף
05dd3c5249e4	זולות	זול
fca384ab9c3b	רימה	לרמות | לבגוד
e869b52479a3	כימיות	כימיקל | כימי
7c228acac902	כרוניים	כרוני
bcfb7cc48d80	חג	להקיף בעיגול | מעגל
5511af5d7608	אוספת	לאסוף
fa5de1c9f149	הקומי	קומי מהמילה קומדיה
f6d7ba567621	המיכל	מיכל | קונטיינר
2334a372deac	העתק	להעתיק
acb858539f7d	לארץ	ארץ | כפר | אזור
06cd028e7311	הזוג	זוג | לצמד
c58c757e51bc	בן הדוד	בן-דוד
45694bffbb06	הפרה	פרה
38c92e7dbd62	יוצר	ליצור
88c1d1971ab8	אמות המידה	אמות מידה | קריטריונים
72137fbede4c	חצתה	לחצות | צלב | להצליב
5417063501e7	החשיכה	חשיכה
74f5e1c89e47	מחקתי	למחוק
a78822ef2eda	הדיכאון	דיכאון
7dae7d6dcf1e	עיצוב	תכנית | דוגמה | תרשים | לתכנן | לעצב
e4e7844b835d	הרסה	להרוס
960f53fc8616	התרשים	תרשים | דיאגרמה
fb4551ba4e44	הדיקטטור	עריץ | דיקטטור
acf3622f2ca5	הישירה	ישיר | כנה | לכוון | לביים
f5f732e56a16	הכיוון	כיוון
0ee0f76da9db	המרחק	מרחק
1c830d70ca2e	תעד	מסמך | לתעד
23431be4242c	הדומיננטית	דומיננטי | שולט
8078933553a1	דרסטיים	דרסטי
7e1ac94d900e	ההד	הד
d0a264deccd8	העורך	לערוך
04f35ff5b8a2	האלסטית	גמיש | אלסטי | גומיה
ce67eb7c07eb	הפיל	פיל
dbafde7bcbfc	האימפריה	אימפריה
ee317c838848	להיכנס	נכנס
dce9a7d7c35c	בפרק	פרק
5f0f430d4a21	אתניות	אתני
25927191d2c8	מצוינים	מצוין
ec8adb4898c3	אקזוטיים	אקזוטי | מארץ זרה
104bcc1cef82	יקרה	יקר
f7ce8bb00b46	ההסבר	הסבר
7efb48d3344c	יתפוצצו	להתפוצץ
6ad7f6eac357	הקיצוני	קיצוני
56b9e2ce00c3	המפעל	מפעל | בית חרושת
40f3787be4b2	שקרית	שקרי | כוזב | לא נכון | מזויף
87136771087d	האופנה	אופנה | לעצב
13f7b4493d65	בקובץ	תיק | קובץ
61a196b1cb21	באצבע	אצבע
4599a920735c	היער	יער
00267ff6a663	מצאנו	מצא | גילה | לייסד
076e4d3cb25f	יקפאו	להקפיא | הקפיא
4e993004e48f	בגן	גן
38ffeb866d85	השער	שער
0655355fb3a0	הגנים	גנים
63b2f2b91f92	הענק	ענק
3152f545527e	עולמית	עולמי | גלובאלי
cd10e09a5114	המטרה	מטרה
861a633eb9f6	המוזהבת	מוזהב
bfe8c526afd4	גדל	לגדול | לגדל
2e66a9392c70	השומר	שומר | לשמור
0b2179917515	באולם הספורט	אולם ספורט
f048b7b6b562	בהרמוניה	הרמוניה
181c98304e25	התחבאה	התחבא מ-
183a7be8baa7	חבויה	חבוי | נסתר
35becabcccac	לתחביב	תחביב
a899a96d8067	באימה	אימה
b4a2af42e908	התקנת	התקנה
6f3ecfa102d9	אינטלקטואל	אינטלקטואלי
c6c38fc04b1f	הבינלאומי	בינלאומי
6da86f5b85d0	ראיין	לראיין | ראיון
70a69e5f56cb	האינטואיציה	אינטואיציה
85f19e99c897	הזמנו	להזמין
78a6c3ac363f	בג ונגל	ג ונגל
2adff5249c5f	בעט	לבעוט | בעיטה
f34bf920d911	האחרונה	אחרון | המשיך | החזיק מעמד
2ebcf7d3d9c3	משפטיים	משפטי | חוקי
20604a27d1b0	הליברלית	ליברלי | מתירני
8130ff09e1fe	מהספרייה	ספריה
cc255333d7ea	מקומיים	מקומי
