k	a	b
f762010ca21b	הונה	להונות
12d59da11ab2	הסיק	להסיק
610540e3a4a7	נעכב	לעכב | לדחות
c614e0cb955c	מכוונת	מכוון | לשקול | לבחון | לדון
6cc0bec2cbd0	מאשליות	אשליות | הזיות
02dfe1cf8a2b	מציין	לציין | לסמן
bfa9ccbd39e9	תיאר	לתאר | להציג | לשרטט
c9838a077b1a	שואבת	לשאוב | להפיק | לגזור מ-
7cf498039f76	חילוקי הדעות	חילוקי דעות
f056d3f10a39	תלמידיו	תלמידים
522cc19ba52d	גילתה	לגלות | לחשוף
ea75611dea4f	ישגר	לשגר
8a83f4902fc8	לעקירה	עקירה
a26e44caa64f	המחלוקת	מחלוקת | לערער
d3b97e4d3a78	לשיבוש	שיבוש | הפרעה
110a30ed63b6	בתיקו	תיקו | שוויון | לצייר
b2ef7ac59ca0	הבצורת	בצורת
c03f938905cb	העמידות	עמיד | בר-קיימא | מחזיק מעמד
e92e240c1aea	מתגוררים	להתגורר
65b4b55fcf53	המשכן	משכן | בית
a7ae8e01ea15	הצלופח	צלופח
47d095333cbd	הופעתן	הופעה | היווצרות
982c39abb2a8	פליטות	פליטה
fef70fd8f604	מושווית	להשוות | להתאים
1c16818cce46	השגוי	שגוי
d9d357e9672a	יתפרץ	התפרץ
9259d8c64a13	המכובד	מכובד
2f3ecd36f01e	להתחמק	התחמק
347531e55e96	הסופית	סופי | בסופו של דבר
25e640dc04b4	יעלו על	לעלות על | לחרוג
059f6a8b3c70	ההוצאה	הוצאה
7d3ada3374f2	הרעב	רעב קשה
184473be33ca	הפורה	פורה
36a8d54d4297	הבריחה	בריחה | מנוסה | טיסה
ca765f34366a	נוהרים	לנהור | עדר | המון
447b66edb4a4	השטף	שטף
a56bc9f29e80	חיבבה	חובב | מחבב
db58dc8d7d44	מטפחים	לטפח | לעודד | לקדם | הורה/ילד אומן
d6bbe9885651	הנמלט	נמלט | בורח מהחוק
cbb28194bc81	להצצה חטופה	הצצה | מבט חטוף
480c8291bcd7	החינני	חינני | אדיב
6d0ccb2d35c8	ההדרגתית	הדרגתי
e0c3ed884f00	הקודרת	קודר | עגום
3c461d5801a8	החתן	חתן | לטפח | לטפל
b6b6fdf8f6f3	מהירה	מהיר | בהול
e9830358e1fb	לסכנה	סכנה | מפגע
321070257969	הקדחתני	קדחתני
d04b6cdb7a90	הענווה	ענוה
dac4a6df1500	הצביעות	צביעות
cfa19cea3e73	האסור	אסור | בלתי חוקי
3597497a95c0	בורים	בור | אנאלפבית
da4fb7a16798	הכביר	כביר | עצום
423a0071e50f	אובייקטיבי	אוביקטיבי | ללא צד
3081faf2bf4a	בלתי מובן	לא מובן
0beba44cc5fb	יכלול	לכלול | לשתף | לאגד
ed0daf6cb864	הילידים	ילידי | מקומי | שמקורו במקום
e5336d874652	גזרו	נגזר | משתמע
05ff9223f59d	הדלקת	דלקת
d3df7994acbc	ריסן	לרסן
7676ead5c41c	מבודדים	לבודד
1bf639ef9bd7	כמתווך	מתווך | אמצעי
06e3712eedce	משכר	להרעיל | לשכר | להלהיב
f34346cd2d6e	להסתמך	לעורר | לזמן
c79ccc23ebd5	מהכד	כד | קנקן
4f1d222d8d2e	האחרון	שני | אחרון
63ac9b14ea3a	הפנאי	פנאי
addec37020a3	האוריינות	אוריינות | ידיעת קרוא וכתוב
ab69067f47c7	באשפה	אשפה | פסולת | ללכלך בפסולת | לזרוע | לפזר
5a62d1fa8630	הבוהק	זוהר | בוהק
ac4fbcc568cc	בינונית	בינוני במובן שלילי
bcf163cda3a1	מעשה הקונדס	נזק | מעשה קונדס
aabe181a99ba	השגרתיות	שגרתי | יומיומי | בנאלי
