k	a	b
123287993175	עממית	עממי
4abc84f75e29	בדרך כלל	בדרך-כלל
efaf34d57c7f	מנסחים	לנסח
15d7b03a3347	המצודה	מצודה | מבצר
7b3231ae2c26	בת מזל	בעל מזל
72b4d456b44f	הפרווה	פרווה
633ce9d60024	להמר	הימר
d41098749fa4	נדיבה	נדיב
0421f236f09c	תסיים את לימודיה	לסיים לימודים
c39c559b03bb	הגיליוטינה	גיליוטינה
c3d65d725644	אבק השריפה	אבק שריפה
9e752abf4986	אינה מזיקה	שאינו מזיק
e6de1fa2f655	ההיררכיה	היררכיה | מדרג
08a813238a23	המצחיקות	מצחיק
724d0c148602	האיומה	איום
e8e676a06a40	המאייר	מאייר
ef2f01021a8d	המלאים בדמיון	בעל דמיון עשיר | יצירתי | מלא דמיון
62a231ab73c3	לא מוסרית	לא מוסרי
5007d238b6be	חוסר הפעילות	חוסר פעילות
a5f14a88f72b	כוללת	כולל
52c48036e9d6	המדד	מדד | מפתח רשימת ערכים אלפביתית בסוף ספר
e9ca42156b4d	מצביעים	להצביע על
cec0ea5633ab	זולות	לא יקר | זול
9bd70d9df351	רב ההשפעה	רב-השפעה
035f8976d7a1	יזריק	להזריק
5eae38fd48a3	פצעה	לפצוע
1172228b57fd	החדשנית	חדשני
0a836849e5de	הכנס	להכניס
fb016f1c6cb3	תתעקש	להתעקש
18f1e2f07017	ההוראות	הוראה | הדרכה
9daa6d25b83d	הממציא	ממציא
3ceb676ca65d	משקיע	להשקיע
f2fe9701ed1a	יערב	לערב
4683dea5cee3	רצה	ריצה | ג וגינג | לרוץ
73c1e06c3774	המשותף	משותף | מפרק | חיבור
7ed5303bff83	השמחה	שמח | עליז
0a4c871a16e1	השיפוט	שיפוט
2f366707aa37	בדיוק	מדויק | אמיתי | רק | בלבד | צודק | הוגן
29f90a2cc814	תשגר	לשגר | להוציא לדרך | להשיק | להתחיל
70ca3fb42ce7	יהפוך לחוקי	להפוך חוקי | לאשר
7897d53de8d7	הארוך	ארוך | מייגע
f6bcd21f74e7	המגבלה	מגבלה
32fe02354feb	המילולית	מילולי | כפשוטו
906bf2fcc15e	ברמקול	רמקול
0049b9835abb	המזוודות	מזוודות
cdf2a5b8c5a4	מילות השיר	מילות שיר | לירי
e5262c488a0a	הדוור	דוור
d86aa52c71f8	המנדט	מנדט | ייפוי כוח
3e3cc4580825	האופן	התנהגות | אופן
5586745007c9	ימיים	ימי
4df1fea207ec	המתמטיקאי	מתמטיקאי
8ed83f29c582	ראש העיר	ראש עיר
d9e4c686175b	מהגרות	להגר
dd9d85759763	הגירת	הגירה | נדידה
0a9eaa1112af	הנזיר	נזיר
28661f95770f	המדרון	מדרון
e7ff2d6d7664	לסמים	סם
1c66603c7f42	הסיפור	סיפור | נרטיב
4b47bb291e76	כמועמדת	מועמד
4a0d2fa1829b	הרומן	רומן | סיפור | חדש
f167b9ef8385	האירוע	אירוע | סיבה | הזדמנות
719a0e56b33d	מתרחשות	קרה | התרחש
b4a8ddc0b4bf	לתמנון	תמנון
e0d52651e967	המיושנת	מיושן
a42784aad9cb	מדי פעם	מידי פעם
