w1624	ככל	קשר ואג״ח נפוצים; להתחבר נדיר
w1536	ככ	שני מובנים נפוצים
w1598	כלכ	פריט פחות נפוץ מהשניים
w1932	ככ	שני תרגומים קרובים נפוצים
w1751	כלכ	במידה-רבה כפילות למאוד
w1981	ככ	שני תרגומים נפוצים
w1270	לככ	רוזן נדיר יחסית לספירה
w1616	ככ	מופשט ופיזי, שני מובנים
w2260	כלכללללל	עלילה וחלקת-אדמה; השאר כפילויות/נדיר
w2055	ככ	וידוי והודאה נפוצים
w1259	כל	מבוכה מובן שונה בעיקרו
w1457	ככ	שני ניסוחים שווי-ערך
w1352	כללכל	מפואר ונהדר; כולל צר מדי
w1763	לככל	עלייה והגדלה; לעלות כפילות שורש
w1632	ככ	בריון והצקה נפוצים
w1615	ככל	איסור נפוץ; חרם מובן אחר
w1491	לככ	מקטע טכני יותר מהשניים
w2345	ככ	פיזי ותודעתי, שני מובנים
w1220	כלכ	אחורה כפילות ניסוח ללאחור
w2242	כלכ	לתזמר מובן מוזיקלי צר
w1507	ללככל	קול ולהישמע דומיננטיים בבירור
w2008	ככ	להניח ולקחת-על-עצמו נפוצים
w2222	ככל	גדול כללי מדי, לא מדויק
w2208	לככ	דרך כפילות ניסוח לאופן
w2051	ככל	להדאיג כפילות שורש לדאגה
w1752	ללכלכ	טיול-רגלי מדויק; העלאה מובן נוסף
w1995	ככ	שני ניואנסים נפוצים
w1645	כלכ	גיליון תרגום לא מדויק
w1591	ככ	שני ניסוחים נרדפים
w1754	ככ	לזהות ולהזדהות שונים במובנם
w2265	ככ	שם ופועל, ללא מתחרה
w1500	ככל	להזיז כללי מדי, לא מדויק
w1453	ככל	מרוץ איות כפול למירוץ
w2100	כל	לסכן זה פועל אחר
w1568	ככ	מפל ומפל-מים שקולים
w1933	ככ	שני תרגומים גבוהי-רגיסטר נפוצים
w1503	כלכ	באופן-משמעותי כפילות שורש למשמעותית
w1441	ככ	כהן וכומר לפי ההקשר הדתי
w1343	כלכ	כפילות מדויקת של בסיסי
w1356	ככ	שם ופועל, ללא מתחרה
w2310	כללכ	זעיר ומעט פחות מדויקים
w1715	ככ	הכרחי וחיוני נרדפים נפוצים
w1216	ככ	סמכות מופשטת ורשות מוסדית
w1528	לככ	התרחש נטייה כפולה של להתרחש
w2368	כלכ	לפרוש פחות דומיננטי מהשניים
w2129	ככ	שני ניסוחים נפוצים
w1978	ככללל	התעללות כפילות שורש; ניצול שונה
w2294	לככ	לסגת כפילות שורש לנסיגה
w1242	לכ	מאה לבד לא מספיק מדויק
w1787	ככ	סלנג ופיזי, שני מובנים
w1885	ככ	שם ופועל, ללא מתחרה
w1362	ככ	קרחון והר-קרח שקולים
w2035	לכלכלל	בירה והון דומיננטיים; השאר נדיר
w1945	ככל	לעבור כפילות שורש למעבר
w2069	לכ	להבין כללי מדי, לא מדויק
w1999	ככללל	גישה והתקרבות דומיננטיים בבירור
w1717	ככל	יוצא-דופן משמעות שונה מעט
w1337	ככ	פולקלור ומסורת-עממית שקולים
w2262	ככלל	פולני מובן נפרד; לצחצח כפילות
w1941	כלכ	בוהן כפילות מספר לבהונות
