k	term	cands
w1064	profit	להרוויח | רווח
w1066	project	להקרין | מיזם | לתכנן | להשליך | פרוייקט | פרויקט | לחזות
w1068	protest	למחות | מחאה | הפגנה
w1069	public	ציבור | ציבורי
w1073	purpose	מטרה | תכלית | כוונה
w1074	quarter	רובע | רבע
w1075	rage	לזעום | זעם
w1076	raise	העלאה | לגדל | להעלות | להרים
w1079	realize	הבין | להגשים | להבין
w1080	recent	שארע לאחרונה | אחרון | טרי
w1082	recognize	לזהות | להכיר
w1084	register	לרשום | להירשם | מרשם
w1085	release	לשחרר | שחרור
w1088	remote	שלט | מרוחק
w1089	repair	לתקן | תיקון
w1091	reporter	כתב | עיתונאי
w1094	rescue	הצלה | להציל
w1095	research	מחקר | לחקור
w1099	rise	עלייה | לעלות | עליה
w1101	safety	ביטחון | בטיחות
w1102	salary	משכורת | שכר
w1103	sample	דוגמה | מדגם | דגימה | לדגום
w1104	scare	להפחיד | פחד | בהלה
w1105	schedule	לוח זמנים | לתזמן
w1107	script	כתב | תסריט
w1109	section	קטע | חלק | סעיף | יחידה
w1110	senior	בכיר | קשיש | זקן
w1112	sentence	לגזור דין | גזר דין | משפט
w1113	shadow	צל | לעקוב | להאפיל
w1114	shave	גילוח | להתגלח | לגלח
w1115	ship	אוניה | לשלוח | ספינה
w1116	shy	להירתע | ביישן
w1120	simply	פשוט | בפשטות
w1121	sin	לחטוא | חטא
w1123	soul	נפש | נשמה
w1126	space	מרחב | רווח | חלל
w1128	spell	קסם | לאיית | כישוף | איות | תקופה
w1129	spirit	כוונה | רוח רפאים | רוח | מורל | רוח הדברים | אלכוהול | נפש
w1132	standard	מקובל | תקן | רמה | סטנדרטי
w1134	stomach	קיבה | לסבול | בטן
w1135	strength	חוזק | עוצמה | כוח
w1136	structure	לבנות | לארגן | מבנה
w1139	supply	אספקה | היצע | לספק
w1140	surely	ללא ספק | בוודאי
w1142	surrender	להיכנע | כניעה
w1146	target	למקד | מטרה
w1153	tie	עניבה | קשר | לקשור | תיקו
w1154	title	תואר | כותרת
w1155	tongue	לשון | שפה
w1156	totally	לחלוטין | לגמרי
w1157	track	מסלול | לעקוב | שיר | מסילה
w1160	train	להתאמן | רכבת | לאמן | להכשיר
w1162	transport	תחבורה | שינוע | להוביל | הובלה
w1163	trap	מלכודת | ללכוד
w1164	treatment	טיפול | יחס
w1168	unbelievable	לא ייאמן | מדהים | לא יאמן
w1170	unfortunately	למרבה הצער | לצערי
w1171	unusual	לא רגיל | בלתי רגיל | יוצא דופן
w1172	useful	שימושי | מועיל
w1173	useless	חסר תועלת | חסר ערך
