k	term	cands
w3441	poverty-stricken	עני | מוכה עוני | מרוד
w3444	predictive	מנבא | חיזויי | תחזיתי
w3446	prescribe	לרשום | להורות | לרשום מרשם
w3448	presently	בקרוב | כעת | כרגע
w3450	probation	מאסר על תנאי | תקופת ניסיון | תקופת מבחן
w3451	proclaim	להכריז בפומבי | להכריז
w3455	prospective	צפוי | פוטנציאלי | עתידי
w3456	prosperity	שפע | צמיחה | שגשוג
w3458	provided that	בתנאי ש- | בתנאי ש
w3461	pursuit	מרדף | רדיפה | שאיפה
w3464	rationalize	להסביר | לייעל | להצדיק
w3465	readily	ברצון | ללא קושי | בקלות
w3468	recession	מיתון | נסיגה
w3469	recipient	נמען | מקבל
w3472	refuge	מקלט | מפלט | מחסה
w3473	reign	למלוך | שלטון
w3476	reluctant	לא מעוניין | מסויג | מהסס
w3480	riddle	לנקב | חידה
w3481	ridicule	לעג | ללעוג
w3482	rigid	מחמיר | קשיח | נוקשה
w3483	robust	חזק | חזק ובריא | איתן
w3485	sake	עניין | תועלת | למען
w3486	sanctuary	שמורה | מקלט | מקדש
w3488	saw	לראות | מסור | משור
w3490	score	לזכות בניקוד | לחרוץ | לחתוך | לקלוע | ניקוד | תוצאה
w3492	sedative	משכך | סם הרגעה | תרופת הרגעה
w3493	seek, sought	לבקש | חיפש | לחפש
w3494	segregation	בידול | הפרדה
w3495	seismic	ססמי | סייסמי | ססמי (קשור לרעידות אדמה)
w3496	seizure	תפיסה | התקף | החרמה
w3501	skyrocket	לזנק | להאמיר
w3504	span	להשתרע | טווח | להקיף | מרווח | להימתח
w3505	spectacle	ראווה | מחזה | משקפיים
w3506	splendid	מהולל | מפואר | נהדר
w3507	spring, sprang	לקפוץ | קפיץ | קפץ | לצוץ | לנבוע
w3508	standardize	לתקנן | להאחיד
w3511	strain	זן | לאמץ | להתאמץ | למתוח | לנקוע | מתח | מתח נפשי
w3514	stroke	שבץ | שבץ/אירוע מוחי | ליטוף | ללטף | מכה
w3515	stumble	למעוד | להיכשל
w3516	sturdy	חסון | חזק | מוצק | יציב
w3517	subsequent	מאוחר יותר | עוקב | הבא
w3520	successor	מחליף | יורש
w3521	surpass	לעקוף | לעלות על | להצטיין
w3522	swept away	לסחוף | נסחף
w3523	sympathetic	אוהד | מבין
w3527	timber	קורה | עץ
w3528	timid	פחדן | ביישן
w3529	tremendous	אדיר | עצום
w3533	undertake	להתחייב | ליזום | לקחת על עצמך
w3534	unearth	לחשוף | לחפור | לגלות
w3535	unfold	נפתח | לפתוח קיפול | לפרוש | להתפתח | התגלה | נפרש
w3536	unparalleled	יוצא דופן | חסר תקדים | שאין כמותו
w3540	vain	שחצן | חסר תוחלת | לשווא | יהיר
w3542	verse	שירה | בית בשיר | בית | פסוק
w3543	vessel	כלי שיט | ספינה | כלי
w3545	virtue	מעלה | מידה טובה | סגולה
w3546	vivid	בהיר | ססגוני | חי | עז | ברור | מוחשי | חד
w3548	ward	מחלקה | אגף
w3550	whereas	בעוד ש- | בעוד ש
w3551	wholesale	סיטונאי | גורף | סיטונאות
