k	term	cands
w2653	puzzled	תמה | מבולבל
w2654	quake	רעד | רעידת אדמה | לרעוד
w2655	qualify	להסמיך | להיות מוסמך | להעפיל
w2656	railroad	מסילת רכבת | מסילת ברזל | רכבת
w2660	reconstruct	לבנות מחדש | לשחזר
w2662	recruit	טירון | לגייס
w2664	refer	מתייחס | להפנות | להתייחס
w2666	reflection	השתקפות | הרהור
w2668	regain	לשחזר | להשיב | להשיג מחדש
w2669	regardless	ללא קשר | למרות | בכל זאת
w2671	regulation	רגולציה | תקנה
w2673	relate	לספר | להתייחס | לקשר
w2674	relating	להתייחס | לספר | מתייחס
w2676	relocate	להעביר | לעבור | למקם מחדש
w2680	reside	להתגורר | לשכון | לגור
w2681	resigned	התפטר | משלים | להתפטר
w2684	resume	להמשיך | קורות חיים
w2685	revert	לחזור | לחזור למצב קודם
w2687	revision	תיקון | בדיקה מחדש לצורך שיפור | עדכון
w2688	revived	להחיות | להתאושש | התחדש | קם לתחייה
w2689	revolt	למרוד | מרד
w2690	rhyme	חרוז | לחרוז
w2692	robe	חלוק | גלימה
w2694	safeguard	אמצעי הגנה | להגן | הגנה
w2697	scholar	אקדמאי | חוקר | מלומד | בעל מלגה
w2698	sensation	תחושה | סנסציה
w2700	shuttle	מעבורת | הסעה
w2701	sibling	אח או אחות | אח | אחות
w2702	sideways	לרוחב | הצידה
w2705	simultaneously	במקביל | בו זמנית | בו-זמנית
w2707	slaughter	טבח | שחיטה | לטבוח | לשחוט
w2709	sneeze	להתעטש | עיטוש
w2710	spark	להצית | ניצוץ | לעורר | גיץ
w2711	specify	לציין | לפרט
w2714	stain	כתם | להכתים
w2715	stalk	להטריד | לעקוב אחרי | קנה | לעקוב/לארוב אחרי | גבעול
w2717	stunned	היה המום | נדהם | המום
w2718	substitute	להחליף | תחליף
w2719	suburb	פרוור | פרבר
w2722	summits	ועידת פסגה | פסגה | פסגות
w2724	supervise	לפקח | להשגיח
w2725	suppress	לכבוש | לדכא | להשתיק
w2728	suspend	לתלות | להשהות | להשעות
w2733	terrify	להפחיד | להבעית | להבהיל
w2734	tilt	הטיה | להטות | שיפוע
w2735	tolerance	סובלנות | סבילות
w2737	transmit	להעביר | לשדר
w2739	trim	לגזום | לקצץ
w2740	triumph	ניצחון | לנצח
w2741	troop	יחידה צבאית | חייל | יחידה
w2742	tutor	מורה פרטי | להדריך | ללמד
w2744	unconcerned	אדיש | לא מודאג
w2745	unconventional	לא שיגרתי | לא שגרתי
w2748	unholy	לא קדוש | נורא | לא מוסרי
w2751	utilize	השתמש | לנצל | להשתמש ב
w2752	validate	לאשר | נתן תוקף | אימת | לאמת
w2755	vary	משתנה | להשתנות
w2757	vest	גופייה | אפודה | אפוד
w2759	voyage	מסע | הפלגה
w2760	wander	לתעות | להסתובב | לשוטט
