k	term	cands
w3763	infraction	עבירה | הפרה
w3764	inhabit	לאכלס | לגור | לשכון ב- | להתגורר | לגור ב-
w3767	instill	להנחיל | להחדיר | להקנות | להשריש
w3768	insurmountable	בלתי עביר | שאין להתגבר עליו
w3769	insurrection	מרד | התקוממות
w3770	interjection	הפרעה לשיחה | מילת קריאה | הערה
w3771	interminable	בלתי נגמר | נצחי | אינסופי
w3772	invariably	באופן קבוע | תמיד | ללא יוצא מן הכלל | בכל פעם
w3773	invertebrate	חסר חוליות | חסר-חוליות
w3774	jagged	מחוספס | משונן
w3775	keep	חלק מהמצודה | להמשיך | לשמור
w3776	keystone	אבן פינה | אבן מפתח
w3778	lamentable	מעציב | עגום | מצער
w3779	lapse	סיום | פרק זמן | לפקוע | מעידה | פקיעה | פליטת פה
w3782	leisurely	בנחת | נינוח | רגוע
w3783	leniency	הקלה בעונש | מתינות | סלחנות | ותרנות
w3785	lineage	ייחוס | מוצא | שושלת
w3786	loathe	לשנוא | לתעב
w3787	lucrative	רווחי | ריווחי | משתלם
w3790	markedly	בצורה ניכרת | באופן ניכר | משמעותית
w3791	marsupial	חיית כיס | יונק כיס
w3793	meticulous	דקדקן | קפדני
w3794	misconception	דעה מוטעית | אי הבנה | תפיסה מוטעית
w3795	mitigate	להפחית | למתן | להקל | לצמצם
w3796	momentous	מכריע | גורלי | הרה גורל
w3797	morose	עגמומי | עגום | קודר | זעוף
w3798	myriad	הרבה | רב | אינספור
w3802	nestle	להצטנף | להתכרבל | להיות מוקם בחיק | לשכון בנוחות
w3808	obedience	ציות | צייתנות
w3810	obscure	לטשטש | סתום | מעורפל | להסתיר | לא ידוע
w3812	ode	שיר שבח | אודה | שיר הלל
w3813	officiate	לערוך טקס | לערוך | לכהן
w3816	omniscient	מספר כל-יודע | יודע כול | כל-יודע
w3818	outspoken	ישיר | בוטה | מדבר גלויות
w3819	overhaul	שיפוץ | אוברול | לשפץ | רפורמה
w3821	paramount	חשוב ביותר | בעל חשיבות עליונה | עליון
w3825	penned	כָּתַב | לכתוב | לכלוא
w3826	perch	נח | מוט | לשבת | ישב על ענף | ענף
w3830	pervasive	מתפשט | מחלחל | רווח | נפוץ
w3831	plausible	מתקבל על הדעת | סביר | אמין
w3833	plight	מצב קשה | צרה | סכנה | מצוקה
w3835	poacher	צייד לא-חוקי | מסיג גבול | צייד לא מורשה
w3837	populous	רב אוכלוסין | מאוכלס בצפיפות
w3839	posterity	דורות הבאים | הדורות הבאים
w3841	poultry	עוף | עופות
w3842	predecessors	קודמים | קודם
w3843	predestined	נקבע מראש | מיועד | נועד מראש
w3844	preside	לכהן | לנהל
w3845	pretext	אמתלה | תואנה | תירוץ
w3847	proliferate	התפשט במהירות | להתרבות
w3849	prompt	מיידי | הנחיה | לגרום | לעורר
w3850	prompted	לעורר | הביא לידי | לגרום
w3853	prowess	גבורה | מיומנות | יכולת
w3855	quarrelsome	וכחני | נוטה לריב | קנטרן
w3856	quench	להרוות | להשקיט | לספק | לכבות
w3857	rearing	להזדקף | טיפוח | גידול
w3862	reconcile	להתאים | לפייס | ליישב | ליישב (סתירות) | להשלים עם | לגשר בין | להתפייס
w3864	reigned	למלוך | שלט | משל
w3866	relapse	הדרדר | הישנות | להישנות
w3867	relegated	להוריד בדרגה | הורד בדרגה
