k	term	cands
w0546	freeze, froze	הקפיא | לקפוא | להקפיא
w0547	friendly	ידידותי | חברותי
w0549	front	להתעמת | חזית | קדמי
w0550	garden	גן | גינה
w0552	genes	גנים | גן
w0555	giant	ענקי | ענק
w0557	global	עולמי | גלובאלי | גלובלי
w0558	goal	שער | מטרה
w0559	golden	זהוב | מוזהב
w0564	gym	אולם ספורט | חדר כושר
w0567	hid from	התחבא מ- | להסתתר מ
w0570	horror	אימה | זוועה
w0572	in case	אם במקרה | שמא | למקרה ש | למקרה ש-
w0574	in that case	במקרה הזה | אם כך
w0577	installation	מיצב | התקנה
w0578	intellectual	אינטלקטואלי | אינטלקטואל
w0581	intuition	תחושת בטן | אינטואיציה
w0589	kind	טוב לב | נעים | אדיב | סוג | נחמד
w0592	largest	גדול | הגדול ביותר
w0593	last	אחרון | המשיך | החזיק מעמד | להימשך
w0594	leader	מנהיג | מוביל
w0596	level	מפלס | ישר | דרגה | לאזן | רמה | להשוות | ליישר
w0597	liberal	נדיב | מתירני | ליברלי
w0598	library	ספרייה | ספריה
w0602	losing	לאבד | מפסיד | להפסיד
w0605	mail	לשלוח | דואר
w0606	main	ראשי | עיקרי
w0607	makeup	הרכב | איפור
w0611	market	שוק | לשווק
w0612	master	לשלוט | מומחה | שליט | לשלוט ב | אדון | להתמחות
w0614	mental	נפשי | שכלי
w0615	mentor	מדריך רוחני | חונך
w0617	miss	להתגעגע | להחמיץ | לפספס
w0618	mission	משימה | שליחות
w0625	nature	מהות | טבע
w0627	negative	שלילה | שלילי
w0629	network	רשת | ליצור קשרים
w0630	neutral	ניטרלי | אדיש
w0634	nurse	לטפל | להניק | אחות
w0635	obsession	שיגעון | דיבוק | אובססיה
w0636	of course... but...	כמובן... אך... | כמובן... אבל...
w0637	official	פקיד | מאושר | רשמי
w0639	on top of	על | בנוסף ל | מעל
w0643	order	מסדר | פקודה | לצוות | הזמנה | מסדר (דתי) | להזמין | סדר
w0645	original	מקור | מקורי
w0647	package	חפיסה | לארוז | חבילה
w0649	panic	להיבהל | פאניקה | בהלה
w0652	path	נתיב | שביל | דרך
w0653	pause	להפסיק | הפסקה | להשהות
w0656	pet	ללטף | חיית מחמד
w0660	photograph	לצלם | תצלום | צילום
w0663	pilot	טייס | ניסיוני | להטיס
w0664	potential	פוטנציאלי | אפשרי | פוטנציאל
w0665	powerful	חזק | רב כוח | רב עוצמה | משפיע
w0666	prehistoric	קדמון | פרהיסטורי | קדום | פרה-היסטורי
w0667	prepare	להתכונן | התכונן | להכין
w0668	presentation	מצגת | הצגה
w0670	professional	מקצועי | מקצוען
w0671	program	תכנית | לתכנת | תכניה | תוכנית
w0672	puzzle	לבלבל | חידה | פאזל
