k	term	cands
w2515	expedition	מסע | משלחת
w2519	exterior	חיצוני | חזית
w2521	extract	קטע | תמצית | להוציא | לעקור | לחלץ | להפיק
w2522	faithful	נאמן | מדויק
w2523	farther	יותר | הלאה | רחוק יותר | רחוק
w2524	fasten	לחבר | להדק
w2526	fierce	עז | אכזרי | פראי
w2527	findings	ממצא | ממצאים
w2529	flee, fled	לברוח | נמלט | להימלט
w2531	fluid	נוזל | נזיל
w2535	frequent	שכיח | תדיר | תכוף | לפקוד
w2538	govern	לנהל | למשול | לשלוט
w2541	grapes	ענב | ענבים
w2544	grocery	מצרכים | מכולת
w2545	guidance	הכוונה | הנהגה | הנחיה | הדרכה
w2546	handful	חופן | קומץ
w2550	herb	עשב | עשב תיבול
w2553	housemaid	מנקה | משרתת | עוזרת בית
w2558	idolize	להעריץ | להאליל
w2563	implement	ליישם | כלי | להוציא לפועל
w2566	inconsistent	סותר | לא עקבי
w2570	ingredient	רכיב | מרכיב
w2571	initiated	להתחיל | ליזום | אִתְחֵל | יזם | התחיל
w2577	interior	פנימי | פנים
w2579	interpretation	פרשנות | פירוש
w2581	invaders	פולש | פולשים
w2584	inventory	מלאי | רשימת מלאי | מצאי
w2585	jewel	תכשיט | אבן חן
w2587	just as... so...	כשם ש... כך | בדיוק כמו... גם
w2589	knot	קשר | לקשור
w2596	malfunction	ליקוי | להתקלקל | תקלה | כשל
w2597	manufacture	ייצר | לייצר | ייצור
w2598	margin	שוליים | מרווח | הפרש | רווח
w2604	merge	לחבר | להתמזג | למזג
w2606	misbehave	להתנהג בצורה לא הולמת | להתנהג רע | להשתובב
w2610	narration	תיאור | קריינות
w2612	obligation	התחייבות | חובה
w2613	observer	צופה | משקיף
w2615	occasional	מקרי | לא תדיר | מדי פעם | מזדמן
w2616	occasionally	מידי פעם | לעיתים | מדי פעם
w2617	occasions	אירוע | מקרים | הזדמנויות | הזדמנות
w2618	offender	פושע | פוגע | עבריין
w2619	offense	התקפה | עלבון | פגיעה | עבירה
w2623	outlaw	להוציא אל מחוץ לחוק | פורע חוק | לאסור
w2624	outpost	נקודת קצה | מוצב | מאחז
w2626	overlaps	לחפוף | חפיפה | חופף
w2627	overly	יותר מדי | יותר מידי
w2629	partial	מוטה | חלקי
w2630	participate	להשתתף | השתתף
w2631	peek	הצצה | להציץ
w2632	performer	מציג | מבצע | אמן
w2635	poll	הצבעה | סקר | קלפי
w2640	predict	לצפות מראש | לחזות | לנבא
w2641	prediction	ניבוי | חיזוי | תחזית
w2642	preserve	שמורה | לשמר | ריבה
w2646	promote	לקדם | לפרסם
w2647	proportion	מידה | פרופורציה | שיעור | יחס | חלק
w2648	proposition	טענה | הצעה
w2649	publicized	לפרסם | פורסם
w2650	pupil	אישון | תלמיד
