k	term	cands
w0126	full	מלא | שבע | למלא
w0127	future	עתיד | עתידי
w0129	gift	כישרון | מתנה
w0131	government	ממשלה | ממשל
w0132	great	גדול | מעולה | נהדר
w0133	ground	אדמה | קרקע | בסיס | לבסס
w0139	harder	קשה יותר | בחוזקה | קשה
w0152	human	אדם | אנושי
w0153	human being	בן אדם | אנוש | יצור אנושי | בן-אדם
w0161	in	ב- | ב | בתוך
w0162	in a moment	מיד | עוד רגע | בעוד רגע
w0164	in front of	מול | בחזית של | לפני
w0167	inside	פנים | בפנים | בתוך
w0168	into	לתוך | אל תוך
w0172	joke	להתלוצץ | בדיחה
w0173	jump	לקפוץ | קפיצה
w0176	know, knew	ידע | להכיר | לדעת
w0178	late	לאחר | מאוחר | מנוח
w0179	later	מאוחר יותר | אחר כך
w0180	laugh	לצחוק | צחוק
w0182	left	שמאל | לעזוב | שמאלה
w0184	lie	שקר | לשקר | לשכב
w0185	light	אור | קל | להדליק
w0186	like	לאהוב | להעדיף | כמו | לחבב
w0187	link	חוליה | לקשר | לחבר | קשר | קישור
w0188	list	רשימה | להכין רשימה | לרשום
w0193	made	עשה | לעשות | ליצור
w0197	meeting	ישיבה | פגישה
w0199	message	מסר | הודעה
w0200	middle	אמצעי | אמצע
w0202	mistake	לטעות | טעות
w0203	mix	תערובת | ערבוב | לערבב
w0209	mouth	פה | שפך
w0210	move	מהלך | לעבור | לזוז
w0211	must	הכרח | צריך | חייב | חובה
w0212	near	קרוב | ליד
w0213	need	צורך | להזדקק | צריך
w0214	never	לעולם לא | אף פעם
w0222	number	מספר | למנות
w0226	offer	הצעה | מבצע | להציע
w0227	often	לעתים קרובות | לעיתים קרובות | תכופות
w0229	once	כאשר | פעם (בעבר) | פעם | פעם אחת | ברגע ש-
w0230	only	רק | יחיד
w0234	outside	בחוץ | מחוץ ל | חוץ
w0235	over	נגמר | על | מעל | שוב | מחדש
w0236	own	משלו | עצמי | בעלות על משהו | להחזיק
w0237	pain	כאב | להכאיב | לכאוב
w0238	part	חלק | להיפרד
w0239	pass	להעביר | למסור | לוותר | מסירה | לחלוף | לוותר (___ on) | לעבור
w0240	past	קודם | שעבר | ליד | עבר
w0241	pay	לשלם | שכר
w0242	peace	שלום | שקט
w0243	people	אנשים | עם
w0246	person	אדם | גוף
w0249	place	להניח | מקום | למקם
w0250	plan	לתכנן | תכנית | תוכנית
w0252	planet	כוכב לכת | פלנטה
w0254	pool	מאגר | בריכה | לאגד
w0255	poor	עני | מסכן | גרוע
w0267	quick	זריז | מהיר
