k	term	cands
w2127	finalize	לסכם | לסיים | לגבש
w2128	folk	אנשים | עממי
w2129	for the most part	בדרך-כלל | בעיקר
w2130	forecast	לחזות | תחזית
w2131	forgettable	שאפשר לשכוח אותו | נשכח
w2135	fortunate	בר מזל | בעל מזל
w2137	fulfill	למלא | להגשים
w2139	gamble	להמר | הימר | הימור
w2141	genuine	אמיתי | כן | מקורי
w2142	gesture	תנועת יד | מחווה
w2143	given that	מאחר ש | בהתחשב בכך | בהינתן ש
w2144	graduate	בוגר | לסיים לימודים
w2145	gross	דוחה | גועלי | ענק | ברוטו | גס | גלמי
w2148	gymnasium	אולם ספורט | חדר כושר | אולם התעמלות
w2150	hardly ever	לעיתים רחוקות | כמעט אף פעם
w2151	harmless	לא מזיק | תמים | שאינו מזיק
w2152	harsh	אכזרי | נוקשה | קשה | חמור
w2154	hilarious	מצחיק מאוד | משעשע | מצחיק
w2155	horrific	איום | מזעזע
w2158	imaginative	יצירתי | בעל דמיון | מלא דמיון | בעל דמיון עשיר
w2160	import	לייבא | חשיבות | ייבוא
w2162	in a word	בקיצור | במילה אחת
w2163	in contrast to	בניגוד ל- | בניגוד ל
w2164	in favor of	לטובת | בעד
w2167	inclusive	מכיל | כוללני | כולל
w2168	index	אינדקס | מפתח (רשימת ערכים אלפביתית בסוף ספר) | מדד | מפתח
w2169	indicate	לציין | להצביע על
w2171	influential	משפיע | רב-השפעה
w2172	inject	להחדיר | להזריק
w2173	injure	לפצוע | לפגוע
w2176	insist	להתעקש | לדרוש
w2178	integrate	להשתלב | לשלב
w2184	involve	לכלול | לערב
w2185	jog	ריצה | ג'וגינג | לרוץ | לרענן
w2188	judgment	שיקול דעת | פסק דין | שיפוט
w2189	just	רק | בלבד | מדויק | אמיתי | בדיוק | הוגן | צודק
w2190	lane	מסלול | נתיב
w2193	legalize	להסדיר | לאשר | להפוך חוקי | להכשיר
w2195	lengthy	ארוך | מייגע | ממושך
w2197	limitation	מגבלה | הגבלה
w2202	luggage	מזוודות | מזוודה | כבודה
w2206	maintain	לשמור | לגרוס | לשמור על | לתחזק | לטעון
w2207	mandate	ייפוי כוח | מנדט | לחייב
w2208	manner	דרך | אופן | התנהגות
w2210	marine	נחת | ימי
w2213	memorial	אנדרטה | הנצחה | אזכרה | מונומנט הנצחה | של זיכרון
w2216	migrate	להגר | לנדוד
w2219	modernize	לעדכן | לחדש | להפוך למודרני
w2222	monumental	כביר | אדיר | גדול
w2226	nationality	אזרחות | לאום
w2227	negotiate	לשאת ולתת | לנהל מו"מ | להתמקח
w2229	nominated	למנות | מועמד
w2231	novel	חדשני | חדש | רומן | סיפור
w2232	objection	התנגדות | הסתייגות
w2234	occur	להתרחש | לקרות | התרחש | קרה
w2236	odd	אי-זוגי | אי זוגי | מוזר
w2238	on the contrary	להיפך | להפך | אדרבא | נהפוך הוא
w2239	once in a while	מידי פעם | לפעמים | מדי פעם
w2241	oppose	להתנגד ל- | להתייצב נגד | להתנגד
w2242	orchestrate	לתאם | לתזמר | לארגן
