k	term	cands
w2363	visualize	לדמיין | להמחיש
w2366	volume	עוצמת קול | עוצמה | כרך | נפח
w2368	withdraw	למשוך | לפרוש | לסגת
w2377	adore	לאהוב מאוד | אהב | להעריץ | העריץ
w2381	agony	ייסורים | סבל
w2382	align	ליישר | להתאים | להסתדר בשורה
w2385	amusement	שעשוע | בידור
w2386	anchor	קריין | לעגון | עוגן
w2388	antique	עתיק | עתיקה | ענתיקה
w2390	applicant	מועמד | מבקש
w2391	artifact	ממצא | מוצג ארכיאולוגי | חפץ מעשה ידי אדם | חפץ
w2394	asset	יתרון | נכס
w2395	assign	למנות | להקצות | להטיל
w2396	authorize	להרשות | לאשר | להסמיך
w2400	bandage	תחבושת | לחבוש
w2403	brainwash	לשטוף את המוח | לשטוף מוח
w2407	caution	להזהיר | זהירות | אזהרה
w2408	certify	להסמיך | לאשר | להצהיר
w2409	circuit	מסלול | מעגל | להקיף | מעגל חשמלי
w2413	coastline	קו חוף | קו/רצועת חוף | חוף
w2421	compensate	לפצות | לקזז
w2423	compost	זבל אורגני | קומפוסט
w2429	conquer	להתגבר על | לכבוש
w2430	conscious	מודע | בהכרה
w2431	consequence	השלכה | תוצאה
w2433	consistent	עקבי | תואם
w2434	consistently	באופן קבוע | בעקביות
w2435	consume	לכלות | לצרוך
w2436	consumers	צרכנים | צרכן
w2437	continuous	רציף | מתמשך
w2442	cornerstone	יסוד | אבן פינה
w2447	crop	יבול | לגזור | לקצץ
w2451	dairy	חלבי | מחלבה
w2455	deform	לעוות | לסלף
w2458	dense	סמיך | צפוף | טיפש
w2459	desirable	רצוי | מבוקש | נחשק
w2461	devastated	הרוס | מפורק | שבור
w2465	dictate	ציווי | לפקד | להכתיב
w2468	disapproving	לגנות | להתנגד | לא מרוצה | לא מאשר | לא מסכים
w2469	disciplined	ממושמע | חינך | מאופק | העניש
w2472	disobey	למרוד | לא לציית | להפר
w2477	distract	להסיח את הדעת | להסיח דעת
w2478	distribute	להפיץ | לחלק
w2479	distribution	הפצה | חלוקה | התפלגות
w2482	downhill	מדרון | מתדרדר | מורד | במורד
w2483	drain	נקז | ניקוז | לרוקן | לנקז
w2484	drift	נטייה | ערימה | זרם | לנדוד | סחף
w2485	drip	טיפה | לטפטף
w2487	dwarf	להאפיל על | לגמד | גמד
w2497	enrage	להרגיז | להכעיס | להרתיח
w2502	equivalent	מקבילה | שווה ערך
w2503	erosion	סחף | כרסום | שחיקה
w2504	essentially	במהותו | בעצם | בעיקרו
w2505	estimate	הערכה | לאמוד | להעריך
w2506	evaluate	להעריך | לאמוד | לשפוט
w2507	evaluation	הערכה | בדיקה
w2509	evident	ברור | ניכר | נראה לעין
w2510	exceptional	מצוין | מעולה | יוצא דופן
w2511	exclude	לא לכלול | להוציא מן הכלל | להדיר | למנוע כניסה | להחריג
w2513	exhibit	תערוכה | להציג | מוצג
