k	term	cands
w0269	rain	לרדת גשם | גשם
w0270	reason	סיבה | הגיון | היגיון | לנמק
w0272	relationship	קשר | מערכת יחסים
w0273	relax	לנוח | להירגע
w0274	report	לדווח | דיווח | דוח
w0279	ride	רכיבה | לרכוב | נסיעה
w0280	right	ימין | זכות | ימינה | נכון
w0281	ring	זירה | לצלצל | טבעת
w0282	road	דרך | כביש
w0283	run, ran	רץ | לרוץ | לזרום | לנהל
w0284	safe	כספת | בטוח
w0285	salt	להמליח | מלח
w0289	school	בית ספר | בית-ספר | להקה
w0291	secret	סודי | סוד
w0295	service	שירות | לתחזק
w0297	short	קצר | נמוך
w0298	show	להראות | מופע | הופעה | תוכנית
w0299	side	צד | לצודד | לתמוך | לצדד
w0301	simple	פשוט | תמים
w0302	since	מכיוון ש | מכיוון ש- | מאז
w0304	single	רווק | בודד | יחיד
w0305	sir	תואר אצולה אנגלי | אדוני | אדון
w0309	slow	איטי | להאט | לאט
w0311	snow	לרדת שלג | שלג
w0312	so	מאוד | אז | כל כך | כך ש- | ולכן | כל-כך
w0313	so that	כדי ש | כך ש-
w0316	soon	בקרוב | מוקדם | בהקדם
w0318	special	מיוחד | מבצע
w0319	spend	להעביר | להוציא | לפזר | לבלות | לבזבז
w0320	stand	לעמוד | עמדה | דוכן
w0321	star	כוכב | לככב | כוכבית
w0322	start	להתחיל | התחלה
w0324	step	מדרגה | צעד | לצעוד
w0330	stupid	טיפש | טיפשי | מטומטם
w0331	suddenly	לפתע | פתאום
w0332	sugar	סוכר | מותק
w0335	surprise	להפתיע | הפתעה
w0336	sweet	מתוק | חמוד | ממתק
w0339	team	צוות | קבוצה
w0341	than	מ- | מאשר
w0343	thanks to	תודות ל- | הודות ל
w0344	that	ש | ש- | ההוא
w0350	through	מבעד | באמצעות | דרך
w0351	ticket	כרטיס | דוח
w0352	time	פעם | זמן
w0354	too	גם | מדי | יותר מידי
w0356	trust	אמון | לבטוח | קרן נאמנות
w0358	turn	סיבוב | לסובב | לפנות | תור
w0359	under	מתחת | תחת
w0361	until	עד ש- | עד
w0362	until now	עד כה | עד עתה | עד עכשיו
w0364	usually	בדרך כלל | בדרך-כלל | לרוב
w0366	visit	לבקר | ביקור
w0367	voice	להשמיע קול | קול | להביע
w0368	wait	המתנה | לחכות | להמתין
w0369	wall	חומה | קיר
w0370	want	מחסור | לרצות
w0372	watch	להשגיח | להסתכל | לצפות | שעון
w0373	way	אופן | דרך
w0377	when	מתי | כאשר | כש-
