k	term	cands
w3666	disarmament	פירוק נשק | פירוק מנשק
w3668	discrepancy	פער | אי התאמה | סתירה
w3669	disdain	לבוז | זלזול | בוז
w3670	dislocate	לנקוע | לפרוק | לפרק
w3672	disparage	לזלזל | להשמיץ | להמעיט בערך
w3673	disparagement	זלזול | השמצה
w3677	dissent	חילוקי דעות | להתנגד | התנגדות | לחלוק דעה
w3679	diverge	להתפצל | לסטות
w3680	divinity	אל | תיאולוגיה | אלוהות
w3683	draw (drew)	למשוך | תיקו | לצייר | שלף | לשלוף
w3685	dwindle	הידלדל | להצטמצם | לדעוך | התמעט
w3687	elude	לחמוק | להתחמק | לברוח
w3689	embark	להפליג | לעלות על ספינה או מטוס | לפתוח ב- | לצאת לדרך | להתחיל
w3690	embellish	להפריז | לייפות | לקשט | להוסיף פרטים מומצאים
w3691	embitter	למרר | גורם התמרמרות
w3692	eminent	בולט | בכיר | נודע
w3694	enclose	להקיף | לצרף
w3695	enclosing	לצרף | להקיף | לסגור
w3696	enclosure	שטח מגודר | סגירה | מכלאה | כיתור | נספח
w3700	ensue	לנבוע | להתרחש בעקבות | לבוא כתוצאה | להתחולל
w3701	epitomize	לייצג | לגלם | לסמל | לאפיין
w3703	evoke	להזכיר | להעלות | לעורר
w3705	expatriate	מהגר | לגרש/להגלות מהמולדת | מי שחי מחוץ למולדתו | גולה
w3706	expedite	לזרז | להאיץ
w3707	expend	לגמור | לבזבז | לפזר | להוציא
w3708	exquisite	מעודן | אנין | נפלא | חד | מצוין
w3709	extrapolate	להסיק | לאמוד על סמך מידע קיים
w3710	fabricate	לבדות | לייצר
w3711	facilitate	לעזור | לסייע | להקל | לאפשר
w3712	fad	טרנד | אופנה חולפת
w3716	flagrant	גלוי | משווע | בוטה
w3718	flimsy	בלתי משכנע (תירוץ/ראיה) | דל | רופף | שביר | קלוש | רעוע | בלתי משכנע
w3719	fluctuation	חוסר יציבות | תנודה
w3720	foil	לסכל | רדיד
w3721	foremost	בעיקר | ראשון במעלה | המוביל
w3723	formidable	מרשים | מאיים | מפחיד | אדיר
w3724	forsake	לנטוש | לזנוח
w3725	fraternal	אחוותי | של אחים | אחאי
w3726	fringes	שוליים | פוני
w3727	frivolous	שטותי | לא רציני | קליל דעת | חסר חשיבות | קל דעת
w3729	fume	עשן | לזעום | אדים | אד
w3730	furnish	לרהט | לספק
w3731	futile	חסר תועלת | חסר תוחלת | עקר | נטול סיכוי
w3732	gauge	מידה | למדוד | להעריך | מד
w3733	genial	ידידותי | לבבי
w3736	glaze	ציפוי | לצפות | זיגוג
w3738	granted (that)	בהנחה ש- | אמנם | נתון ש-
w3740	grievance	תלונה | טרוניה | התמרמרות
w3742	hail	להלל | ברד | לשבח
w3743	harness	לרתום | רתמה
w3744	hearsay	שמועה | עדות שמיעה
w3745	heed	תשומת לב | לשים לב
w3746	hegemony	הגמוניה | שליטה
w3750	hinder	להפריע | לעכב
w3753	impart	להקנות | להעביר | להעניק
w3754	impartially	ללא אפליה | באובייקטיביות | בהגינות | באופן הוגן
w3755	implicate	לסבך | לערב | להפליל
w3757	inadvertently	בלי משים | בטעות | בשוגג | בלי כוונה
w3758	incidence	שכיחות | כמות | הִקָּרוּת (משהו שקורה) | הִקָּרוּת
w3762	infancy	ינקות | שלב ראשוני
