k	term	cands
w0002	2nd - second	שני | שנייה
w0003	3rd - third	שלישי | שליש
w0004	able	מוכשר | מסוגל | יכול
w0005	about	בערך | על | אודות | ליד
w0006	absolutely	לחלוטין | בהחלט
w0009	against	ממול | נגד | כנגד
w0012	alone	בודד | לבד
w0015	and	ו | ו-
w0019	answer	תשובה | לענות
w0020	area	אזור | תחום | שטח
w0024	as	כמו | כאשר | כש- | כפי ש
w0025	ask	לשאול | לבקש
w0026	at	אצל | ב | ב-
w0029	attack	מתקפה | התקפה | לתקוף
w0030	because	משום ש- | כי | מפני ש- | מפני ש
w0034	behind	ישבן | מאחורי | באיחור
w0035	best	טוב | הכי טוב
w0036	better	טוב | טוב יותר | לשפר
w0042	bought	לקנות | קנה
w0044	break	לשבור | הפסקה
w0046	burn	לשרוף | לבעור | להישרף
w0047	but	אך | אבל | חוץ מ- | אלא | מלבד
w0048	by	באמצעות | בסמוך ל- | עד | לא יאוחר מ- | על-ידי | על ידי | ליד
w0049	call	שיחה | לקרוא | להתקשר
w0052	center	מרכז | למקד
w0053	chance	סיכוי | הזדמנות
w0054	check	צ'ק | חשבון | לבדוק
w0056	children	ילד | ילדים
w0057	church	כנסיה | כנסייה
w0060	club	מועדון | אלה
w0061	code	לתכנת | קוד
w0062	cold	הצטננות | התקררות | קר
w0064	company	חברה | פלוגה
w0065	contact	קשר | ליצור קשר | מגע | איש קשר
w0067	control	שליטה | בקרה | פיקוח | לוח בקרה | לשלוט
w0068	cool	לצנן | מגניב | קר רוח | קריר | צונן
w0069	crime	עבירה | פשע
w0070	dance	לרקוד | ריקוד
w0074	deal	להתמודד | לטפל | עסקה
w0075	death	מוות | פטירה
w0077	die	קוביה | מת | למות
w0081	different from	שונה מ | שונה מ-
w0084	done	מוכן | גמור | לעשות | עשוי
w0085	down	מדוכא | למטה
w0091	energy	אנרגיה | כוח | מרץ
w0096	every day	כל יום | מדי יום
w0099	experience	לחוות | ניסיון | חוויה
w0101	face	פנים | להתמודד עם | לעמוד בפני | לעמוד מול | לפנות אל | להתמודד | לפנות
w0108	feel	תחושה | להרגיש
w0109	feeling	רגש | הרגשה
w0110	few	מועט | מעט
w0111	fight, fought	להיאבק | להילחם | קרב | לריב
w0113	find	מציאה | למצוא
w0115	first of all	ראשית | קודם כל
w0116	fix	לתקן | פתרון
w0117	fly	זבוב | לטוס | לעוף
w0118	follow	לעקוב | לציית | להבין
w0119	force	לכפות | לאלץ | כוח
w0122	forward	לפנים | קדימה | חלוץ
w0124	from	מן | מ- | מ
