k	term	cands
w0673	quality	תכונה | איכות
w0674	question	להטיל ספק | שאלה | לפקפק | לחקור
w0677	rat	עכברוש | מלשין
w0683	repeat	חזרה | לחזור | שידור/מאורע חוזר | לחזור על
w0684	respond	תגובה | לענות | תשובה | להגיב
w0687	result	לנבוע | תוצאה
w0688	revolution	סיבוב | מהפכה
w0689	ring, rang	טבעת | צלצל | לצלצל
w0692	rocket	רקטה | טיל
w0695	root	שורש | להשתרש
w0697	rule	כלל | להחליט | לפסוק | שלטון | חוק | לשלוט | למשול
w0702	seem	דומה ל- | להיראות | נראה כ-
w0703	sense	תודעה | לחוש | היגיון | חוש | תחושה
w0706	set up	להקים | לארגן | להרכיב | לסדר
w0708	sharp	חריף | חד
w0710	shoulder	כתף | לשאת
w0713	size	מידה | גודל
w0714	skill	מיומנות | כישרון | יכולת
w0720	sold	למכור | מכר
w0721	solution	פתרון | תמיסה
w0723	sort	למיין | סוג
w0724	speak, spoke	לדבר | לנאום | דיבר
w0725	speed	למהר | מהירות
w0727	spicy	חריף | פיקנטי
w0729	sponsor	לתת חסות | נותן חסות
w0731	spray	תרסיס | לפזר | לרסס
w0736	storm	להסתער | סערה
w0739	stuff	למלא | לפחלץ | דברים | לדחוס
w0741	such as	כגון | כמו למשל
w0742	suggest	לרמז | להציע
w0749	talent	כשרון | כישרון
w0750	tax	למסות | מס
w0753	tiny	זעיר | קטנטן
w0754	tone	טון | נימה
w0755	tour	לסייר | סיור
w0757	tower	מגדל | להתנשא
w0759	toxic	מזיק | רעיל
w0761	treasure	לנצור | להוקיר | אוצר
w0762	triple	פי 3 | משולש | לשלש
w0763	twins	תאומים | תאום
w0770	unsafe	מסוכן | לא בטוח
w0772	upgrade	לשדרג | שדרוג
w0773	use	תכלית | להשתמש | תועלת | לנצל | שימוש
w0774	vacation	לנפוש | חופשה
w0776	versions	גרסאות | גרסה
w0781	wave	גל | לנופף
w0783	weight	משקל | כובד | חשיבות
w0784	while	כל עוד | ואילו | בעוד ש- | בזמן ש | בעוד ש | אף על פי ש- | בזמן ש-
w0787	wood	יער | עץ
w0788	worldwide	עולמי | כלל עולמי | בכל העולם
w0790	zone	תחום | אזור
w0792	above all	מעל הכול | מעל לכל
w0793	absurd	אבסורדי | מגוחך | לא סביר
w0795	accident	מקרה | תאונה
w0796	according	לפי | על פי | בהתאם ל
w0797	across	מעבר ל | בצד השני | לרוחב
w0804	alarm	חרדה | להבהיל | אזעקה | דאגה | להדאיג
w0805	allow	להרשות | לאפשר
w0808	as a result	כתוצאה מכך | כתוצאה
w0810	attractive	נאה | יפה | אטרקטיבי | מושך
