k	term	cands
w1181	wear	ללבוש | להתבלות
w1182	weather	לשרוד | מזג אוויר
w1184	wild	פראי | בר | טבע | פרוע
w1187	actually	בעצם | למעשה
w1190	advertisement	פרסומת | מודעה | פרסום
w1196	amateur	חובבן | חובב
w1199	amount	להסתכם | כמות
w1200	analog	אנלוגי (ההיפך מדיגיטלי) | מקבילה | אנלוגי
w1204	appear	להיראות | להופיע | נראה ש-
w1209	as many as	עד | רבים כמו (מספר גדול) | רבים כמו | לא פחות מ
w1210	as proof of	כהוכחה ל | כהוכחה ל-
w1211	aside from	חוץ מ- | מלבד
w1212	attitude	עמדה | גישה
w1216	authority	סמכות | רשות
w1217	automobile	כלי רכב | אוטו | מכונית | רכב
w1220	backward	לאחור | אחורה | נחשל
w1221	bacteria	חיידקים | חיידק
w1222	beg	להתחנן | לקבץ נדבות
w1223	belong	שייך | להשתייך
w1224	benefit	יתרון | הטבה | תועלת | ליהנות | להפיק תועלת
w1225	besides	בנוסף על | בכל מקרה | מלבד | חוץ מ- | חוץ מזה
w1226	best-seller	רב-מכר | רב מכר
w1227	beyond	מעבר | מעבר ל
w1231	brilliant	מבריק | גאוני
w1232	bullet	קליע | תבליט | כדור
w1234	by now	עד עתה | עד עכשיו
w1237	campaign	מערכה | קמפיין | מסע
w1238	cast	לזרוק | צוות שחקנים | לגרש | להשליך | גבס | שחקנים
w1239	casual	רגיל | לא רשמי | אגבי | מזדמן | יומיומי
w1242	century	מאה | מאה שנים
w1245	charge	להסתער | להאשים | לחייב | לגבות | מטען
w1247	citrus	הדר | פרי הדר
w1248	claim	טוען | טענה | תביעה | לטעון
w1250	clever	חכם | פיקח
w1253	cognitive	קוגניטיבי | שכלי | הכרתי
w1254	common	משותף | רגיל | נפוץ
w1256	components	מרכיבים | מרכיב | חלקים | רכיב
w1257	conference	ועידה | כנס
w1259	confusion	בלבול | מבוכה
w1260	consider	לחשוב | לשקול | לקחת בחשבון
w1263	contract	חוזה | הסכם | להתכווץ | להידבק | להידבק (במחלה) | לחלות | ללקות
w1264	contrast	להוות ניגוד | לעמת | ניגוד
w1267	coordinator	מתאם | רכז
w1268	copies	עותקים | להעתיק | עותק
w1270	count	רוזן | ספירה | לספור
w1271	course	מנה | מהלך | קורס | מסלול
w1273	creator	בורא | יוצר
w1276	customize	להתאים באופן אישי | להתאים אישית
w1277	dare	להעיז | תעוזה | להעז | אתגר
w1279	deeply	מאוד | עמוקות | במידה רבה
w1280	deer	איל | צבי
w1282	depend on	להסתמך על | תלוי ב-
w1283	desire	תשוקה | חשק | להשתוקק | לחפוץ
w1286	dimension	ממד | מימד | היבט
w1287	disadvantage	חסרון | חיסרון | נחיתות
w1288	disagreement	אי הסכמה | חילוקי דעות | חוסר הסכמה
w1289	discoveries	תגלית | תגליות
w1291	divorce	להתגרש | גירושין
w1292	dominate	להשתלט | לשלוט
w1294	doubt	ספק | לפקפק | להטיל ספק
