k	term	cands
w3868	render	לעבד | להפוך | להגיש | לגרום | להפוך ל-
w3870	resent	להתרעם על | לחוש טינה | להתמרמר
w3871	respective	מתאים | שייך בהתאמה | פרטני
w3874	resurgence	התעוררות מחדש | תחייה
w3876	rotary	כיכר תנועה | נע על ציר סיבובי | סיבובי
w3878	sarcophagus	ארון קבורה קדום | ארון קבורה | סרקופג
w3879	scales	סולם | קשקשים | מאזניים | קשקשים (של דג)
w3882	scrutinize	בחן | לבחון | לבדוק בקפידה | בדק
w3883	sensations	סנסציה | חדשות מרעישות | תחושה
w3884	sheer	שקוף | מוחלט | לחלוטין | משופע | תלול | טהור
w3885	shingles	שלבקת חוגרת | רעף
w3886	shroud	עטיפה | לאפוף | תכריך
w3888	slant	שיפוע | הטיה | אלכסון | נטייה
w3889	slate	צפחה | להכניס מישהו לרשימה | לוח | רעף
w3891	snarl	סבך/פקק | לנהום בחשיפת שיניים | לרטון בכעס | לנהום
w3892	snicker	צחקוק | לצחקק | גיחוך
w3893	soar	לדאות | להמריא | לזנק
w3894	solicit	לבקש | לשדל / להדיח | לבקש/לחפש בתחינה | לגייס
w3895	solitude	בדידות | התבודדות
w3896	speck	פירור | נקודה | גרגר זעיר | נקודה זעירה
w3897	spewing	פולט/מתיז בעוצמה | להקיא | מקיא | לפלוט
w3898	splendor	פאר | הדר
w3899	sprang	קפץ | צמח | לקפוץ | צמח (עבר של spring) | לנבוע | נבע | זינק
w3900	sprawling	משתרע | משתרע על שטח נרחב | מתפשט ללא סדר
w3901	staple	לשדך | מוצר בסיסי | סיכת שדכן | סיכת הידוק | מצרך יסוד | בסיסי | עיקרי
w3902	stark	קודר | קיצוני | עזוב | גמור | מוחלט | בוטה | שומם
w3904	staunch	נאמן | איתן בדעתו | איתן | לעצור זרימה/דימום | מסור
w3905	streamlined	מעוצב לזרימה | יעיל | יעיל וחסכוני | אווירודינמי
w3906	stricken	פגוע | מוכה
w3907	strife	עימות | מאבק | סכסוך
w3909	subdue	לרסן | להכניע
w3912	susceptibility	פגיעות | רגישות | נטייה
w3913	susceptible	נוטה ל- | רגיש ל- | נוטה | רגיש | חשוף ל-
w3914	swindler	רמאי | נוכל
w3916	taint	להכתים | לזהם | להכפיש | כתם
w3918	tentative	לא סופי | מהוסס | זמני | ניסיוני
w3919	thereby	ובכך | על ידי כך | ולכן | בכך
w3922	tinker	לתקן | לחטט | לנסות לשפר בשינויים קטנים | להתעסק
w3923	tormented	לענות | מיוסר | לייסר | להציק
w3924	tranquilize	להרגיע | להרדים | לסמם
w3925	transcend	לחרוג | להתעלות
w3928	underlies	לעמוד בבסיס | נמצא מתחת ל- | מונח ביסוד
w3930	upheaval	מהפך | טלטלה | תהפוכה
w3931	uphold	לקיים | לדגול | לתמוך | להחזיק
w3933	uproar	מהומה | סערה | רעש
w3934	usher	ללוות | סדרן
w3936	veracity	דיוק | התאמה לעובדות | אמיתות | דבקות באמת | אמינות
w3937	vertebrate	בעל חוליות | חולייתן
w3941	vocation	מקצוע | ייעוד
w3944	withhold	לא לתת | לעכב | להסתיר | לעצור
w3945	wrought	מעובד | מחושל | מעוצב
