k	term	cands
w3319	fascinate	להקסים | לרתק
w3320	fast	צום | לצום | מהיר | מהר
w3328	forfeit	לאבד | להפסיד | לוותר | לוותר על
w3330	foster	לקדם | לעודד | לטפח | אומנה | (הורה/ילד) אומן | אומן
w3332	fugitive	בורח | בורח מהחוק | נמלט
w3334	glimpse	הצצה | מבט חטוף | להבחין
w3335	glorify	להאדיר | להלל | לפאר
w3336	gracious	אדיב | חינני | נדיב
w3341	hasten	להאיץ | להחפז | למהר
w3342	hasty	מהיר | פזיז | בהול | נמהר
w3343	haul	שלל | לגרור
w3347	humility	ענוה | ענווה
w3352	illuminate	להאיר | להבהיר
w3354	impair	לפגום | להחליש | לפגוע
w3355	impartial	חסר פניות | אובייקטיבי | אוביקטיבי | ללא צד
w3356	in due time	בבוא הזמן | בבוא העת
w3357	in order	כדי | מסודר | תקין
w3360	incorporate	לשתף | לכלול | לאגד | להתאגד | לשלב
w3363	induce	לשכנע | לגרום | לייצר
w3365	inferred	להסיק | נגזר | משתמע
w3367	ingest	לצרוך | לבלוע | להכניס משהו לגוף דרך הפה
w3368	inhibit	לעכב | למנוע | לרסן
w3370	inquiry	חקירה | בירור
w3371	insulate	לבודד | להגן
w3376	intrigue	תככים | לסקרן | קנוניה
w3377	intrusive	פולשני | חודרני
w3378	invoke	לזמן | להסתמך על | לעורר
w3381	landmark	ציון דרך | אבן דרך
w3383	launder	להלבין | לכבס
w3387	linger	להשתהות | להתעכב | להתמהמה
w3389	literate	משכיל | בקיא | בעל אוריינות | אוריין | יודע קרוא וכתוב
w3390	litter	לפזר | זבל | לזרוק זבל | אשפה | לזרוע | המלטה | ללכלך בפסולת | פסולת
w3391	lodge	בקתה | להתאכסן | אכסנייה
w3392	loosely	באופן רופף | באופן רפוי | בערך
w3393	lumber	קרשים | עצי בניין | עצה מנוסרת | עץ בניין
w3395	malformation	מום | פגם | עיוות
w3398	mere	בלבד | רק | לא יותר מ- | גרידא
w3399	mischief	מעשה קונדס | תעלול | שובבות | נזק
w3400	mobilize	להניע | לנייד | לגייס
w3401	mold	לעצב | תבנית | עובש
w3407	negate	לשלול | לבטל
w3409	nonetheless	עם זאת | בכל זאת | למרות זאת
w3412	noted	לציין | מפורסם | ידוע
w3413	nurture	להזין | חינוך | לחנך | לטפח
w3414	nutrient	רכיב תזונתי | חומר מזין
w3415	oblige	להכריח | לחייב | לעשות טובה
w3417	offset	לקזז | קיזוז
w3418	ordinarily	בדרך כלל | בדרך-כלל
w3419	orient	להתמצא | לכוון | מזרח
w3420	originate	לנבוע | התחיל | התהווה | ליזום
w3422	outweigh	שוקל יותר מ- | עולה על | לגבור על
w3423	overdue	באיחור | שעבר זמן ההגשה שלו
w3424	overlooked	להתעלם | החמיץ | לא הבחין | פספס | (גם: צפה על מגבוה) | להשקיף | התעלם
w3427	particulars	פרטים | פרט | פרטי מידע
w3428	perceive	לתפוס | לראות | להבחין
w3432	pivot	ציר | לסובב על ציר | לסובב
w3435	portray	לגלם | לתאר | לצייר
w3436	pose	להציב | להתחזות | להוות | תנוחה
w3437	posture	עמדה | יציבה | תנוחה
w3438	potent	בעל כוח השפעה | חזק | עוצמתי
