k	term	cands
w0813	award	להעניק פרס | להעניק | פרס
w0814	badly	נואשות | מאוד | בצורה גרועה | רע | קשות
w0815	balance	לאזן | יתרה | איזון | שיווי משקל
w0819	beat	קצב | מקצב | מכה | להכות | לנצח
w0823	birth	לידה | מוצא
w0825	blind	לסנוור | עיוור | תריס
w0826	block	חסימה | חלק | לחסום | לבנה | גוש
w0828	border	לגבול | גבול
w0830	brave	אמיץ | להתמודד
w0831	built	לבנות | בנה | חטוב | בנוי | בנוי היטב | נבנה (עבר/בינוני פעול של build) | נבנה
w0833	capture	לצלם | ללכוד | לכידה
w0835	carry	לשאת | לסחוב
w0836	castle	טירה | מצודה
w0837	cell	תא | סוללה
w0840	challenge	אתגר | לאתגר | לערער
w0843	cheer	קריאת עידוד | לעודד
w0845	choice	ברירה | בחירה
w0848	coat	שכבה (של צבע | בטון וכו') | לצפות | מעיל
w0849	coin	מטבע | לטבוע
w0852	combat	להילחם ב- | להילחם | להיאבק ב- | לחימה | קרב
w0854	command	לפקוד | לצוות | שליטה | פקודה
w0859	complex	מתחם | מורכב | קומפלקס | מסובך
w0863	conflict	עימות | סכסוך | להתנגש
w0864	content	שביעות רצון | תוכן | מרוצה
w0865	core	ליבה | מרכז
w0867	cost	עלות | לעלות | מחיר
w0869	court	בית משפט | מגרש (ספורט) | מגרש | לחזר | חצר
w0870	cover	כיסוי | לכלול | מכסה | לסקר | כריכה | לכסות
w0873	curious	סקרן | מוזר
w0874	currently	כרגע | נכון לעכשיו | כעת
w0876	daily	מדי יום | יומי | יומיומי
w0878	delay	עיכוב | לדחות | לאחר | לעכב
w0879	delivery	מסירה | משלוח | לידה
w0880	department	מחלקה | אגף
w0882	described	לתאר | מתואר
w0884	deserve	מגיע | מגיע (לו) | להיות ראוי
w0886	destiny	גורל | ייעוד
w0889	device	מכשיר | תחבולה | אמצעי
w0891	disappear	להיעלם | להעלם
w0895	display	להציג | תצוגה
w0898	dump	לשפוך | מזבלה | לזרוק
w0899	during	במשך | תוך כדי | במהלך
w0901	economy	חסכנות | כלכלה
w0903	education	השכלה | חינוך
w0916	except	חוץ מ | פרט ל | מלבד | חוץ מ-
w0917	except for	פרט ל | למעט | חוץ מ
w0918	exchange	חילופין | בורסה | חלופה | להחליף
w0920	exercise	פעילות גופנית | לממש | ליישם | להתאמן | תרגיל
w0921	exist	קיים | להתקיים
w0924	extraordinary	יוצא דופן | בלתי רגיל
w0925	failure	כישלון | תקלה | כשלון
w0927	farmer	חוואי | איכר | חקלאי
w0929	fever	קדחת | חום | חום (של מחלה)
w0931	financial	כספי | פיננסי
w0933	fit	להתאים | מתאים | בכושר
w0935	flew	עף | לעוף | לטוס
w0936	flip	סלטה | להעיף | לזרוק | להפוך צד | להפוך
w0937	fool	לרמות | טיפש | לשטות במישהו
w0938	for instance	למשל | לדוגמה
w0941	form	להקים | ליצור | צורה | טופס
