k	term	cands
w2243	ordinary	פשוט | רגיל
w2244	organ	אורגן | אורגן (כלי נגינה) | איבר | עוגב
w2245	orientation	התמצאות | כיוון
w2252	passive	פסיבי | סביל
w2255	permit	להרשות | להתיר | אישור | רישיון
w2258	pit	בור | גלעין
w2259	plague	מגפה | להטריד
w2260	plot	עלילה | לזמום | חלקה (חלקת אדמה) | להכין תרשים | לקשור קשר | מגרש | חלקה | לזמם
w2262	polish	פולני | להבריק | ליטוש | לצחצח
w2263	possession	בעלות | חזקה | רכוש
w2265	praise	לשבח | שבח
w2267	preferable	מועדף | עדיף
w2271	prior	קודם | לפני
w2273	procedure	נוהל | תהליך | הליך
w2275	progressive	מתקדם ומתמשך | פרוגרסיבי | מתקדם
w2276	property	תכונה | נכס | רכוש
w2277	publication	כתב עת | הוצאה לאור | פרסום | מאמר/כתב עת שפורסם
w2280	radically	באופן קיצוני | מהיסוד
w2281	rather	עדיף | למדי | די
w2282	recall	לזכור | להחזיר | להיזכר | להשיב צלצול
w2283	refund	החזר | החזר כספי | להחזיר
w2285	refuse	אשפה | זבל | לסרב | פסולת
w2286	remains	עדיין | להישאר | נשאר | שרידים | שריד
w2287	remarkable	יוצא דופן | מדהים | ראוי לציון
w2289	reservation	שמורה | הסתייגות | הזמנה | שריון מקום
w2292	result in	הסתיים ב- | לגרום ל | להוביל ל
w2294	retreat	לסגת | נסיגה | מפלט
w2295	revolutionary	מהפכן | מהפכני
w2296	rubbish	שטויות | אשפה | זבל
w2299	scale	לעלות | קנה מידה | סולם | מאזניים | לטפס | סקלה
w2303	severe	קשה | חמור
w2310	slight	קל | זעיר | מעט | להעליב
w2311	snap	לצלם | להישבר | תצלום | במהירות (סלנג) | במהירות
w2312	sober	רציני | מפוכח | פיכח
w2313	sophisticated	מתורבת | מתוחכם
w2317	spectacular	מדהים | מרשים | מרהיב
w2318	spontaneously	ספונטנית | ללא תכנון
w2319	spring	אביב | קפיץ | מעיין
w2322	steam	אד | אדים | לאדות | קיטור
w2324	strike	הכה | התקיף | לפגוע | שביתה | להכות
w2325	stun	לזעזע | להמם
w2326	subjective	סובייקטיבי | משוחד בדעתו | אישי
w2328	superior	עדיף | ממונה | עליון
w2330	suspense	השהיה | דריכות | מתח
w2331	sweep	לטאטא | לגרוף
w2332	temple	מקדש | רקה
w2333	tend	נוטה | לנטות | לטפל
w2335	terminate	להפסיק | לסיים | לחסל
w2336	throughout	לאורך כל | בכל | במשך | בכל רחבי
w2337	thus	לפיכך | כך ש- | לכן
w2338	to begin with	ראשית | בתור התחלה
w2339	trace	סימן | למצוא | שריד | לאתר | עִקְבָה | לעקוב
w2341	trial	ניסוי | נסיון | משפט
w2344	unattractive	לא אטרקטיבי | לא מושך
w2345	unconscious	מחוסר הכרה | לא מודע
w2346	uncountable	בלתי ספיר | אינספור
w2350	unfamiliar	לא מוכר | זר
w2356	unorthodox	לא מקובל | לא שגרתי | חריג
w2357	unwilling	לא מעוניין | לא מוכן | ממאן
w2361	vertical	אנכי | מאונך
