k	term	cands
w2020	betray	לחשוף | לבגוד
w2021	biblical	תנכי | תנ"כי | מקראי
w2022	blame	אשמה | להאשים
w2023	blanket	שמיכה | לכסות
w2024	blew	נשב (רוח) | ניפח | נשב | לנשוב | פוצץ
w2025	blow, blew	לנשוף | מכה | להתפוצץ | נשף | פוצץ | לפוצץ
w2027	bold	נועז | אמיץ | חצוף | מודגש
w2030	broad	רחב | כללי | נרחב
w2031	broadcast	שידור | לשדר
w2032	butcher	קצב | לטבוח | לשחוט
w2034	capable	יכול | כשיר | מסוגל
w2035	capital	ראשי | הון | משמעותי | בירה | עיר בירה | אות גדולה
w2038	clash	להתנגש | התנגשות
w2039	clay	חרסית | חימר
w2044	collapse	לקרוס | קריסה | להתמוטט
w2050	compromise	פשרה | לסכן | להתפשר
w2051	concern	דאגה | עניין | להדאיג
w2052	conclusion	מסקנה | סיום
w2054	confess	להתוודות | להודות
w2055	confession	וידוי | הודאה
w2056	construct	מבנה | לבנות
w2057	contest	להתמודד על | לחלוק על | לערער | תחרות | לערער על
w2058	contrary	בניגוד ל- | להפך | מנוגד | הפך
w2059	convenient	מתאים | נוח
w2060	copper	נחושת | שוטר
w2061	correlate	לקשר | לתאם | להתאים
w2066	critique	לבקר | ביקורת
w2069	dawn	להבין | שחר
w2072	declare	להכריז | להצהיר
w2073	decorate	לקשט | לעטר
w2074	decrease	לרדת | ירידה | לצמצם | הפחתה | להפחית
w2075	dedicated	מוקדש ל- | מסור | להקדיש
w2077	demographic	דמוגרפי | פלח אוכלוסייה
w2078	department-store	כלבו | חנות כלבו
w2079	deposit	פיקדון | מקדמה | להפקיד
w2081	determine	לקבוע | לברר
w2082	differ	לחלוק | לחלוק על | להיות שונה | להיבדל
w2083	discipline	תחום | תחום לימוד/מחקר | להעניש | לחנך | משמעת
w2084	discomfort	אי-נוחות | אי נוחות | מבוכה
w2085	disguise	להסוות | תחפושת
w2086	disloyal	בוגדני | לא נאמן
w2088	doorstep	מפתן הדלת | מפתן
w2090	draft	משיכה | לנסח | רוח פרצים | גיוס | טיוטה
w2091	dull	משעמם | עמום | סתום | קהה
w2092	duplicate	לשכפל | העתק
w2093	e.g.	לדוגמה | למשל
w2094	eccentric	אקסצנטרי | משונה | מוזר | תמהוני
w2098	encounter	מפגש | היתקלות | לפגוש | להיתקל | להיתקל ב-
w2100	endangered	בסכנת הכחדה | לסכן
w2102	engagement	מעורבות | התחייבות | אירוסין
w2105	ensure	להבטיח | לוודא
w2113	establish	לייסד | להקים | לבסס
w2114	every now and then	מדי פעם | לפעמים
w2115	evolutionary	התפתחותי | אבולוציוני
w2119	facility	מתקן | קלות
w2120	fade	לדהות | להיעלם | לדעוך
w2123	fancy	מגונדר | מפואר | מחבב | לחבב
w2124	faulty	לא תקין | פגום | לקוי
w2125	favored	להעדיף | מועדף
w2126	figure	צורה | גזרה | מספר | להבין | להניח | דמות | להסיק | ספרה | לחשב
